"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VALOR"	"UNE"	"TODOS"	"PHG"	"MLP"	"CCCC"	"PODEMOS"	"FUERZA"	"CREO"	"UNIDOS"	"FCN_NACION"	"WINAQ_URNG"	"VIVA"	"BIEN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11262"	"4"	"11"	"7"	"2"	"400"	"17"	"22"	"21"	"28"	"2"	"4"	"51"	"38"	"4"	"3"	"0"	"1"	"2"	"4"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"12"	"4"	"0"	"231"	"231"	"1"	"0"
"11263"	"4"	"11"	"7"	"2"	"400"	"14"	"17"	"31"	"57"	"0"	"4"	"54"	"36"	"8"	"2"	"0"	"4"	"0"	"2"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"13"	"3"	"0"	"267"	"267"	"1"	"0"
"11264"	"4"	"11"	"7"	"2"	"400"	"20"	"17"	"34"	"40"	"1"	"3"	"55"	"24"	"8"	"3"	"0"	"4"	"0"	"9"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"19"	"4"	"0"	"265"	"265"	"1"	"0"
"11265"	"4"	"11"	"7"	"2"	"400"	"16"	"12"	"18"	"56"	"2"	"10"	"61"	"38"	"5"	"2"	"0"	"1"	"0"	"4"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"4"	"0"	"254"	"254"	"1"	"0"
"11266"	"4"	"11"	"7"	"2"	"400"	"20"	"17"	"28"	"53"	"3"	"4"	"56"	"44"	"7"	"4"	"2"	"2"	"0"	"7"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"4"	"0"	"279"	"279"	"1"	"0"
"11267"	"4"	"11"	"7"	"2"	"400"	"14"	"14"	"32"	"51"	"1"	"6"	"64"	"32"	"3"	"1"	"1"	"2"	"0"	"3"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"17"	"6"	"0"	"272"	"272"	"1"	"0"
"11268"	"4"	"11"	"7"	"2"	"400"	"14"	"10"	"30"	"49"	"0"	"6"	"74"	"19"	"10"	"4"	"0"	"2"	"1"	"4"	"24"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"7"	"8"	"0"	"268"	"268"	"1"	"0"
"11269"	"4"	"11"	"7"	"2"	"397"	"20"	"18"	"43"	"57"	"2"	"13"	"51"	"25"	"4"	"2"	"0"	"6"	"1"	"5"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"9"	"3"	"0"	"272"	"272"	"1"	"0"
"11270"	"4"	"11"	"7"	"2"	"401"	"14"	"11"	"27"	"45"	"1"	"7"	"55"	"29"	"5"	"3"	"1"	"1"	"0"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"7"	"4"	"0"	"228"	"228"	"1"	"0"
"11271"	"4"	"11"	"7"	"2"	"400"	"14"	"18"	"31"	"31"	"3"	"5"	"56"	"33"	"4"	"3"	"2"	"3"	"1"	"3"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"2"	"0"	"239"	"239"	"1"	"0"
"11272"	"4"	"11"	"7"	"2"	"396"	"12"	"14"	"33"	"26"	"1"	"6"	"49"	"34"	"10"	"1"	"0"	"3"	"1"	"7"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"2"	"0"	"228"	"228"	"1"	"0"
"11273"	"4"	"11"	"7"	"2"	"396"	"15"	"8"	"37"	"46"	"5"	"9"	"44"	"31"	"7"	"2"	"0"	"3"	"1"	"9"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"5"	"0"	"253"	"253"	"1"	"0"
"11274"	"4"	"11"	"7"	"2"	"404"	"11"	"24"	"34"	"57"	"1"	"5"	"63"	"35"	"8"	"2"	"2"	"5"	"5"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"263"	"10"	"6"	"0"	"278"	"279"	"0"	"0"
"11275"	"4"	"11"	"7"	"2"	"400"	"14"	"5"	"37"	"49"	"1"	"5"	"47"	"28"	"6"	"0"	"0"	"3"	"0"	"5"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"3"	"0"	"233"	"233"	"1"	"0"
"11276"	"4"	"11"	"7"	"2"	"400"	"15"	"20"	"30"	"34"	"1"	"4"	"54"	"39"	"8"	"3"	"0"	"0"	"2"	"2"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"3"	"0"	"244"	"244"	"1"	"0"
"11277"	"4"	"11"	"7"	"2"	"252"	"12"	"12"	"11"	"32"	"3"	"2"	"40"	"17"	"3"	"0"	"1"	"1"	"0"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"2"	"1"	"0"	"157"	"157"	"1"	"0"
"11278"	"4"	"11"	"7"	"2"	"251"	"4"	"13"	"20"	"29"	"0"	"1"	"35"	"15"	"2"	"1"	"0"	"1"	"0"	"2"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"3"	"1"	"0"	"139"	"139"	"1"	"0"
"11279"	"4"	"11"	"7"	"2"	"380"	"15"	"7"	"61"	"26"	"3"	"29"	"18"	"13"	"2"	"8"	"3"	"1"	"5"	"8"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"4"	"0"	"237"	"237"	"1"	"0"
"11280"	"4"	"11"	"7"	"2"	"380"	"8"	"15"	"52"	"25"	"1"	"17"	"29"	"22"	"8"	"11"	"1"	"2"	"5"	"8"	"13"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"16"	"8"	"0"	"248"	"248"	"1"	"0"
"11281"	"4"	"11"	"7"	"2"	"379"	"13"	"9"	"51"	"21"	"2"	"23"	"24"	"24"	"3"	"16"	"1"	"3"	"0"	"4"	"13"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"15"	"6"	"0"	"239"	"239"	"1"	"0"
"11282"	"4"	"11"	"7"	"2"	"380"	"9"	"17"	"47"	"39"	"5"	"33"	"34"	"25"	"6"	"16"	"4"	"1"	"1"	"7"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"15"	"5"	"20"	"277"	"277"	"1"	"0"
"11283"	"4"	"11"	"7"	"2"	"380"	"11"	"4"	"50"	"38"	"4"	"28"	"31"	"19"	"4"	"17"	"0"	"2"	"2"	"7"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"13"	"4"	"1"	"249"	"249"	"1"	"0"
"11284"	"4"	"11"	"7"	"2"	"380"	"11"	"6"	"41"	"25"	"0"	"25"	"27"	"33"	"4"	"10"	"1"	"0"	"2"	"7"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"10"	"3"	"0"	"217"	"217"	"1"	"0"
"11285"	"4"	"11"	"7"	"2"	"380"	"8"	"12"	"69"	"34"	"5"	"22"	"32"	"21"	"3"	"13"	"0"	"2"	"2"	"2"	"18"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"9"	"0"	"270"	"270"	"1"	"0"
"11286"	"4"	"11"	"7"	"2"	"380"	"11"	"10"	"50"	"36"	"1"	"39"	"26"	"24"	"2"	"6"	"1"	"1"	"5"	"9"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"9"	"0"	"257"	"257"	"1"	"0"
"11287"	"4"	"11"	"7"	"2"	"380"	"9"	"13"	"54"	"21"	"3"	"32"	"31"	"31"	"3"	"11"	"1"	"6"	"2"	"8"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"4"	"0"	"259"	"259"	"1"	"0"
"11288"	"4"	"11"	"7"	"2"	"380"	"20"	"12"	"47"	"23"	"2"	"36"	"25"	"23"	"2"	"13"	"2"	"3"	"3"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"16"	"10"	"0"	"249"	"249"	"1"	"0"
"11289"	"4"	"11"	"7"	"2"	"380"	"10"	"9"	"48"	"20"	"5"	"42"	"26"	"28"	"0"	"8"	"0"	"4"	"2"	"2"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"16"	"5"	"0"	"248"	"248"	"1"	"0"
"11290"	"4"	"11"	"7"	"2"	"380"	"9"	"12"	"52"	"18"	"3"	"28"	"25"	"23"	"2"	"11"	"3"	"5"	"1"	"4"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"18"	"4"	"0"	"230"	"230"	"1"	"0"
"11291"	"4"	"11"	"7"	"2"	"292"	"15"	"5"	"40"	"14"	"2"	"25"	"20"	"19"	"2"	"8"	"0"	"4"	"0"	"7"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"6"	"1"	"0"	"178"	"178"	"1"	"0"
"11292"	"4"	"11"	"7"	"2"	"292"	"9"	"3"	"42"	"17"	"5"	"21"	"17"	"30"	"5"	"12"	"0"	"1"	"0"	"3"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"6"	"3"	"0"	"184"	"184"	"1"	"0"
"11293"	"4"	"11"	"7"	"2"	"380"	"1"	"6"	"97"	"43"	"1"	"22"	"4"	"5"	"1"	"0"	"3"	"0"	"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"22"	"12"	"0"	"235"	"235"	"1"	"0"
"11294"	"4"	"11"	"7"	"2"	"328"	"1"	"6"	"91"	"21"	"1"	"29"	"4"	"2"	"1"	"2"	"0"	"0"	"12"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"15"	"3"	"0"	"190"	"190"	"1"	"0"
"11295"	"4"	"11"	"7"	"2"	"328"	"2"	"2"	"84"	"31"	"1"	"25"	"1"	"4"	"2"	"1"	"0"	"0"	"11"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"17"	"10"	"0"	"197"	"197"	"1"	"0"
"11296"	"4"	"11"	"7"	"2"	"385"	"12"	"1"	"41"	"8"	"3"	"50"	"22"	"7"	"5"	"4"	"0"	"4"	"18"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"23"	"13"	"0"	"226"	"226"	"1"	"0"
"11297"	"4"	"11"	"7"	"2"	"380"	"13"	"8"	"46"	"13"	"4"	"53"	"13"	"3"	"4"	"2"	"1"	"4"	"15"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"17"	"12"	"0"	"215"	"215"	"1"	"0"
"11298"	"4"	"11"	"7"	"2"	"380"	"9"	"12"	"70"	"22"	"7"	"23"	"20"	"2"	"5"	"7"	"0"	"5"	"9"	"4"	"27"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"15"	"0"	"254"	"254"	"1"	"0"
