"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"PC"	"VIVA"	"VAMOS"	"LIBRE"	"SEMILLA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14599"	"4"	"14"	"2"	"2"	"400"	"49"	"19"	"11"	"58"	"16"	"102"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"10"	"6"	"0"	"277"	"277"	"1"	"0"
"14600"	"4"	"14"	"2"	"2"	"400"	"56"	"28"	"2"	"39"	"19"	"86"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"11"	"7"	"0"	"252"	"252"	"1"	"0"
"14601"	"4"	"14"	"2"	"2"	"400"	"66"	"12"	"3"	"53"	"14"	"97"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"27"	"14"	"0"	"288"	"288"	"1"	"0"
"14602"	"4"	"14"	"2"	"2"	"400"	"42"	"37"	"5"	"39"	"25"	"116"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"7"	"0"	"283"	"283"	"1"	"0"
"14603"	"4"	"14"	"2"	"2"	"400"	"54"	"12"	"8"	"68"	"26"	"89"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"11"	"0"	"289"	"289"	"1"	"0"
"14604"	"4"	"14"	"2"	"2"	"400"	"73"	"15"	"3"	"56"	"13"	"72"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"14"	"11"	"0"	"259"	"259"	"1"	"0"
"14605"	"4"	"14"	"2"	"2"	"380"	"62"	"19"	"6"	"60"	"29"	"76"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"7"	"0"	"275"	"275"	"1"	"0"
"14606"	"4"	"14"	"2"	"2"	"400"	"95"	"12"	"2"	"32"	"9"	"127"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"17"	"3"	"0"	"300"	"300"	"1"	"0"
"14607"	"4"	"14"	"2"	"2"	"400"	"43"	"12"	"3"	"37"	"22"	"79"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"2"	"2"	"0"	"201"	"201"	"1"	"0"
"14608"	"4"	"14"	"2"	"2"	"400"	"49"	"30"	"4"	"59"	"28"	"91"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"9"	"0"	"283"	"283"	"1"	"0"
