"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5148"	"4"	"3"	"1"	"2"	"398"	"20"	"9"	"4"	"4"	"32"	"5"	"2"	"4"	"45"	"30"	"8"	"27"	"13"	"6"	"8"	"0"	"0"	"1"	"12"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"0"	"0"	"256"	"256"	"1"	"0"
"5149"	"4"	"3"	"1"	"2"	"400"	"27"	"3"	"4"	"10"	"22"	"4"	"1"	"7"	"38"	"39"	"6"	"27"	"14"	"6"	"6"	"1"	"0"	"5"	"12"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"0"	"0"	"259"	"259"	"1"	"0"
"5150"	"4"	"3"	"1"	"2"	"331"	"22"	"4"	"2"	"2"	"24"	"6"	"1"	"5"	"31"	"22"	"9"	"23"	"9"	"3"	"10"	"2"	"1"	"4"	"12"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"3"	"0"	"0"	"206"	"206"	"1"	"0"
"5151"	"4"	"3"	"1"	"2"	"331"	"15"	"8"	"6"	"3"	"25"	"4"	"0"	"1"	"44"	"31"	"11"	"29"	"11"	"6"	"5"	"0"	"1"	"3"	"14"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"0"	"0"	"236"	"236"	"1"	"0"
"5152"	"4"	"3"	"1"	"2"	"398"	"17"	"1"	"2"	"5"	"23"	"5"	"4"	"5"	"61"	"38"	"13"	"49"	"4"	"2"	"5"	"3"	"1"	"3"	"8"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"5"	"0"	"276"	"276"	"1"	"0"
"5153"	"4"	"3"	"1"	"2"	"380"	"21"	"6"	"6"	"0"	"38"	"4"	"2"	"0"	"62"	"32"	"7"	"38"	"4"	"7"	"6"	"2"	"3"	"1"	"13"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"8"	"7"	"0"	"274"	"274"	"1"	"0"
"5154"	"4"	"3"	"1"	"2"	"400"	"23"	"3"	"3"	"3"	"41"	"5"	"3"	"5"	"50"	"46"	"3"	"50"	"9"	"4"	"13"	"1"	"1"	"3"	"16"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"3"	"3"	"0"	"295"	"295"	"1"	"0"
"5155"	"4"	"3"	"1"	"2"	"400"	"16"	"3"	"11"	"3"	"47"	"6"	"1"	"2"	"62"	"34"	"3"	"33"	"8"	"1"	"7"	"6"	"1"	"2"	"14"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"3"	"1"	"286"	"286"	"1"	"0"
"5156"	"4"	"3"	"1"	"2"	"400"	"19"	"7"	"5"	"2"	"40"	"3"	"0"	"3"	"65"	"47"	"6"	"34"	"2"	"2"	"8"	"0"	"2"	"5"	"16"	"3"	"6"	"34"	"2"	"2"	"8"	"0"	"2"	"5"	"16"	"3"	"287"	"287"	"8"	"4"	"0"	"299"	"299"	"1"	"0"
"5157"	"4"	"3"	"1"	"2"	"400"	"11"	"3"	"7"	"3"	"41"	"1"	"3"	"0"	"38"	"51"	"4"	"42"	"14"	"4"	"12"	"2"	"0"	"4"	"11"	"0"	"4"	"42"	"14"	"4"	"12"	"2"	"0"	"4"	"11"	"0"	"259"	"259"	"9"	"4"	"0"	"272"	"272"	"1"	"0"
"5158"	"4"	"3"	"1"	"2"	"396"	"13"	"2"	"2"	"1"	"33"	"1"	"4"	"3"	"51"	"36"	"7"	"50"	"13"	"2"	"5"	"2"	"0"	"4"	"7"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"2"	"0"	"257"	"257"	"1"	"0"
"5159"	"4"	"3"	"1"	"2"	"396"	"14"	"4"	"2"	"2"	"43"	"3"	"2"	"0"	"59"	"29"	"9"	"43"	"11"	"5"	"7"	"4"	"1"	"3"	"21"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"12"	"0"	"0"	"282"	"282"	"1"	"0"
"5160"	"4"	"3"	"1"	"2"	"400"	"18"	"3"	"4"	"1"	"36"	"3"	"2"	"2"	"52"	"43"	"6"	"33"	"9"	"1"	"16"	"4"	"1"	"6"	"17"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"2"	"5"	"0"	"274"	"274"	"1"	"0"
"5161"	"4"	"3"	"1"	"2"	"396"	"25"	"4"	"7"	"6"	"39"	"5"	"2"	"0"	"40"	"42"	"7"	"45"	"9"	"4"	"7"	"4"	"0"	"2"	"16"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"6"	"1"	"0"	"282"	"282"	"1"	"0"
"5162"	"4"	"3"	"1"	"2"	"393"	"18"	"3"	"3"	"4"	"42"	"2"	"2"	"3"	"60"	"44"	"10"	"36"	"7"	"4"	"7"	"1"	"1"	"8"	"14"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"4"	"0"	"296"	"296"	"1"	"0"
"5163"	"4"	"3"	"1"	"2"	"400"	"23"	"7"	"6"	"2"	"50"	"1"	"5"	"1"	"47"	"30"	"7"	"45"	"10"	"2"	"5"	"1"	"0"	"2"	"11"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"1"	"0"	"281"	"281"	"1"	"0"
"5164"	"4"	"3"	"1"	"2"	"396"	"13"	"4"	"5"	"0"	"35"	"4"	"3"	"5"	"55"	"33"	"6"	"23"	"10"	"2"	"5"	"1"	"0"	"6"	"13"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"6"	"5"	"0"	"247"	"247"	"1"	"0"
"5165"	"4"	"3"	"1"	"2"	"400"	"14"	"2"	"2"	"3"	"24"	"3"	"2"	"4"	"53"	"36"	"9"	"32"	"12"	"2"	"6"	"1"	"0"	"1"	"19"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"232"	"8"	"8"	"0"	"250"	"248"	"0"	"0"
"5166"	"4"	"3"	"1"	"2"	"348"	"19"	"2"	"0"	"4"	"37"	"3"	"4"	"1"	"47"	"34"	"5"	"45"	"8"	"1"	"5"	"1"	"1"	"3"	"12"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"1"	"0"	"243"	"243"	"1"	"0"
"5167"	"4"	"3"	"1"	"2"	"347"	"10"	"5"	"3"	"0"	"37"	"6"	"4"	"1"	"45"	"30"	"3"	"42"	"5"	"1"	"9"	"5"	"1"	"2"	"10"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"2"	"1"	"0"	"230"	"230"	"1"	"0"
