"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19192"	"4"	"20"	"1"	"2"	"396"	"36"	"90"	"17"	"11"	"17"	"43"	"2"	"9"	"10"	"0"	"15"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"1"	"0"	"275"	"275"	"1"	"0"
"19193"	"4"	"20"	"1"	"2"	"396"	"33"	"86"	"22"	"12"	"11"	"52"	"4"	"13"	"11"	"1"	"14"	"18"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"18"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"3"	"0"	"0"	"284"	"284"	"1"	"0"
"19194"	"4"	"20"	"1"	"2"	"0"	"33"	"84"	"14"	"13"	"11"	"54"	"1"	"8"	"9"	"2"	"14"	"12"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"259"	"10"	"2"	"0"	"271"	"271"	"0"	"0"
"19195"	"4"	"20"	"1"	"2"	"396"	"39"	"88"	"22"	"6"	"15"	"37"	"2"	"12"	"14"	"3"	"5"	"9"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"9"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"5"	"1"	"2"	"267"	"267"	"1"	"0"
"19196"	"4"	"20"	"1"	"2"	"396"	"39"	"91"	"21"	"16"	"16"	"54"	"1"	"6"	"11"	"4"	"8"	"15"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"15"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"12"	"2"	"0"	"302"	"302"	"1"	"0"
"19197"	"4"	"20"	"1"	"2"	"400"	"51"	"77"	"17"	"14"	"16"	"49"	"2"	"11"	"2"	"1"	"12"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"1"	"0"	"274"	"274"	"1"	"0"
"19198"	"4"	"20"	"1"	"2"	"396"	"56"	"61"	"24"	"19"	"10"	"27"	"6"	"7"	"9"	"1"	"13"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"2"	"1"	"0"	"250"	"250"	"1"	"0"
"19199"	"4"	"20"	"1"	"2"	"400"	"42"	"63"	"18"	"14"	"14"	"31"	"4"	"10"	"9"	"1"	"13"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"10"	"2"	"0"	"246"	"246"	"1"	"0"
"19200"	"4"	"20"	"1"	"2"	"400"	"32"	"103"	"20"	"12"	"13"	"34"	"0"	"13"	"15"	"0"	"13"	"15"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"6"	"3"	"0"	"284"	"284"	"1"	"0"
"19201"	"4"	"20"	"1"	"2"	"400"	"34"	"87"	"13"	"13"	"11"	"46"	"2"	"11"	"14"	"3"	"12"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"17"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"5"	"1"	"0"	"272"	"272"	"1"	"0"
"19202"	"4"	"20"	"1"	"2"	"396"	"40"	"94"	"19"	"16"	"14"	"44"	"3"	"17"	"17"	"4"	"0"	"23"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"23"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"294"	"5"	"1"	"0"	"312"	"300"	"0"	"0"
"19203"	"4"	"20"	"1"	"2"	"396"	"43"	"86"	"17"	"17"	"14"	"47"	"2"	"26"	"8"	"3"	"7"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"3"	"2"	"0"	"296"	"296"	"1"	"0"
"19204"	"4"	"20"	"1"	"2"	"400"	"32"	"80"	"23"	"12"	"7"	"40"	"5"	"17"	"10"	"1"	"7"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"18"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"2"	"0"	"260"	"260"	"1"	"0"
"19205"	"4"	"20"	"1"	"2"	"400"	"49"	"74"	"14"	"8"	"9"	"33"	"0"	"15"	"7"	"4"	"11"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"1"	"0"	"244"	"244"	"1"	"0"
"19206"	"4"	"20"	"1"	"2"	"396"	"33"	"49"	"16"	"9"	"11"	"32"	"2"	"8"	"9"	"1"	"5"	"14"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"14"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"5"	"3"	"0"	"202"	"202"	"1"	"0"
