"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"RETO"	"UCN"	"PC"	"VAMOS"	"RENACER_CHIQUIMULILLA"	"FCN_NACION"	"WINAQ"	"TODOS"	"UNE"	"CREO"	"VALOR"	"SEMILLA"	"PHG"	"CCP"	"PAN"	"MLP"	"EG"	"AVANZA"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7565"	"4"	"6"	"8"	"2"	"400"	"14"	"10"	"43"	"30"	"1"	"39"	"3"	"4"	"72"	"2"	"4"	"6"	"39"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"7"	"0"	"289"	"289"	"1"	"0"
"7566"	"4"	"6"	"8"	"2"	"399"	"12"	"9"	"51"	"21"	"4"	"28"	"0"	"9"	"79"	"1"	"3"	"11"	"36"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"11"	"0"	"0"	"284"	"284"	"1"	"0"
"7567"	"4"	"6"	"8"	"2"	"400"	"27"	"12"	"42"	"24"	"2"	"38"	"1"	"8"	"62"	"2"	"4"	"6"	"50"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"3"	"2"	"7"	"291"	"291"	"1"	"0"
"7568"	"4"	"6"	"8"	"2"	"398"	"25"	"10"	"46"	"26"	"4"	"38"	"2"	"4"	"75"	"3"	"7"	"8"	"34"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"4"	"0"	"300"	"300"	"1"	"0"
"7569"	"4"	"6"	"8"	"2"	"400"	"23"	"13"	"29"	"25"	"7"	"44"	"2"	"7"	"74"	"2"	"4"	"6"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"16"	"4"	"0"	"292"	"292"	"1"	"0"
"7570"	"4"	"6"	"8"	"2"	"400"	"15"	"7"	"42"	"18"	"5"	"33"	"5"	"8"	"79"	"0"	"5"	"4"	"42"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"16"	"4"	"0"	"287"	"287"	"1"	"0"
"7571"	"4"	"6"	"8"	"2"	"400"	"26"	"22"	"29"	"27"	"2"	"36"	"1"	"6"	"60"	"0"	"4"	"9"	"48"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"11"	"6"	"0"	"294"	"294"	"1"	"0"
"7572"	"4"	"6"	"8"	"2"	"396"	"22"	"11"	"35"	"24"	"2"	"50"	"0"	"10"	"69"	"0"	"8"	"4"	"36"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"13"	"4"	"0"	"295"	"295"	"1"	"0"
"7573"	"4"	"6"	"8"	"2"	"400"	"21"	"16"	"26"	"26"	"5"	"42"	"2"	"11"	"74"	"1"	"2"	"3"	"35"	"3"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"13"	"6"	"0"	"290"	"290"	"1"	"0"
"7574"	"4"	"6"	"8"	"2"	"396"	"25"	"12"	"43"	"33"	"2"	"31"	"3"	"12"	"55"	"3"	"7"	"7"	"48"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"3"	"0"	"297"	"297"	"1"	"0"
"7575"	"4"	"6"	"8"	"2"	"400"	"17"	"14"	"40"	"37"	"12"	"35"	"4"	"10"	"61"	"2"	"4"	"5"	"41"	"1"	"2"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"12"	"6"	"0"	"309"	"309"	"1"	"0"
"7576"	"4"	"6"	"8"	"2"	"400"	"20"	"13"	"40"	"32"	"3"	"37"	"0"	"12"	"61"	"1"	"8"	"6"	"53"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"12"	"5"	"0"	"309"	"309"	"1"	"0"
"7577"	"4"	"6"	"8"	"2"	"400"	"25"	"13"	"40"	"24"	"2"	"30"	"2"	"14"	"64"	"1"	"7"	"5"	"51"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"11"	"2"	"0"	"294"	"294"	"1"	"0"
"7578"	"4"	"6"	"8"	"2"	"400"	"18"	"16"	"45"	"29"	"3"	"40"	"2"	"13"	"52"	"3"	"16"	"10"	"49"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"12"	"2"	"0"	"313"	"313"	"1"	"0"
"7579"	"4"	"6"	"8"	"2"	"400"	"24"	"19"	"37"	"33"	"4"	"28"	"1"	"12"	"72"	"1"	"9"	"11"	"50"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"5"	"1"	"0"	"313"	"313"	"1"	"0"
"7580"	"4"	"6"	"8"	"2"	"400"	"18"	"15"	"51"	"30"	"1"	"46"	"4"	"11"	"64"	"1"	"2"	"6"	"51"	"1"	"2"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"6"	"2"	"0"	"315"	"315"	"1"	"0"
"7581"	"4"	"6"	"8"	"2"	"400"	"25"	"22"	"49"	"34"	"3"	"39"	"1"	"10"	"50"	"2"	"8"	"11"	"59"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"7"	"0"	"0"	"323"	"323"	"1"	"0"
"7582"	"4"	"6"	"8"	"2"	"400"	"17"	"23"	"42"	"23"	"4"	"25"	"0"	"10"	"62"	"0"	"11"	"9"	"45"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"2"	"2"	"0"	"278"	"278"	"1"	"0"
"7583"	"4"	"6"	"8"	"2"	"400"	"13"	"12"	"49"	"18"	"3"	"29"	"1"	"10"	"52"	"0"	"4"	"5"	"39"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"4"	"1"	"0"	"243"	"243"	"1"	"0"
