"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"CREO"	"UNE"	"VALOR"	"PODEMOS"	"BIEN"	"FCN_NACION"	"MLP"	"FUERZA"	"TODOS"	"UNIONISTA"	"URNG_MAIZ"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17214"	"4"	"16"	"13"	"2"	"400"	"87"	"16"	"2"	"77"	"2"	"112"	"4"	"10"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"10"	"1"	"0"	"325"	"325"	"1"	"0"
"17215"	"4"	"16"	"13"	"2"	"400"	"95"	"27"	"0"	"61"	"1"	"109"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"9"	"0"	"0"	"312"	"312"	"1"	"0"
"17216"	"4"	"16"	"13"	"2"	"400"	"114"	"14"	"2"	"58"	"5"	"111"	"1"	"6"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"12"	"7"	"0"	"337"	"337"	"1"	"0"
"17217"	"4"	"16"	"13"	"2"	"400"	"73"	"15"	"1"	"76"	"4"	"108"	"7"	"5"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"9"	"3"	"0"	"309"	"309"	"1"	"0"
"17218"	"4"	"16"	"13"	"2"	"400"	"98"	"19"	"3"	"75"	"0"	"99"	"5"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"9"	"5"	"0"	"323"	"323"	"1"	"0"
"17219"	"4"	"16"	"13"	"2"	"400"	"96"	"17"	"3"	"65"	"0"	"111"	"1"	"6"	"4"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"5"	"4"	"0"	"317"	"317"	"1"	"0"
"17220"	"4"	"16"	"13"	"2"	"400"	"94"	"21"	"1"	"95"	"4"	"79"	"4"	"12"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"15"	"6"	"0"	"334"	"334"	"1"	"0"
"17221"	"4"	"16"	"13"	"2"	"400"	"103"	"23"	"1"	"74"	"2"	"93"	"2"	"17"	"1"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"12"	"6"	"0"	"339"	"339"	"1"	"0"
"17222"	"4"	"16"	"13"	"2"	"400"	"101"	"21"	"1"	"73"	"0"	"92"	"1"	"14"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"2"	"2"	"0"	"313"	"313"	"1"	"0"
"17223"	"4"	"16"	"13"	"2"	"400"	"101"	"20"	"1"	"71"	"1"	"94"	"3"	"9"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"303"	"4"	"0"	"0"	"307"	"307"	"0"	"0"
"17224"	"4"	"16"	"13"	"2"	"400"	"108"	"18"	"1"	"65"	"1"	"93"	"2"	"9"	"4"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"1"	"83"	"317"	"317"	"1"	"0"
"17225"	"4"	"16"	"13"	"2"	"400"	"99"	"17"	"3"	"60"	"4"	"105"	"5"	"10"	"9"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"11"	"4"	"0"	"316"	"331"	"0"	"0"
"17226"	"4"	"16"	"13"	"2"	"400"	"99"	"13"	"2"	"77"	"2"	"97"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"7"	"4"	"0"	"311"	"311"	"1"	"0"
"17227"	"4"	"16"	"13"	"2"	"400"	"87"	"15"	"0"	"73"	"5"	"102"	"4"	"10"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"6"	"0"	"0"	"306"	"306"	"1"	"0"
"17228"	"4"	"16"	"13"	"2"	"400"	"97"	"8"	"0"	"71"	"2"	"87"	"3"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"8"	"0"	"0"	"284"	"284"	"1"	"0"
"17229"	"4"	"16"	"13"	"2"	"400"	"77"	"15"	"4"	"53"	"1"	"117"	"6"	"5"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"285"	"12"	"1"	"0"	"300"	"298"	"0"	"2"
"17230"	"4"	"16"	"13"	"2"	"400"	"100"	"14"	"2"	"51"	"2"	"119"	"2"	"10"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"10"	"4"	"0"	"320"	"320"	"1"	"0"
"17231"	"4"	"16"	"13"	"2"	"400"	"112"	"16"	"2"	"69"	"2"	"93"	"3"	"6"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"3"	"1"	"0"	"400"	"311"	"0"	"0"
"17232"	"4"	"16"	"13"	"2"	"400"	"101"	"23"	"1"	"69"	"1"	"92"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"14"	"3"	"0"	"310"	"310"	"1"	"0"
"17233"	"4"	"16"	"13"	"2"	"400"	"69"	"17"	"0"	"67"	"3"	"110"	"3"	"4"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"7"	"8"	"8"	"292"	"292"	"1"	"0"
"17234"	"4"	"16"	"13"	"2"	"400"	"100"	"12"	"3"	"61"	"4"	"91"	"3"	"8"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"3"	"4"	"0"	"292"	"292"	"1"	"0"
"17235"	"4"	"16"	"13"	"2"	"400"	"86"	"16"	"2"	"70"	"5"	"106"	"4"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"6"	"3"	"0"	"311"	"311"	"1"	"0"
"17236"	"4"	"16"	"13"	"2"	"400"	"100"	"16"	"0"	"78"	"2"	"98"	"3"	"9"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"4"	"3"	"0"	"318"	"318"	"1"	"0"
"17237"	"4"	"16"	"13"	"2"	"400"	"113"	"14"	"1"	"56"	"1"	"112"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"3"	"0"	"0"	"310"	"310"	"1"	"0"
"17238"	"4"	"16"	"13"	"2"	"405"	"121"	"12"	"2"	"62"	"0"	"111"	"7"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"0"	"0"	"1"	"322"	"321"	"0"	"0"
