"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CRECER"	"URNG_MAIZ"	"FUERZA"	"VALOR"	"UNE"	"VIVA"	"PPT"	"HUGO"	"VAMOS"	"TODOS"	"CONVERGENCIA"	"CREO"	"VICTORIA"	"PHG"	"MLP"	"SEMILLA"	"PODEMOS"	"AL_CAMBIO"	"AVANZA"	"PC"	"UCN"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9911"	"4"	"9"	"20"	"2"	"393"	"19"	"5"	"2"	"24"	"33"	"48"	"2"	"60"	"7"	"8"	"2"	"7"	"3"	"6"	"2"	"6"	"4"	"12"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"2"	"0"	"263"	"263"	"1"	"0"
"9912"	"4"	"9"	"20"	"2"	"400"	"10"	"0"	"8"	"16"	"33"	"60"	"3"	"48"	"4"	"20"	"0"	"1"	"0"	"5"	"0"	"3"	"1"	"10"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"3"	"0"	"238"	"238"	"1"	"0"
"9913"	"4"	"9"	"20"	"2"	"400"	"23"	"6"	"3"	"24"	"34"	"50"	"1"	"66"	"4"	"13"	"0"	"2"	"4"	"5"	"1"	"6"	"3"	"6"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"1"	"0"	"267"	"267"	"1"	"0"
"9914"	"4"	"9"	"20"	"2"	"400"	"17"	"5"	"2"	"23"	"39"	"38"	"1"	"61"	"3"	"13"	"0"	"2"	"2"	"5"	"3"	"4"	"1"	"4"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"11"	"2"	"0"	"241"	"241"	"1"	"0"
"9915"	"4"	"9"	"20"	"2"	"400"	"24"	"1"	"3"	"12"	"41"	"64"	"2"	"62"	"3"	"12"	"0"	"5"	"1"	"6"	"6"	"2"	"6"	"6"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"10"	"0"	"0"	"275"	"275"	"1"	"0"
"9916"	"4"	"9"	"20"	"2"	"400"	"20"	"3"	"6"	"30"	"40"	"52"	"3"	"58"	"9"	"16"	"0"	"2"	"3"	"4"	"0"	"5"	"2"	"5"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"10"	"2"	"0"	"280"	"280"	"1"	"0"
"9917"	"4"	"9"	"20"	"2"	"399"	"28"	"1"	"3"	"17"	"27"	"55"	"2"	"69"	"4"	"18"	"0"	"4"	"3"	"6"	"4"	"6"	"2"	"8"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"5"	"2"	"0"	"274"	"274"	"1"	"0"
"9918"	"4"	"9"	"20"	"2"	"400"	"22"	"1"	"2"	"31"	"27"	"56"	"0"	"55"	"5"	"11"	"0"	"2"	"3"	"5"	"1"	"4"	"0"	"6"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"1"	"140"	"260"	"260"	"1"	"0"
"9919"	"4"	"9"	"20"	"2"	"400"	"22"	"3"	"6"	"16"	"37"	"55"	"2"	"42"	"2"	"11"	"1"	"4"	"1"	"3"	"3"	"4"	"1"	"8"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"8"	"0"	"0"	"236"	"236"	"1"	"0"
"9920"	"4"	"9"	"20"	"2"	"400"	"18"	"2"	"3"	"19"	"33"	"59"	"4"	"52"	"5"	"9"	"0"	"0"	"6"	"3"	"1"	"2"	"1"	"8"	"1"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"1"	"0"	"244"	"244"	"1"	"0"
"9921"	"4"	"9"	"20"	"2"	"400"	"16"	"2"	"4"	"24"	"34"	"55"	"1"	"73"	"4"	"13"	"1"	"0"	"3"	"0"	"0"	"1"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"241"	"6"	"1"	"0"	"260"	"248"	"0"	"0"
"9922"	"4"	"9"	"20"	"2"	"400"	"25"	"1"	"6"	"21"	"38"	"55"	"1"	"50"	"1"	"14"	"2"	"5"	"2"	"3"	"4"	"2"	"1"	"9"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"8"	"1"	"0"	"254"	"254"	"1"	"0"
"9923"	"4"	"9"	"20"	"2"	"400"	"28"	"2"	"9"	"21"	"39"	"46"	"0"	"49"	"3"	"15"	"0"	"3"	"2"	"4"	"0"	"3"	"2"	"3"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"3"	"0"	"251"	"251"	"1"	"0"
"9924"	"4"	"9"	"20"	"2"	"400"	"22"	"2"	"5"	"22"	"29"	"40"	"1"	"41"	"6"	"14"	"0"	"1"	"1"	"4"	"1"	"7"	"0"	"8"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"9"	"1"	"0"	"219"	"219"	"1"	"0"
"9925"	"4"	"9"	"20"	"2"	"400"	"25"	"2"	"3"	"23"	"26"	"51"	"3"	"49"	"3"	"15"	"1"	"2"	"0"	"4"	"0"	"1"	"0"	"3"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"3"	"0"	"0"	"220"	"220"	"1"	"0"
"9926"	"4"	"9"	"20"	"2"	"346"	"30"	"1"	"4"	"29"	"28"	"59"	"2"	"46"	"5"	"12"	"1"	"1"	"2"	"3"	"2"	"1"	"0"	"5"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"2"	"2"	"0"	"241"	"241"	"1"	"0"
"9927"	"4"	"9"	"20"	"2"	"345"	"26"	"2"	"0"	"28"	"21"	"35"	"0"	"43"	"2"	"9"	"0"	"1"	"1"	"2"	"0"	"4"	"1"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"0"	"0"	"0"	"186"	"186"	"1"	"0"
"9928"	"4"	"9"	"20"	"2"	"400"	"33"	"2"	"10"	"19"	"30"	"45"	"3"	"42"	"1"	"20"	"0"	"3"	"4"	"8"	"0"	"2"	"1"	"6"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"9"	"4"	"0"	"251"	"251"	"1"	"0"
"9929"	"4"	"9"	"20"	"2"	"400"	"27"	"2"	"4"	"26"	"35"	"38"	"4"	"48"	"5"	"13"	"3"	"3"	"2"	"6"	"3"	"4"	"2"	"6"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"25"	"134"	"0"	"400"	"400"	"1"	"0"
"9930"	"4"	"9"	"20"	"2"	"400"	"35"	"0"	"4"	"12"	"24"	"68"	"0"	"58"	"2"	"17"	"1"	"5"	"3"	"4"	"2"	"3"	"3"	"7"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"8"	"4"	"0"	"265"	"265"	"1"	"0"
"9931"	"4"	"9"	"20"	"2"	"400"	"32"	"4"	"4"	"17"	"33"	"61"	"2"	"57"	"7"	"9"	"0"	"3"	"2"	"2"	"1"	"4"	"2"	"4"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"9"	"2"	"0"	"263"	"263"	"1"	"0"
