"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"BIEN"	"PC"	"VAMOS"	"CREO"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"VIVA"	"MLP"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5406"	"4"	"3"	"4"	"2"	"400"	"107"	"7"	"39"	"72"	"3"	"8"	"17"	"5"	"30"	"9"	"5"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"5"	"7"	"0"	"330"	"330"	"1"	"0"
"5407"	"4"	"3"	"4"	"2"	"400"	"100"	"12"	"47"	"58"	"3"	"11"	"11"	"8"	"27"	"9"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"2"	"0"	"0"	"307"	"307"	"1"	"0"
"5408"	"4"	"3"	"4"	"2"	"400"	"95"	"12"	"45"	"68"	"10"	"8"	"10"	"6"	"21"	"8"	"12"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"4"	"4"	"0"	"319"	"319"	"1"	"0"
"5409"	"4"	"3"	"4"	"2"	"400"	"94"	"8"	"41"	"63"	"6"	"5"	"8"	"4"	"36"	"7"	"14"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"6"	"7"	"0"	"314"	"314"	"1"	"0"
"5410"	"4"	"3"	"4"	"2"	"397"	"91"	"8"	"47"	"78"	"6"	"4"	"7"	"8"	"25"	"6"	"9"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"7"	"88"	"0"	"397"	"397"	"1"	"0"
"5411"	"4"	"3"	"4"	"2"	"400"	"103"	"5"	"51"	"81"	"6"	"11"	"11"	"4"	"30"	"8"	"7"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"331"	"4"	"4"	"0"	"339"	"339"	"1"	"0"
"5412"	"4"	"3"	"4"	"2"	"400"	"86"	"7"	"45"	"77"	"4"	"4"	"12"	"5"	"29"	"9"	"11"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"6"	"2"	"0"	"316"	"316"	"1"	"0"
"5413"	"4"	"3"	"4"	"2"	"400"	"94"	"10"	"52"	"65"	"3"	"7"	"13"	"14"	"22"	"12"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"311"	"311"	"5"	"4"	"0"	"320"	"320"	"1"	"0"
"5414"	"4"	"3"	"4"	"2"	"400"	"91"	"7"	"44"	"77"	"4"	"10"	"13"	"7"	"30"	"8"	"10"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"5"	"3"	"0"	"325"	"325"	"1"	"0"
"5415"	"4"	"3"	"4"	"2"	"400"	"83"	"11"	"48"	"59"	"4"	"8"	"10"	"11"	"30"	"7"	"9"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"12"	"6"	"0"	"321"	"321"	"1"	"0"
"5416"	"4"	"3"	"4"	"2"	"400"	"90"	"4"	"40"	"83"	"4"	"6"	"13"	"7"	"35"	"8"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"9"	"2"	"0"	"319"	"319"	"1"	"0"
"5417"	"4"	"3"	"4"	"2"	"400"	"101"	"7"	"50"	"60"	"6"	"5"	"8"	"6"	"36"	"4"	"9"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"8"	"2"	"0"	"316"	"316"	"1"	"0"
"5418"	"4"	"3"	"4"	"2"	"396"	"95"	"7"	"52"	"69"	"2"	"12"	"11"	"5"	"34"	"3"	"12"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"11"	"1"	"0"	"331"	"331"	"1"	"0"
