"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UCN"	"FCN_NACION"	"BIEN"	"PC"	"PAN"	"VALOR"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20713"	"4"	"22"	"11"	"2"	"400"	"93"	"3"	"20"	"186"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"7"	"2"	"0"	"318"	"318"	"1"	"0"
"20714"	"4"	"22"	"11"	"2"	"400"	"69"	"5"	"28"	"206"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"9"	"2"	"0"	"325"	"325"	"1"	"0"
"20715"	"4"	"22"	"11"	"2"	"400"	"136"	"5"	"14"	"160"	"2"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"6"	"6"	"0"	"339"	"339"	"1"	"0"
"20716"	"4"	"22"	"11"	"2"	"398"	"103"	"5"	"21"	"150"	"9"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"3"	"2"	"0"	"302"	"302"	"1"	"0"
"20717"	"4"	"22"	"11"	"2"	"337"	"87"	"0"	"23"	"111"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"4"	"2"	"0"	"229"	"229"	"1"	"0"
"20718"	"4"	"22"	"11"	"2"	"336"	"101"	"1"	"20"	"132"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"0"	"0"	"0"	"266"	"266"	"1"	"0"
"20719"	"4"	"22"	"11"	"2"	"399"	"90"	"1"	"16"	"160"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"11"	"5"	"0"	"288"	"288"	"1"	"0"
"20720"	"4"	"22"	"11"	"2"	"400"	"126"	"2"	"19"	"189"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"7"	"7"	"0"	"351"	"351"	"1"	"0"
"20721"	"4"	"22"	"11"	"2"	"400"	"113"	"4"	"29"	"186"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"335"	"335"	"9"	"2"	"0"	"346"	"346"	"1"	"0"
"20722"	"4"	"22"	"11"	"2"	"400"	"122"	"1"	"32"	"158"	"2"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"9"	"5"	"0"	"335"	"335"	"1"	"1"
