"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"VALOR"	"CREO"	"PHG"	"PAPA"	"D_C_"	"UNIONISTA"	"FUERZA"	"SEMILLA"	"UNE"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9592"	"4"	"9"	"11"	"2"	"400"	"32"	"2"	"14"	"6"	"60"	"74"	"5"	"5"	"8"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"3"	"6"	"0"	"252"	"252"	"1"	"0"
"9593"	"4"	"9"	"11"	"2"	"396"	"29"	"4"	"14"	"3"	"52"	"65"	"6"	"6"	"7"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"11"	"5"	"0"	"239"	"239"	"1"	"0"
"9594"	"4"	"9"	"11"	"2"	"400"	"27"	"5"	"11"	"4"	"57"	"66"	"6"	"4"	"11"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"5"	"0"	"245"	"245"	"1"	"0"
"9595"	"4"	"9"	"11"	"2"	"396"	"16"	"2"	"9"	"4"	"67"	"45"	"21"	"9"	"6"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"5"	"8"	"0"	"229"	"229"	"1"	"0"
"9596"	"4"	"9"	"11"	"2"	"400"	"21"	"5"	"14"	"3"	"93"	"47"	"4"	"8"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"7"	"6"	"0"	"234"	"234"	"1"	"0"
"9597"	"4"	"9"	"11"	"2"	"396"	"16"	"4"	"13"	"10"	"75"	"39"	"6"	"7"	"4"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"5"	"2"	"0"	"219"	"219"	"1"	"0"
"9598"	"4"	"9"	"11"	"2"	"396"	"11"	"3"	"13"	"2"	"49"	"29"	"3"	"11"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"4"	"2"	"1"	"152"	"152"	"1"	"0"
"9599"	"4"	"9"	"11"	"2"	"380"	"24"	"6"	"18"	"4"	"55"	"58"	"17"	"6"	"4"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"3"	"4"	"0"	"240"	"240"	"1"	"0"
"9600"	"4"	"9"	"11"	"2"	"400"	"54"	"4"	"7"	"9"	"68"	"56"	"6"	"1"	"11"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"4"	"5"	"0"	"267"	"267"	"1"	"0"
"9601"	"4"	"9"	"11"	"2"	"400"	"12"	"2"	"16"	"6"	"46"	"52"	"4"	"5"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"4"	"0"	"0"	"171"	"171"	"1"	"0"
"9602"	"4"	"9"	"11"	"2"	"400"	"26"	"4"	"11"	"7"	"61"	"55"	"6"	"7"	"9"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"3"	"3"	"0"	"213"	"213"	"1"	"0"
"9603"	"4"	"9"	"11"	"2"	"400"	"33"	"11"	"17"	"9"	"46"	"62"	"7"	"7"	"7"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"1"	"3"	"0"	"244"	"244"	"1"	"0"
"9604"	"4"	"9"	"11"	"2"	"396"	"37"	"6"	"29"	"7"	"48"	"52"	"3"	"7"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"3"	"6"	"1"	"223"	"223"	"1"	"0"
"9605"	"4"	"9"	"11"	"2"	"400"	"35"	"3"	"12"	"11"	"50"	"48"	"8"	"2"	"8"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"6"	"5"	"2"	"221"	"221"	"1"	"0"
"9606"	"4"	"9"	"11"	"2"	"223"	"17"	"2"	"6"	"4"	"37"	"35"	"1"	"2"	"5"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"1"	"1"	"0"	"132"	"132"	"1"	"0"
"9607"	"4"	"9"	"11"	"2"	"222"	"24"	"5"	"6"	"4"	"34"	"28"	"2"	"3"	"8"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"0"	"5"	"0"	"135"	"135"	"1"	"0"
"9608"	"4"	"9"	"11"	"2"	"378"	"4"	"3"	"28"	"9"	"49"	"24"	"9"	"6"	"1"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"4"	"22"	"1"	"192"	"192"	"1"	"0"
"9609"	"4"	"9"	"11"	"2"	"380"	"6"	"3"	"49"	"4"	"20"	"9"	"2"	"6"	"3"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"5"	"11"	"0"	"202"	"202"	"1"	"0"
"9610"	"4"	"9"	"11"	"2"	"376"	"18"	"4"	"39"	"9"	"51"	"15"	"7"	"4"	"1"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"5"	"12"	"0"	"206"	"206"	"1"	"0"
"9611"	"4"	"9"	"11"	"2"	"380"	"6"	"2"	"40"	"7"	"40"	"25"	"18"	"6"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"6"	"2"	"0"	"177"	"177"	"1"	"0"
"9612"	"4"	"9"	"11"	"2"	"312"	"9"	"1"	"39"	"9"	"26"	"16"	"5"	"2"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"1"	"2"	"0"	"148"	"148"	"1"	"0"
"9613"	"4"	"9"	"11"	"2"	"311"	"12"	"1"	"32"	"6"	"28"	"14"	"13"	"7"	"2"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"4"	"6"	"0"	"160"	"160"	"1"	"0"
"9614"	"4"	"9"	"11"	"2"	"467"	"17"	"3"	"11"	"5"	"47"	"40"	"8"	"3"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"8"	"4"	"0"	"170"	"170"	"1"	"0"
"9615"	"4"	"9"	"11"	"2"	"466"	"20"	"5"	"19"	"4"	"36"	"46"	"5"	"2"	"8"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"3"	"6"	"1"	"169"	"169"	"1"	"0"
