"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VAMOS"	"SEMILLA"	"BIEN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19649"	"4"	"20"	"8"	"2"	"396"	"34"	"143"	"3"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"14"	"2"	"0"	"220"	"220"	"1"	"0"
"19650"	"4"	"20"	"8"	"2"	"400"	"49"	"136"	"6"	"18"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"13"	"3"	"0"	"228"	"228"	"1"	"0"
"19651"	"4"	"20"	"8"	"2"	"400"	"51"	"156"	"6"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"8"	"5"	"0"	"242"	"242"	"1"	"0"
"19652"	"4"	"20"	"8"	"2"	"400"	"64"	"154"	"11"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"10"	"11"	"0"	"266"	"266"	"1"	"0"
"19653"	"4"	"20"	"8"	"2"	"398"	"47"	"155"	"5"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"6"	"0"	"261"	"261"	"1"	"0"
"19654"	"4"	"20"	"8"	"2"	"400"	"31"	"207"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"15"	"3"	"0"	"279"	"279"	"1"	"0"
"19655"	"4"	"20"	"8"	"2"	"400"	"41"	"172"	"6"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"11"	"7"	"0"	"270"	"270"	"1"	"0"
"19656"	"4"	"20"	"8"	"2"	"398"	"41"	"178"	"4"	"31"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"16"	"5"	"0"	"278"	"278"	"1"	"0"
"19657"	"4"	"20"	"8"	"2"	"367"	"44"	"156"	"4"	"40"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"9"	"5"	"0"	"261"	"261"	"1"	"0"
"19658"	"4"	"20"	"8"	"2"	"400"	"50"	"131"	"6"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"8"	"2"	"0"	"213"	"213"	"1"	"0"
