"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"BIEN"	"FUERZA"	"PPT"	"WINAQ_URNG"	"PC"	"VALOR"	"MLP"	"UCN"	"FCN_NACION"	"EG"	"UNIDOS"	"SEMILLA"	"VAMOS"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11777"	"4"	"12"	"6"	"2"	"400"	"39"	"15"	"58"	"12"	"1"	"3"	"3"	"4"	"4"	"7"	"3"	"44"	"0"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"19"	"9"	"0"	"235"	"235"	"1"	"0"
"11778"	"4"	"12"	"6"	"2"	"400"	"56"	"16"	"71"	"14"	"1"	"1"	"4"	"5"	"12"	"3"	"3"	"33"	"2"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"16"	"15"	"0"	"267"	"267"	"1"	"0"
"11779"	"4"	"12"	"6"	"2"	"400"	"43"	"13"	"84"	"13"	"0"	"3"	"3"	"3"	"5"	"0"	"0"	"33"	"0"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"20"	"9"	"0"	"245"	"245"	"1"	"0"
"11780"	"4"	"12"	"6"	"2"	"400"	"64"	"9"	"78"	"15"	"3"	"7"	"6"	"3"	"5"	"7"	"3"	"32"	"0"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"15"	"13"	"0"	"278"	"278"	"1"	"0"
"11781"	"4"	"12"	"6"	"2"	"400"	"49"	"31"	"73"	"11"	"1"	"6"	"4"	"1"	"5"	"5"	"2"	"50"	"2"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"254"	"4"	"12"	"0"	"275"	"270"	"0"	"0"
"11782"	"4"	"12"	"6"	"2"	"400"	"38"	"9"	"70"	"15"	"1"	"3"	"6"	"1"	"3"	"4"	"1"	"28"	"0"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"9"	"5"	"0"	"210"	"210"	"1"	"0"
"11783"	"4"	"12"	"6"	"2"	"400"	"40"	"13"	"65"	"17"	"1"	"3"	"2"	"5"	"6"	"4"	"4"	"38"	"1"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"11"	"8"	"0"	"230"	"230"	"1"	"0"
"11784"	"4"	"12"	"6"	"2"	"400"	"42"	"13"	"72"	"21"	"0"	"2"	"1"	"0"	"3"	"3"	"4"	"42"	"2"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"10"	"8"	"0"	"236"	"236"	"1"	"0"
"11785"	"4"	"12"	"6"	"2"	"363"	"27"	"10"	"66"	"9"	"4"	"2"	"1"	"4"	"5"	"4"	"0"	"37"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"7"	"2"	"0"	"186"	"186"	"1"	"0"
"11786"	"4"	"12"	"6"	"2"	"359"	"22"	"12"	"63"	"16"	"0"	"2"	"1"	"1"	"3"	"5"	"1"	"40"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"5"	"2"	"0"	"183"	"183"	"1"	"0"
