"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"VIVA"	"FCN_NACION"	"VAMOS"	"BIEN"	"VALOR"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20812"	"4"	"22"	"13"	"2"	"403"	"97"	"116"	"4"	"51"	"5"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"12"	"4"	"0"	"308"	"308"	"1"	"0"
"20813"	"4"	"22"	"13"	"2"	"400"	"119"	"108"	"2"	"49"	"6"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"2"	"0"	"308"	"308"	"1"	"0"
"20814"	"4"	"22"	"13"	"2"	"396"	"86"	"137"	"2"	"57"	"7"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"19"	"4"	"0"	"321"	"321"	"1"	"0"
"20815"	"4"	"22"	"13"	"2"	"400"	"94"	"132"	"3"	"46"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"11"	"2"	"0"	"298"	"298"	"1"	"0"
"20816"	"4"	"22"	"13"	"2"	"400"	"92"	"105"	"2"	"36"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"4"	"3"	"0"	"254"	"254"	"1"	"0"
"20817"	"4"	"22"	"13"	"2"	"400"	"92"	"110"	"0"	"45"	"4"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"6"	"2"	"0"	"269"	"269"	"1"	"0"
"20818"	"4"	"22"	"13"	"2"	"239"	"63"	"71"	"4"	"30"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"1"	"0"	"0"	"182"	"182"	"1"	"0"
"20819"	"4"	"22"	"13"	"2"	"238"	"52"	"83"	"1"	"31"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"1"	"3"	"0"	"179"	"179"	"1"	"0"
"20820"	"4"	"22"	"13"	"2"	"400"	"84"	"110"	"3"	"76"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"29"	"7"	"0"	"312"	"312"	"1"	"0"
"20821"	"4"	"22"	"13"	"2"	"400"	"80"	"118"	"2"	"80"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"18"	"6"	"1"	"307"	"307"	"1"	"0"
