"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VALOR"	"MLP"	"PHG"	"BIEN"	"COCIYAC"	"PODEMOS"	"WINAQ_URNG"	"PC"	"FCN_NACION"	"AVANZA"	"FUERZA"	"UNIONISTA"	"LIBRE"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15891"	"4"	"15"	"4"	"2"	"403"	"22"	"54"	"47"	"3"	"4"	"5"	"41"	"5"	"4"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"191"	"14"	"6"	"0"	"213"	"211"	"0"	"0"
"15892"	"4"	"15"	"4"	"2"	"401"	"35"	"62"	"37"	"4"	"14"	"5"	"37"	"4"	"4"	"1"	"6"	"2"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"24"	"4"	"0"	"245"	"245"	"1"	"0"
"15893"	"4"	"15"	"4"	"2"	"400"	"11"	"81"	"49"	"3"	"7"	"17"	"28"	"1"	"5"	"1"	"7"	"6"	"2"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"21"	"4"	"0"	"249"	"249"	"1"	"1"
"15894"	"4"	"15"	"4"	"2"	"400"	"27"	"56"	"58"	"2"	"10"	"12"	"30"	"2"	"0"	"2"	"2"	"5"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"25"	"4"	"0"	"239"	"239"	"1"	"0"
"15895"	"4"	"15"	"4"	"2"	"400"	"22"	"41"	"60"	"4"	"5"	"10"	"49"	"5"	"6"	"1"	"1"	"4"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"10"	"4"	"0"	"227"	"227"	"1"	"1"
"15896"	"4"	"15"	"4"	"2"	"400"	"29"	"65"	"44"	"5"	"3"	"9"	"44"	"2"	"10"	"2"	"4"	"5"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"24"	"11"	"0"	"260"	"260"	"1"	"0"
"15897"	"4"	"15"	"4"	"2"	"401"	"31"	"48"	"48"	"7"	"2"	"5"	"42"	"10"	"4"	"2"	"3"	"4"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"16"	"6"	"2"	"232"	"232"	"1"	"0"
"15898"	"4"	"15"	"4"	"2"	"415"	"17"	"52"	"43"	"8"	"3"	"12"	"37"	"2"	"8"	"1"	"2"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"8"	"0"	"0"	"197"	"197"	"1"	"0"
"15899"	"4"	"15"	"4"	"2"	"400"	"28"	"64"	"35"	"1"	"1"	"6"	"49"	"6"	"11"	"2"	"3"	"5"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"4"	"5"	"0"	"224"	"224"	"1"	"0"
"15900"	"4"	"15"	"4"	"2"	"400"	"25"	"46"	"54"	"3"	"3"	"9"	"53"	"5"	"12"	"0"	"0"	"4"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"16"	"3"	"0"	"237"	"237"	"1"	"0"
"15901"	"4"	"15"	"4"	"2"	"402"	"19"	"47"	"50"	"3"	"1"	"9"	"43"	"5"	"14"	"1"	"2"	"2"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"8"	"6"	"0"	"216"	"216"	"1"	"0"
"15902"	"4"	"15"	"4"	"2"	"316"	"9"	"37"	"32"	"4"	"1"	"6"	"47"	"3"	"14"	"1"	"1"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"4"	"2"	"0"	"167"	"167"	"1"	"0"
"15903"	"4"	"15"	"4"	"2"	"314"	"29"	"33"	"33"	"4"	"2"	"11"	"43"	"6"	"9"	"1"	"3"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"3"	"0"	"3"	"181"	"181"	"1"	"0"
"15904"	"4"	"15"	"4"	"2"	"400"	"17"	"53"	"64"	"2"	"5"	"8"	"35"	"2"	"7"	"1"	"7"	"4"	"2"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"6"	"0"	"230"	"230"	"1"	"0"
"15905"	"4"	"15"	"4"	"2"	"400"	"15"	"58"	"48"	"3"	"6"	"13"	"34"	"1"	"10"	"2"	"2"	"4"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"12"	"12"	"0"	"224"	"224"	"1"	"0"
"15906"	"4"	"15"	"4"	"2"	"400"	"12"	"92"	"50"	"0"	"2"	"12"	"19"	"0"	"10"	"1"	"2"	"3"	"3"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"23"	"10"	"0"	"246"	"246"	"1"	"0"
"15907"	"4"	"15"	"4"	"2"	"400"	"11"	"114"	"51"	"2"	"5"	"2"	"32"	"2"	"10"	"1"	"3"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"23"	"7"	"0"	"270"	"270"	"1"	"0"
"15908"	"4"	"15"	"4"	"2"	"402"	"13"	"72"	"69"	"2"	"9"	"9"	"24"	"1"	"5"	"2"	"5"	"5"	"0"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"35"	"6"	"0"	"263"	"263"	"1"	"0"
"15909"	"4"	"15"	"4"	"2"	"400"	"12"	"68"	"70"	"3"	"3"	"11"	"22"	"2"	"3"	"3"	"5"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"37"	"14"	"0"	"258"	"258"	"1"	"0"
"15910"	"4"	"15"	"4"	"2"	"403"	"18"	"76"	"53"	"3"	"10"	"8"	"36"	"2"	"9"	"3"	"4"	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"17"	"11"	"0"	"257"	"257"	"1"	"0"
"15911"	"4"	"15"	"4"	"2"	"400"	"24"	"86"	"64"	"4"	"2"	"6"	"24"	"3"	"10"	"2"	"4"	"6"	"2"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"17"	"2"	"0"	"263"	"263"	"1"	"0"
"15912"	"4"	"15"	"4"	"2"	"401"	"19"	"60"	"67"	"4"	"5"	"5"	"32"	"3"	"7"	"1"	"3"	"7"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"16"	"4"	"0"	"239"	"239"	"1"	"0"
"15913"	"4"	"15"	"4"	"2"	"400"	"26"	"36"	"62"	"3"	"5"	"11"	"40"	"2"	"9"	"4"	"6"	"2"	"2"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"14"	"6"	"5"	"234"	"234"	"1"	"0"
"15914"	"4"	"15"	"4"	"2"	"400"	"5"	"61"	"58"	"4"	"7"	"8"	"31"	"7"	"2"	"6"	"3"	"4"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"18"	"4"	"0"	"224"	"224"	"1"	"0"
"15915"	"4"	"15"	"4"	"2"	"399"	"23"	"42"	"65"	"6"	"5"	"8"	"44"	"6"	"5"	"3"	"3"	"4"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"28"	"8"	"0"	"258"	"258"	"1"	"0"
"15916"	"4"	"15"	"4"	"2"	"400"	"11"	"58"	"51"	"3"	"3"	"2"	"43"	"4"	"6"	"1"	"5"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"12"	"2"	"0"	"210"	"210"	"1"	"0"
"15917"	"4"	"15"	"4"	"2"	"400"	"11"	"51"	"41"	"3"	"6"	"6"	"39"	"4"	"3"	"5"	"2"	"4"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"7"	"5"	"0"	"190"	"190"	"1"	"0"
"15918"	"4"	"15"	"4"	"2"	"400"	"15"	"51"	"49"	"4"	"1"	"8"	"39"	"5"	"6"	"3"	"1"	"2"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"7"	"4"	"0"	"200"	"200"	"1"	"0"
"15919"	"4"	"15"	"4"	"2"	"397"	"10"	"52"	"29"	"1"	"1"	"4"	"51"	"8"	"9"	"1"	"6"	"7"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"15"	"3"	"2"	"202"	"202"	"1"	"0"
"15920"	"4"	"15"	"4"	"2"	"400"	"11"	"45"	"33"	"3"	"5"	"8"	"35"	"4"	"9"	"2"	"12"	"9"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"11"	"5"	"0"	"197"	"197"	"1"	"0"
"15921"	"4"	"15"	"4"	"2"	"400"	"11"	"63"	"56"	"5"	"3"	"8"	"40"	"4"	"15"	"1"	"3"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"9"	"2"	"0"	"227"	"227"	"1"	"0"
"15922"	"4"	"15"	"4"	"2"	"313"	"12"	"51"	"58"	"3"	"2"	"7"	"36"	"4"	"4"	"0"	"2"	"2"	"0"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"2"	"0"	"0"	"188"	"188"	"1"	"0"
"15923"	"4"	"15"	"4"	"2"	"301"	"8"	"41"	"32"	"3"	"1"	"8"	"27"	"1"	"7"	"1"	"1"	"3"	"0"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"6"	"1"	"0"	"145"	"145"	"1"	"0"
"15924"	"4"	"15"	"4"	"2"	"375"	"17"	"21"	"59"	"1"	"0"	"6"	"25"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"13"	"10"	"0"	"163"	"163"	"1"	"0"
"15925"	"4"	"15"	"4"	"2"	"380"	"17"	"33"	"52"	"0"	"0"	"19"	"21"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"21"	"4"	"0"	"179"	"179"	"1"	"0"
"15926"	"4"	"15"	"4"	"2"	"380"	"19"	"12"	"57"	"2"	"0"	"12"	"13"	"2"	"2"	"0"	"0"	"10"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"20"	"4"	"0"	"159"	"159"	"1"	"0"
"15927"	"4"	"15"	"4"	"2"	"233"	"5"	"19"	"25"	"1"	"0"	"7"	"12"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"72"	"7"	"2"	"0"	"81"	"81"	"1"	"0"
"15928"	"4"	"15"	"4"	"2"	"237"	"8"	"20"	"32"	"0"	"0"	"10"	"18"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"6"	"3"	"0"	"101"	"101"	"1"	"0"
"15929"	"4"	"15"	"4"	"2"	"383"	"18"	"52"	"54"	"0"	"2"	"6"	"52"	"0"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"22"	"5"	"0"	"220"	"220"	"1"	"0"
"15930"	"4"	"15"	"4"	"2"	"380"	"32"	"62"	"57"	"0"	"3"	"3"	"74"	"2"	"8"	"1"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"24"	"6"	"0"	"278"	"278"	"1"	"0"
