"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"MLP"	"VALOR"	"FCN_NACION"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10315"	"4"	"10"	"2"	"2"	"400"	"108"	"101"	"9"	"9"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"20"	"5"	"0"	"270"	"270"	"1"	"2"
"10316"	"4"	"10"	"2"	"2"	"400"	"111"	"85"	"9"	"11"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"11"	"4"	"0"	"260"	"260"	"1"	"0"
"10317"	"4"	"10"	"2"	"2"	"398"	"117"	"97"	"5"	"12"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"15"	"5"	"0"	"284"	"284"	"1"	"0"
"10318"	"4"	"10"	"2"	"2"	"400"	"141"	"111"	"4"	"12"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"12"	"5"	"0"	"304"	"304"	"1"	"0"
"10319"	"4"	"10"	"2"	"2"	"400"	"130"	"101"	"4"	"15"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"12"	"3"	"0"	"286"	"286"	"1"	"0"
"10320"	"4"	"10"	"2"	"2"	"400"	"120"	"111"	"6"	"11"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"23"	"6"	"0"	"293"	"293"	"1"	"0"
"10321"	"4"	"10"	"2"	"2"	"398"	"128"	"104"	"8"	"18"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"16"	"4"	"0"	"300"	"300"	"1"	"0"
"10322"	"4"	"10"	"2"	"2"	"400"	"139"	"109"	"1"	"19"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"10"	"5"	"0"	"307"	"307"	"1"	"0"
"10323"	"4"	"10"	"2"	"2"	"400"	"149"	"83"	"6"	"8"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"15"	"3"	"0"	"283"	"283"	"1"	"0"
"10324"	"4"	"10"	"2"	"2"	"400"	"109"	"88"	"5"	"12"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"5"	"1"	"0"	"247"	"247"	"1"	"2"
"10325"	"4"	"10"	"2"	"2"	"400"	"126"	"98"	"6"	"6"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"4"	"0"	"269"	"269"	"1"	"2"
"10326"	"4"	"10"	"2"	"2"	"400"	"128"	"77"	"5"	"12"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"16"	"1"	"0"	"257"	"257"	"1"	"1"
"10327"	"4"	"10"	"2"	"2"	"400"	"97"	"91"	"6"	"10"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"15"	"5"	"0"	"249"	"249"	"1"	"3"
"10328"	"4"	"10"	"2"	"2"	"400"	"112"	"88"	"6"	"13"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"1"	"0"	"255"	"255"	"1"	"2"
"10329"	"4"	"10"	"2"	"2"	"400"	"120"	"77"	"5"	"10"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"10"	"0"	"0"	"241"	"241"	"1"	"0"
"10330"	"4"	"10"	"2"	"2"	"400"	"129"	"81"	"7"	"5"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"10"	"4"	"0"	"253"	"253"	"1"	"1"
"10331"	"4"	"10"	"2"	"2"	"395"	"128"	"81"	"5"	"13"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"5"	"1"	"0"	"258"	"257"	"0"	"1"
"10332"	"4"	"10"	"2"	"2"	"395"	"133"	"83"	"4"	"15"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"0"	"1"	"267"	"267"	"1"	"0"
"10333"	"4"	"10"	"2"	"2"	"400"	"95"	"107"	"5"	"9"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"24"	"2"	"0"	"256"	"256"	"1"	"0"
"10334"	"4"	"10"	"2"	"2"	"400"	"117"	"85"	"8"	"13"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"25"	"2"	"0"	"274"	"274"	"1"	"0"
"10335"	"4"	"10"	"2"	"2"	"400"	"103"	"91"	"5"	"9"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"12"	"6"	"0"	"263"	"263"	"1"	"0"
"10336"	"4"	"10"	"2"	"2"	"396"	"118"	"114"	"4"	"7"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"3"	"0"	"282"	"282"	"1"	"0"
"10337"	"4"	"10"	"2"	"2"	"400"	"97"	"101"	"11"	"15"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"19"	"8"	"0"	"276"	"276"	"1"	"1"
"10338"	"4"	"10"	"2"	"2"	"400"	"120"	"112"	"5"	"9"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"16"	"6"	"0"	"288"	"288"	"1"	"1"
"10339"	"4"	"10"	"2"	"2"	"0"	"114"	"83"	"8"	"7"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"23"	"3"	"0"	"266"	"266"	"1"	"0"
"10340"	"4"	"10"	"2"	"2"	"400"	"97"	"100"	"5"	"18"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"0"	"6"	"20"	"253"	"253"	"1"	"0"
"10341"	"4"	"10"	"2"	"2"	"400"	"92"	"91"	"6"	"8"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"10"	"3"	"0"	"236"	"236"	"1"	"7"
"10342"	"4"	"10"	"2"	"2"	"400"	"65"	"151"	"2"	"10"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"23"	"5"	"0"	"269"	"269"	"1"	"0"
