"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"TODOS"	"WINAQ"	"FCN_NACION"	"VAMOS"	"MLP"	"UCN"	"EG"	"CREO"	"UNIDOS"	"UNE"	"SEMILLA"	"PPT"	"FUERZA"	"CCO"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11375"	"4"	"11"	"9"	"2"	"400"	"72"	"13"	"7"	"10"	"9"	"22"	"2"	"4"	"4"	"6"	"98"	"2"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"12"	"12"	"24"	"278"	"278"	"1"	"0"
"11376"	"4"	"11"	"9"	"2"	"400"	"91"	"10"	"5"	"10"	"6"	"26"	"4"	"2"	"2"	"4"	"79"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"15"	"6"	"0"	"269"	"269"	"1"	"0"
"11377"	"4"	"11"	"9"	"2"	"393"	"75"	"15"	"2"	"9"	"5"	"24"	"5"	"1"	"3"	"8"	"76"	"6"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"9"	"0"	"265"	"265"	"1"	"0"
"11378"	"4"	"11"	"9"	"2"	"393"	"87"	"19"	"7"	"8"	"7"	"37"	"5"	"2"	"1"	"1"	"88"	"5"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"15"	"13"	"0"	"302"	"302"	"1"	"0"
"11379"	"4"	"11"	"9"	"2"	"400"	"80"	"10"	"5"	"12"	"6"	"36"	"6"	"4"	"3"	"7"	"79"	"4"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"9"	"5"	"0"	"277"	"277"	"1"	"0"
"11380"	"4"	"11"	"9"	"2"	"401"	"80"	"12"	"1"	"13"	"9"	"25"	"3"	"4"	"4"	"2"	"88"	"5"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"17"	"6"	"0"	"278"	"278"	"1"	"0"
"11381"	"4"	"11"	"9"	"2"	"394"	"84"	"12"	"9"	"9"	"11"	"37"	"4"	"5"	"0"	"2"	"104"	"3"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"17"	"7"	"0"	"315"	"315"	"1"	"0"
"11382"	"4"	"11"	"9"	"2"	"400"	"84"	"15"	"8"	"10"	"6"	"34"	"1"	"4"	"7"	"5"	"90"	"5"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"4"	"0"	"295"	"295"	"1"	"0"
"11383"	"4"	"11"	"9"	"2"	"400"	"76"	"13"	"6"	"10"	"3"	"29"	"4"	"2"	"7"	"1"	"85"	"5"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"8"	"0"	"276"	"276"	"1"	"0"
"11384"	"4"	"11"	"9"	"2"	"400"	"72"	"17"	"9"	"7"	"11"	"15"	"3"	"6"	"5"	"4"	"78"	"6"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"3"	"0"	"248"	"248"	"1"	"0"
"11385"	"4"	"11"	"9"	"2"	"433"	"74"	"15"	"11"	"7"	"3"	"30"	"2"	"1"	"2"	"3"	"62"	"9"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"3"	"1"	"0"	"236"	"236"	"1"	"0"
"11386"	"4"	"11"	"9"	"2"	"396"	"65"	"12"	"5"	"15"	"4"	"20"	"4"	"3"	"4"	"3"	"91"	"3"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"13"	"7"	"0"	"259"	"259"	"1"	"0"
"11387"	"4"	"11"	"9"	"2"	"450"	"78"	"17"	"4"	"7"	"3"	"33"	"3"	"4"	"4"	"4"	"64"	"7"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"4"	"0"	"251"	"251"	"1"	"0"
"11388"	"4"	"11"	"9"	"2"	"394"	"82"	"14"	"3"	"9"	"8"	"29"	"2"	"4"	"4"	"3"	"74"	"3"	"2"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"4"	"0"	"261"	"261"	"1"	"0"
"11389"	"4"	"11"	"9"	"2"	"392"	"104"	"11"	"5"	"10"	"8"	"14"	"3"	"2"	"6"	"3"	"57"	"2"	"2"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"6"	"0"	"249"	"249"	"1"	"0"
"11390"	"4"	"11"	"9"	"2"	"398"	"81"	"10"	"9"	"5"	"6"	"32"	"3"	"3"	"3"	"1"	"82"	"6"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"8"	"2"	"0"	"261"	"261"	"1"	"0"
"11391"	"4"	"11"	"9"	"2"	"400"	"79"	"9"	"5"	"6"	"6"	"33"	"3"	"0"	"5"	"3"	"78"	"3"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"6"	"0"	"252"	"252"	"1"	"0"
"11392"	"4"	"11"	"9"	"2"	"400"	"70"	"15"	"4"	"4"	"10"	"13"	"1"	"4"	"7"	"1"	"86"	"6"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"12"	"7"	"0"	"249"	"249"	"1"	"0"
"11393"	"4"	"11"	"9"	"2"	"400"	"66"	"15"	"4"	"5"	"7"	"22"	"5"	"3"	"2"	"0"	"57"	"5"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"9"	"5"	"0"	"214"	"214"	"1"	"0"
"11394"	"4"	"11"	"9"	"2"	"400"	"87"	"17"	"5"	"7"	"0"	"24"	"8"	"1"	"2"	"4"	"84"	"7"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"5"	"5"	"0"	"264"	"264"	"1"	"0"
"11395"	"4"	"11"	"9"	"2"	"400"	"100"	"23"	"5"	"7"	"3"	"29"	"3"	"0"	"4"	"3"	"72"	"3"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"3"	"5"	"0"	"266"	"266"	"1"	"0"
"11396"	"4"	"11"	"9"	"2"	"208"	"59"	"3"	"5"	"1"	"1"	"27"	"1"	"1"	"2"	"3"	"38"	"5"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"3"	"1"	"0"	"156"	"156"	"1"	"0"
"11397"	"4"	"11"	"9"	"2"	"207"	"40"	"8"	"4"	"1"	"6"	"17"	"1"	"3"	"3"	"3"	"33"	"2"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"1"	"3"	"0"	"130"	"130"	"1"	"0"
"11398"	"4"	"11"	"9"	"2"	"376"	"28"	"10"	"25"	"5"	"1"	"70"	"6"	"0"	"1"	"7"	"70"	"2"	"2"	"7"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"7"	"0"	"268"	"268"	"1"	"0"
"11399"	"4"	"11"	"9"	"2"	"374"	"38"	"10"	"11"	"9"	"2"	"84"	"3"	"0"	"1"	"3"	"89"	"2"	"2"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"7"	"11"	"0"	"291"	"291"	"1"	"0"
"11400"	"4"	"11"	"9"	"2"	"376"	"48"	"7"	"11"	"3"	"1"	"85"	"5"	"0"	"3"	"1"	"78"	"1"	"0"	"6"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"8"	"12"	"0"	"289"	"289"	"1"	"0"
"11401"	"4"	"11"	"9"	"2"	"380"	"38"	"7"	"15"	"4"	"2"	"94"	"5"	"1"	"2"	"3"	"81"	"1"	"0"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"19"	"0"	"0"	"297"	"297"	"1"	"0"
"11402"	"4"	"11"	"9"	"2"	"376"	"31"	"10"	"12"	"4"	"1"	"90"	"6"	"0"	"1"	"8"	"91"	"6"	"0"	"7"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"8"	"7"	"0"	"299"	"299"	"1"	"0"
"11403"	"4"	"11"	"9"	"2"	"377"	"24"	"10"	"15"	"2"	"2"	"62"	"5"	"0"	"0"	"6"	"52"	"3"	"0"	"10"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"3"	"6"	"0"	"214"	"214"	"1"	"0"
"11404"	"4"	"11"	"9"	"2"	"376"	"30"	"12"	"12"	"2"	"1"	"67"	"5"	"0"	"0"	"1"	"71"	"2"	"0"	"4"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"6"	"4"	"0"	"233"	"233"	"1"	"0"
"11405"	"4"	"11"	"9"	"2"	"375"	"31"	"11"	"13"	"3"	"2"	"75"	"10"	"0"	"1"	"7"	"82"	"2"	"0"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"7"	"10"	"0"	"270"	"270"	"1"	"0"
"11406"	"4"	"11"	"9"	"2"	"376"	"35"	"13"	"19"	"1"	"1"	"65"	"10"	"0"	"0"	"2"	"61"	"3"	"0"	"7"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"7"	"10"	"0"	"260"	"260"	"1"	"0"
"11407"	"4"	"11"	"9"	"2"	"374"	"28"	"9"	"16"	"2"	"1"	"59"	"10"	"3"	"1"	"4"	"64"	"4"	"0"	"2"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"7"	"1"	"0"	"237"	"237"	"1"	"0"
"11408"	"4"	"11"	"9"	"2"	"258"	"18"	"9"	"22"	"1"	"1"	"54"	"7"	"0"	"0"	"4"	"38"	"2"	"1"	"2"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"2"	"1"	"0"	"183"	"183"	"1"	"0"
"11409"	"4"	"11"	"9"	"2"	"255"	"23"	"8"	"10"	"1"	"0"	"45"	"6"	"1"	"0"	"1"	"39"	"1"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"2"	"2"	"0"	"154"	"154"	"1"	"0"
"11410"	"4"	"11"	"9"	"2"	"379"	"39"	"5"	"5"	"0"	"2"	"38"	"16"	"3"	"0"	"11"	"89"	"1"	"1"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"18"	"7"	"0"	"261"	"261"	"1"	"0"
"11411"	"4"	"11"	"9"	"2"	"374"	"42"	"9"	"8"	"2"	"1"	"38"	"17"	"0"	"1"	"17"	"100"	"2"	"1"	"6"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"13"	"11"	"0"	"283"	"283"	"1"	"0"
"11412"	"4"	"11"	"9"	"2"	"374"	"28"	"4"	"20"	"1"	"2"	"32"	"25"	"0"	"2"	"21"	"105"	"0"	"0"	"5"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"9"	"4"	"0"	"280"	"280"	"1"	"0"
"11413"	"4"	"11"	"9"	"2"	"376"	"26"	"3"	"8"	"1"	"2"	"34"	"27"	"1"	"0"	"20"	"112"	"2"	"1"	"7"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"18"	"7"	"0"	"295"	"295"	"1"	"0"
"11414"	"4"	"11"	"9"	"2"	"376"	"26"	"5"	"6"	"1"	"0"	"38"	"19"	"1"	"1"	"8"	"84"	"1"	"0"	"2"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"14"	"6"	"0"	"234"	"234"	"1"	"0"
"11415"	"4"	"11"	"9"	"2"	"380"	"35"	"8"	"9"	"3"	"2"	"34"	"18"	"1"	"1"	"11"	"98"	"5"	"0"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"9"	"0"	"266"	"266"	"1"	"0"
"11416"	"4"	"11"	"9"	"2"	"376"	"25"	"3"	"11"	"1"	"1"	"38"	"20"	"0"	"1"	"17"	"88"	"0"	"0"	"2"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"17"	"0"	"257"	"257"	"1"	"0"
"11417"	"4"	"11"	"9"	"2"	"379"	"36"	"5"	"6"	"2"	"2"	"26"	"23"	"0"	"0"	"12"	"94"	"1"	"0"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"13"	"7"	"0"	"251"	"251"	"1"	"0"
"11418"	"4"	"11"	"9"	"2"	"329"	"29"	"8"	"12"	"1"	"3"	"31"	"19"	"0"	"4"	"12"	"60"	"2"	"1"	"7"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"10"	"3"	"0"	"224"	"224"	"1"	"0"
"11419"	"4"	"11"	"9"	"2"	"329"	"26"	"4"	"7"	"0"	"1"	"34"	"18"	"0"	"0"	"13"	"84"	"1"	"0"	"6"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"4"	"3"	"0"	"219"	"219"	"1"	"1"
"11420"	"4"	"11"	"9"	"2"	"371"	"14"	"0"	"6"	"4"	"1"	"69"	"8"	"1"	"0"	"18"	"80"	"1"	"0"	"2"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"17"	"0"	"282"	"282"	"1"	"0"
"11421"	"4"	"11"	"9"	"2"	"378"	"19"	"5"	"2"	"8"	"1"	"82"	"14"	"4"	"1"	"14"	"63"	"1"	"0"	"4"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"13"	"0"	"291"	"291"	"1"	"0"
"11422"	"4"	"11"	"9"	"2"	"376"	"26"	"6"	"4"	"2"	"2"	"70"	"13"	"1"	"1"	"10"	"80"	"1"	"0"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"9"	"10"	"0"	"278"	"278"	"1"	"0"
"11423"	"4"	"11"	"9"	"2"	"376"	"15"	"5"	"6"	"2"	"0"	"53"	"12"	"0"	"0"	"14"	"59"	"1"	"0"	"4"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"8"	"4"	"0"	"220"	"220"	"1"	"0"
"11424"	"4"	"11"	"9"	"2"	"380"	"16"	"4"	"7"	"3"	"0"	"72"	"8"	"1"	"0"	"15"	"60"	"0"	"1"	"4"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"5"	"7"	"0"	"244"	"244"	"1"	"0"
"11425"	"4"	"11"	"9"	"2"	"356"	"14"	"2"	"5"	"2"	"1"	"52"	"8"	"1"	"0"	"10"	"64"	"1"	"1"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"7"	"7"	"0"	"215"	"215"	"1"	"0"
"11426"	"4"	"11"	"9"	"2"	"359"	"26"	"0"	"10"	"1"	"1"	"61"	"8"	"2"	"1"	"11"	"52"	"1"	"1"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"4"	"3"	"0"	"212"	"212"	"1"	"0"
"11427"	"4"	"11"	"9"	"2"	"514"	"35"	"4"	"7"	"3"	"7"	"22"	"4"	"1"	"2"	"3"	"34"	"0"	"1"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"5"	"11"	"0"	"156"	"156"	"1"	"0"
