"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18508"	"4"	"18"	"3"	"2"	"400"	"18"	"89"	"13"	"11"	"20"	"1"	"0"	"44"	"31"	"3"	"9"	"1"	"6"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"255"	"19"	"5"	"0"	"288"	"279"	"0"	"0"
"18509"	"4"	"18"	"3"	"2"	"400"	"13"	"57"	"18"	"20"	"30"	"0"	"9"	"49"	"25"	"3"	"8"	"1"	"10"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"16"	"3"	"0"	"277"	"277"	"1"	"0"
"18510"	"4"	"18"	"3"	"2"	"399"	"13"	"86"	"23"	"16"	"23"	"4"	"12"	"45"	"41"	"6"	"5"	"1"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"13"	"1"	"0"	"303"	"303"	"1"	"0"
"18511"	"4"	"18"	"3"	"2"	"400"	"17"	"67"	"24"	"12"	"27"	"4"	"11"	"51"	"32"	"4"	"7"	"1"	"7"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"22"	"5"	"0"	"308"	"308"	"1"	"0"
"18512"	"4"	"18"	"3"	"2"	"400"	"11"	"73"	"16"	"14"	"27"	"3"	"10"	"42"	"35"	"4"	"2"	"2"	"12"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"20"	"3"	"0"	"279"	"279"	"1"	"0"
"18513"	"4"	"18"	"3"	"2"	"397"	"15"	"81"	"10"	"12"	"33"	"1"	"14"	"52"	"40"	"1"	"5"	"2"	"13"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"16"	"1"	"0"	"303"	"303"	"1"	"0"
"18514"	"4"	"18"	"3"	"2"	"400"	"10"	"75"	"9"	"11"	"41"	"0"	"15"	"70"	"33"	"2"	"7"	"0"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"16"	"1"	"0"	"311"	"311"	"1"	"0"
"18515"	"4"	"18"	"3"	"2"	"397"	"12"	"84"	"25"	"14"	"29"	"2"	"6"	"54"	"33"	"3"	"10"	"2"	"13"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"11"	"3"	"0"	"313"	"313"	"1"	"0"
"18516"	"4"	"18"	"3"	"2"	"401"	"16"	"56"	"18"	"11"	"19"	"0"	"14"	"57"	"33"	"1"	"6"	"7"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"2"	"0"	"273"	"273"	"1"	"0"
"18517"	"4"	"18"	"3"	"2"	"400"	"14"	"65"	"18"	"17"	"27"	"0"	"10"	"49"	"32"	"3"	"3"	"1"	"12"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"1"	"0"	"274"	"274"	"1"	"0"
