"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"CREO"	"PC"	"BIEN"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6101"	"4"	"4"	"5"	"2"	"375"	"69"	"57"	"18"	"104"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"19"	"5"	"0"	"278"	"278"	"1"	"0"
"6102"	"4"	"4"	"5"	"2"	"400"	"63"	"53"	"21"	"108"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"2"	"0"	"266"	"266"	"1"	"0"
"6103"	"4"	"4"	"5"	"2"	"396"	"76"	"46"	"14"	"125"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"13"	"3"	"0"	"283"	"283"	"1"	"0"
"6104"	"4"	"4"	"5"	"2"	"394"	"76"	"47"	"14"	"110"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"13"	"4"	"0"	"273"	"273"	"1"	"0"
"6105"	"4"	"4"	"5"	"2"	"398"	"102"	"51"	"13"	"110"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"14"	"5"	"0"	"299"	"299"	"1"	"1"
"6106"	"4"	"4"	"5"	"2"	"400"	"90"	"48"	"16"	"112"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"9"	"6"	"0"	"283"	"283"	"1"	"0"
"6107"	"4"	"4"	"5"	"2"	"400"	"73"	"71"	"14"	"117"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"12"	"6"	"0"	"297"	"297"	"1"	"0"
"6108"	"4"	"4"	"5"	"2"	"394"	"92"	"71"	"6"	"116"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"7"	"9"	"0"	"309"	"309"	"1"	"0"
"6109"	"4"	"4"	"5"	"2"	"400"	"98"	"56"	"8"	"112"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"9"	"2"	"0"	"293"	"293"	"1"	"0"
"6110"	"4"	"4"	"5"	"2"	"394"	"74"	"38"	"18"	"124"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"2"	"0"	"276"	"276"	"1"	"0"
"6111"	"4"	"4"	"5"	"2"	"398"	"82"	"60"	"15"	"115"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"6"	"0"	"0"	"285"	"285"	"1"	"0"
