"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VIVA"	"MLP"	"PHG"	"SEMILLA"	"PODEMOS"	"FCN_NACION"	"VALOR"	"FUERZA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9869"	"4"	"9"	"19"	"2"	"400"	"30"	"72"	"60"	"8"	"3"	"2"	"1"	"6"	"65"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"23"	"6"	"0"	"284"	"284"	"1"	"0"
"9870"	"4"	"9"	"19"	"2"	"396"	"20"	"77"	"69"	"8"	"4"	"0"	"0"	"5"	"70"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"6"	"0"	"279"	"279"	"1"	"0"
"9871"	"4"	"9"	"19"	"2"	"400"	"50"	"70"	"58"	"6"	"5"	"1"	"1"	"2"	"83"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"16"	"7"	"0"	"306"	"306"	"1"	"0"
"9872"	"4"	"9"	"19"	"2"	"400"	"38"	"81"	"71"	"12"	"6"	"3"	"2"	"5"	"79"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"15"	"6"	"0"	"325"	"325"	"1"	"0"
"9873"	"4"	"9"	"19"	"2"	"396"	"49"	"94"	"65"	"2"	"4"	"1"	"3"	"5"	"55"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"18"	"4"	"0"	"302"	"302"	"1"	"0"
"9874"	"4"	"9"	"19"	"2"	"398"	"39"	"77"	"50"	"8"	"4"	"5"	"1"	"8"	"93"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"13"	"2"	"0"	"309"	"309"	"1"	"0"
"9875"	"4"	"9"	"19"	"2"	"400"	"30"	"80"	"61"	"3"	"9"	"2"	"2"	"7"	"71"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"19"	"5"	"0"	"294"	"294"	"1"	"0"
"9876"	"4"	"9"	"19"	"2"	"396"	"25"	"80"	"79"	"10"	"4"	"1"	"0"	"4"	"78"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"13"	"1"	"0"	"306"	"306"	"1"	"0"
"9877"	"4"	"9"	"19"	"2"	"379"	"27"	"69"	"57"	"9"	"4"	"1"	"0"	"7"	"68"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"7"	"6"	"0"	"265"	"265"	"1"	"0"
"9878"	"4"	"9"	"19"	"2"	"396"	"34"	"60"	"56"	"6"	"6"	"3"	"0"	"3"	"86"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"2"	"0"	"273"	"273"	"1"	"0"
"9879"	"4"	"9"	"19"	"2"	"380"	"31"	"61"	"68"	"5"	"9"	"4"	"1"	"3"	"71"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"17"	"3"	"1"	"290"	"289"	"0"	"0"
"9880"	"4"	"9"	"19"	"2"	"396"	"30"	"75"	"65"	"6"	"4"	"7"	"0"	"1"	"77"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"0"	"0"	"281"	"281"	"1"	"0"
"9881"	"4"	"9"	"19"	"2"	"400"	"22"	"74"	"74"	"3"	"5"	"4"	"1"	"1"	"97"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"7"	"2"	"0"	"293"	"293"	"1"	"1"
"9882"	"4"	"9"	"19"	"2"	"400"	"27"	"61"	"68"	"9"	"7"	"0"	"1"	"2"	"90"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"14"	"3"	"0"	"287"	"287"	"1"	"0"
"9883"	"4"	"9"	"19"	"2"	"396"	"27"	"66"	"69"	"5"	"5"	"1"	"0"	"2"	"80"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"7"	"4"	"0"	"272"	"272"	"1"	"0"
"9884"	"4"	"9"	"19"	"2"	"380"	"23"	"66"	"68"	"6"	"6"	"2"	"0"	"0"	"96"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"2"	"1"	"0"	"282"	"282"	"1"	"0"
"9885"	"4"	"9"	"19"	"2"	"379"	"20"	"61"	"72"	"3"	"4"	"2"	"1"	"1"	"74"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"7"	"0"	"0"	"251"	"251"	"1"	"0"
"9886"	"4"	"9"	"19"	"2"	"380"	"12"	"31"	"29"	"3"	"16"	"2"	"0"	"48"	"52"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"24"	"19"	"0"	"243"	"243"	"1"	"0"
"9887"	"4"	"9"	"19"	"2"	"376"	"16"	"43"	"37"	"1"	"16"	"8"	"1"	"51"	"44"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"33"	"15"	"0"	"271"	"271"	"1"	"0"
"9888"	"4"	"9"	"19"	"2"	"380"	"17"	"53"	"31"	"2"	"14"	"2"	"3"	"31"	"33"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"24"	"8"	"0"	"224"	"224"	"1"	"0"
"9889"	"4"	"9"	"19"	"2"	"264"	"8"	"32"	"26"	"2"	"8"	"4"	"0"	"19"	"28"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"15"	"4"	"0"	"152"	"152"	"1"	"0"
"9890"	"4"	"9"	"19"	"2"	"264"	"6"	"49"	"26"	"1"	"8"	"0"	"1"	"24"	"23"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"2"	"5"	"0"	"148"	"148"	"1"	"0"
"9891"	"4"	"9"	"19"	"2"	"376"	"12"	"85"	"27"	"5"	"26"	"1"	"1"	"6"	"88"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"3"	"0"	"296"	"296"	"1"	"0"
"9892"	"4"	"9"	"19"	"2"	"380"	"12"	"90"	"34"	"3"	"15"	"0"	"2"	"9"	"78"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"3"	"24"	"0"	"308"	"308"	"1"	"0"
"9893"	"4"	"9"	"19"	"2"	"381"	"15"	"75"	"24"	"3"	"20"	"0"	"1"	"6"	"75"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"22"	"6"	"0"	"292"	"292"	"1"	"0"
"9894"	"4"	"9"	"19"	"2"	"376"	"6"	"82"	"34"	"5"	"19"	"0"	"2"	"5"	"79"	"40"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"15"	"6"	"0"	"294"	"294"	"1"	"1"
"9895"	"4"	"9"	"19"	"2"	"376"	"4"	"83"	"33"	"5"	"12"	"1"	"1"	"2"	"84"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"14"	"4"	"0"	"279"	"279"	"1"	"0"
"9896"	"4"	"9"	"19"	"2"	"376"	"10"	"89"	"33"	"3"	"18"	"0"	"3"	"2"	"66"	"26"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"14"	"2"	"0"	"267"	"267"	"1"	"0"
