"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"FCN_NACION"	"BIEN"	"UNIONISTA"	"PHG"	"VIVA"	"PC"	"LIBRE"	"CREO"	"EG"	"URNG_MAIZ"	"VICTORIA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12581"	"4"	"12"	"20"	"2"	"396"	"68"	"19"	"23"	"0"	"9"	"4"	"3"	"7"	"1"	"33"	"35"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"11"	"10"	"0"	"240"	"240"	"1"	"0"
"12582"	"4"	"12"	"20"	"2"	"400"	"76"	"19"	"18"	"1"	"3"	"6"	"0"	"5"	"1"	"25"	"32"	"8"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"18"	"2"	"0"	"224"	"224"	"1"	"0"
"12583"	"4"	"12"	"20"	"2"	"400"	"69"	"24"	"14"	"0"	"16"	"4"	"2"	"2"	"3"	"31"	"17"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"11"	"9"	"0"	"218"	"218"	"1"	"0"
"12584"	"4"	"12"	"20"	"2"	"396"	"89"	"32"	"30"	"3"	"8"	"4"	"1"	"7"	"1"	"29"	"11"	"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"19"	"9"	"0"	"264"	"264"	"1"	"0"
"12585"	"4"	"12"	"20"	"2"	"400"	"63"	"23"	"23"	"1"	"3"	"6"	"4"	"9"	"0"	"35"	"16"	"17"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"8"	"3"	"0"	"226"	"226"	"1"	"0"
"12586"	"4"	"12"	"20"	"2"	"396"	"61"	"17"	"9"	"2"	"6"	"1"	"2"	"8"	"2"	"28"	"24"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"12"	"5"	"0"	"195"	"195"	"1"	"0"
"12587"	"4"	"12"	"20"	"2"	"396"	"67"	"14"	"16"	"2"	"6"	"5"	"0"	"9"	"3"	"27"	"23"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"5"	"7"	"0"	"201"	"201"	"1"	"0"
"12588"	"4"	"12"	"20"	"2"	"396"	"66"	"26"	"15"	"0"	"11"	"4"	"1"	"2"	"1"	"41"	"20"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"6"	"6"	"0"	"213"	"213"	"1"	"0"
"12589"	"4"	"12"	"20"	"2"	"376"	"62"	"17"	"12"	"1"	"6"	"6"	"0"	"7"	"0"	"28"	"18"	"17"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"4"	"3"	"0"	"192"	"192"	"1"	"0"
"12590"	"4"	"12"	"20"	"2"	"375"	"57"	"15"	"17"	"1"	"5"	"2"	"3"	"3"	"2"	"43"	"14"	"15"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"3"	"0"	"0"	"193"	"193"	"1"	"0"
"12591"	"4"	"12"	"20"	"2"	"380"	"108"	"47"	"3"	"0"	"8"	"2"	"1"	"1"	"1"	"11"	"5"	"9"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"12"	"7"	"0"	"225"	"225"	"1"	"0"
