"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"FCN_NACION"	"FUERZA"	"PHG"	"SEMILLA"	"UCN"	"TODOS"	"VAMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12238"	"4"	"12"	"14"	"2"	"400"	"40"	"69"	"17"	"3"	"17"	"11"	"2"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"13"	"5"	"0"	"205"	"205"	"1"	"0"
"12239"	"4"	"12"	"14"	"2"	"400"	"35"	"87"	"30"	"10"	"14"	"6"	"1"	"11"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"14"	"8"	"0"	"244"	"244"	"1"	"0"
"12240"	"4"	"12"	"14"	"2"	"397"	"40"	"82"	"34"	"14"	"18"	"25"	"0"	"0"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"20"	"4"	"0"	"278"	"278"	"1"	"0"
"12241"	"4"	"12"	"14"	"2"	"400"	"45"	"94"	"22"	"9"	"19"	"13"	"0"	"1"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"17"	"13"	"0"	"263"	"263"	"1"	"0"
"12242"	"4"	"12"	"14"	"2"	"400"	"49"	"75"	"37"	"11"	"27"	"8"	"1"	"3"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"12"	"11"	"0"	"288"	"287"	"0"	"1"
"12243"	"4"	"12"	"14"	"2"	"400"	"40"	"96"	"31"	"1"	"18"	"2"	"0"	"1"	"58"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"6"	"0"	"260"	"260"	"1"	"0"
"12244"	"4"	"12"	"14"	"2"	"400"	"36"	"72"	"20"	"10"	"12"	"10"	"0"	"6"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"5"	"5"	"0"	"209"	"209"	"1"	"0"
"12245"	"4"	"12"	"14"	"2"	"400"	"39"	"53"	"24"	"5"	"22"	"14"	"0"	"2"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"8"	"6"	"0"	"207"	"207"	"1"	"0"
"12246"	"4"	"12"	"14"	"2"	"277"	"30"	"46"	"22"	"10"	"12"	"8"	"0"	"1"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"1"	"0"	"0"	"160"	"160"	"1"	"0"
"12247"	"4"	"12"	"14"	"2"	"277"	"30"	"76"	"17"	"4"	"11"	"8"	"0"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"1"	"0"	"0"	"174"	"174"	"1"	"0"
"12248"	"4"	"12"	"14"	"2"	"380"	"31"	"76"	"46"	"7"	"16"	"4"	"0"	"17"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"16"	"9"	"0"	"242"	"242"	"1"	"0"
"12249"	"4"	"12"	"14"	"2"	"380"	"34"	"93"	"64"	"10"	"17"	"1"	"3"	"15"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"19"	"8"	"0"	"281"	"281"	"1"	"0"
"12250"	"4"	"12"	"14"	"2"	"380"	"37"	"92"	"62"	"4"	"12"	"2"	"2"	"3"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"2"	"0"	"253"	"253"	"1"	"0"
"12251"	"4"	"12"	"14"	"2"	"297"	"18"	"58"	"39"	"3"	"9"	"2"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"8"	"2"	"0"	"151"	"151"	"1"	"0"
"12252"	"4"	"12"	"14"	"2"	"296"	"29"	"75"	"39"	"6"	"14"	"1"	"0"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"3"	"2"	"0"	"186"	"186"	"1"	"0"
"12253"	"4"	"12"	"14"	"2"	"380"	"34"	"81"	"103"	"1"	"26"	"1"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"15"	"10"	"0"	"278"	"278"	"1"	"0"
"12254"	"4"	"12"	"14"	"2"	"380"	"38"	"51"	"117"	"1"	"39"	"0"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"20"	"16"	"0"	"0"	"289"	"0"	"0"
"12255"	"4"	"12"	"14"	"2"	"380"	"54"	"60"	"109"	"3"	"36"	"1"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"15"	"8"	"0"	"292"	"292"	"1"	"0"
"12256"	"4"	"12"	"14"	"2"	"380"	"43"	"55"	"107"	"1"	"22"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"7"	"4"	"0"	"243"	"243"	"1"	"0"
