"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"EG"	"FCN_NACION"	"VIVA"	"PHG"	"UNE"	"PODEMOS"	"VALOR"	"VAMOS"	"UCN"	"PC"	"LIBRE"	"TODOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5912"	"4"	"3"	"16"	"2"	"397"	"6"	"117"	"16"	"5"	"7"	"10"	"20"	"5"	"20"	"6"	"23"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"13"	"6"	"0"	"260"	"260"	"1"	"0"
"5913"	"4"	"3"	"16"	"2"	"394"	"10"	"114"	"13"	"2"	"8"	"11"	"25"	"7"	"23"	"0"	"20"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"11"	"3"	"0"	"254"	"254"	"1"	"0"
"5914"	"4"	"3"	"16"	"2"	"396"	"10"	"108"	"18"	"6"	"14"	"19"	"22"	"7"	"8"	"4"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"13"	"7"	"0"	"262"	"262"	"1"	"0"
"5915"	"4"	"3"	"16"	"2"	"400"	"11"	"123"	"7"	"4"	"9"	"11"	"32"	"6"	"15"	"7"	"26"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"8"	"5"	"0"	"271"	"271"	"1"	"1"
"5916"	"4"	"3"	"16"	"2"	"396"	"6"	"108"	"20"	"5"	"17"	"12"	"28"	"8"	"19"	"2"	"25"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"11"	"6"	"0"	"278"	"278"	"1"	"0"
"5917"	"4"	"3"	"16"	"2"	"400"	"14"	"101"	"14"	"4"	"8"	"21"	"21"	"11"	"14"	"4"	"28"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"1"	"0"	"262"	"262"	"1"	"0"
"5918"	"4"	"3"	"16"	"2"	"396"	"11"	"115"	"11"	"3"	"10"	"13"	"32"	"8"	"23"	"5"	"29"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"13"	"1"	"0"	"282"	"282"	"1"	"0"
"5919"	"4"	"3"	"16"	"2"	"400"	"16"	"105"	"13"	"10"	"13"	"17"	"22"	"10"	"16"	"4"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"7"	"6"	"0"	"272"	"272"	"1"	"0"
"5920"	"4"	"3"	"16"	"2"	"400"	"12"	"119"	"13"	"5"	"9"	"11"	"42"	"8"	"18"	"1"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"4"	"0"	"278"	"278"	"1"	"0"
"5921"	"4"	"3"	"16"	"2"	"400"	"6"	"120"	"10"	"6"	"3"	"13"	"21"	"4"	"17"	"4"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"2"	"0"	"234"	"234"	"1"	"0"
"5922"	"4"	"3"	"16"	"2"	"396"	"2"	"114"	"15"	"5"	"5"	"18"	"23"	"0"	"16"	"3"	"22"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"19"	"2"	"0"	"250"	"250"	"1"	"0"
"5923"	"4"	"3"	"16"	"2"	"397"	"9"	"98"	"20"	"8"	"13"	"12"	"19"	"6"	"24"	"4"	"22"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"4"	"3"	"0"	"245"	"245"	"1"	"0"
"5924"	"4"	"3"	"16"	"2"	"400"	"9"	"99"	"16"	"6"	"13"	"10"	"27"	"4"	"13"	"3"	"26"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"2"	"0"	"246"	"246"	"1"	"0"
"5925"	"4"	"3"	"16"	"2"	"396"	"8"	"105"	"14"	"6"	"11"	"19"	"20"	"9"	"17"	"4"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"14"	"4"	"1"	"256"	"256"	"1"	"0"
"5926"	"4"	"3"	"16"	"2"	"396"	"7"	"114"	"17"	"7"	"12"	"14"	"24"	"12"	"13"	"3"	"20"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"5"	"0"	"266"	"266"	"1"	"0"
"5927"	"4"	"3"	"16"	"2"	"396"	"15"	"120"	"10"	"5"	"8"	"13"	"24"	"7"	"24"	"1"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"8"	"5"	"0"	"268"	"268"	"1"	"0"
"5928"	"4"	"3"	"16"	"2"	"400"	"11"	"117"	"16"	"2"	"8"	"14"	"16"	"3"	"21"	"3"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"5"	"0"	"249"	"249"	"1"	"0"
"5929"	"4"	"3"	"16"	"2"	"398"	"8"	"120"	"12"	"3"	"4"	"13"	"19"	"3"	"13"	"5"	"21"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"14"	"6"	"0"	"246"	"246"	"1"	"0"
"5930"	"4"	"3"	"16"	"2"	"396"	"10"	"88"	"16"	"4"	"8"	"4"	"21"	"7"	"23"	"3"	"30"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"17"	"4"	"0"	"242"	"242"	"1"	"0"
"5931"	"4"	"3"	"16"	"2"	"400"	"7"	"92"	"19"	"5"	"7"	"10"	"25"	"5"	"5"	"0"	"20"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"8"	"8"	"0"	"221"	"221"	"1"	"0"
"5932"	"4"	"3"	"16"	"2"	"397"	"10"	"114"	"12"	"5"	"6"	"12"	"27"	"4"	"17"	"2"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"6"	"4"	"0"	"250"	"250"	"1"	"0"
"5933"	"4"	"3"	"16"	"2"	"400"	"16"	"115"	"12"	"5"	"8"	"17"	"28"	"9"	"15"	"9"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"4"	"2"	"1"	"275"	"275"	"1"	"0"
"5934"	"4"	"3"	"16"	"2"	"227"	"7"	"78"	"12"	"7"	"2"	"14"	"21"	"2"	"14"	"3"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"4"	"1"	"0"	"186"	"186"	"1"	"0"
"5935"	"4"	"3"	"16"	"2"	"226"	"5"	"55"	"12"	"5"	"2"	"3"	"17"	"1"	"9"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"3"	"3"	"0"	"129"	"129"	"1"	"0"
