"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"CREO"	"LIBRE"	"VIVA"	"URNG_MAIZ"	"PHG"	"TODOS"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"MLP"	"VICTORIA"	"PC"	"FCN_NACION"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12174"	"4"	"12"	"13"	"2"	"399"	"48"	"67"	"59"	"0"	"2"	"2"	"3"	"13"	"2"	"0"	"2"	"4"	"1"	"2"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"215"	"7"	"3"	"0"	"226"	"225"	"0"	"0"
"12175"	"4"	"12"	"13"	"2"	"400"	"54"	"47"	"62"	"1"	"2"	"4"	"2"	"21"	"4"	"1"	"1"	"3"	"0"	"2"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"18"	"1"	"0"	"233"	"233"	"1"	"0"
"12176"	"4"	"12"	"13"	"2"	"400"	"53"	"48"	"75"	"0"	"0"	"2"	"0"	"25"	"2"	"2"	"1"	"4"	"1"	"2"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"25"	"3"	"0"	"249"	"249"	"1"	"0"
"12177"	"4"	"12"	"13"	"2"	"350"	"76"	"57"	"60"	"2"	"0"	"0"	"4"	"0"	"6"	"1"	"3"	"2"	"3"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"37"	"8"	"0"	"263"	"263"	"1"	"0"
"12178"	"4"	"12"	"13"	"2"	"400"	"89"	"62"	"38"	"1"	"0"	"1"	"2"	"22"	"5"	"0"	"0"	"6"	"0"	"3"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"23"	"11"	"0"	"270"	"270"	"1"	"0"
"12179"	"4"	"12"	"13"	"2"	"400"	"41"	"57"	"58"	"0"	"2"	"4"	"2"	"9"	"4"	"3"	"0"	"4"	"1"	"2"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"22"	"15"	"0"	"234"	"234"	"1"	"0"
"12180"	"4"	"12"	"13"	"2"	"400"	"62"	"103"	"58"	"0"	"0"	"4"	"6"	"4"	"2"	"3"	"2"	"4"	"1"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"6"	"0"	"271"	"271"	"1"	"0"
"12181"	"4"	"12"	"13"	"2"	"400"	"76"	"101"	"49"	"0"	"0"	"3"	"2"	"7"	"1"	"1"	"1"	"3"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"13"	"4"	"0"	"266"	"266"	"1"	"0"
"12182"	"4"	"12"	"13"	"2"	"400"	"40"	"47"	"51"	"0"	"0"	"3"	"1"	"13"	"3"	"0"	"1"	"1"	"1"	"3"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"8"	"7"	"0"	"185"	"185"	"1"	"0"
"12183"	"4"	"12"	"13"	"2"	"400"	"35"	"59"	"61"	"1"	"0"	"5"	"2"	"12"	"2"	"6"	"3"	"6"	"1"	"2"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"4"	"0"	"223"	"223"	"1"	"0"
