"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UCN"	"DESARROLLO"	"BIEN"	"TODOS"	"SEMILLA"	"UNE"	"EG"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19583"	"4"	"20"	"7"	"2"	"400"	"11"	"66"	"95"	"24"	"18"	"1"	"54"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"4"	"0"	"283"	"283"	"1"	"0"
"19584"	"4"	"20"	"7"	"2"	"399"	"14"	"60"	"101"	"28"	"15"	"4"	"44"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"8"	"3"	"0"	"283"	"283"	"1"	"0"
"19585"	"4"	"20"	"7"	"2"	"400"	"4"	"60"	"121"	"24"	"15"	"0"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"11"	"4"	"0"	"289"	"289"	"1"	"0"
"19586"	"4"	"20"	"7"	"2"	"400"	"12"	"62"	"112"	"30"	"23"	"2"	"26"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"18"	"5"	"0"	"297"	"297"	"1"	"0"
"19587"	"4"	"20"	"7"	"2"	"405"	"12"	"66"	"111"	"24"	"16"	"4"	"33"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"5"	"2"	"0"	"281"	"281"	"1"	"0"
"19588"	"4"	"20"	"7"	"2"	"400"	"9"	"50"	"120"	"41"	"24"	"2"	"34"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"7"	"2"	"0"	"296"	"296"	"1"	"0"
"19589"	"4"	"20"	"7"	"2"	"400"	"7"	"61"	"102"	"29"	"23"	"5"	"49"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"10"	"0"	"0"	"296"	"296"	"1"	"0"
"19590"	"4"	"20"	"7"	"2"	"400"	"7"	"50"	"126"	"36"	"21"	"3"	"31"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"9"	"2"	"0"	"294"	"294"	"1"	"0"
"19591"	"4"	"20"	"7"	"2"	"400"	"9"	"48"	"145"	"36"	"28"	"2"	"28"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"5"	"2"	"0"	"307"	"307"	"1"	"0"
"19592"	"4"	"20"	"7"	"2"	"400"	"9"	"58"	"97"	"35"	"17"	"4"	"50"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"7"	"1"	"0"	"282"	"282"	"1"	"0"
