"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"UCN"	"TODOS"	"VAMOS"	"VALOR"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18950"	"4"	"19"	"4"	"2"	"400"	"6"	"75"	"148"	"27"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"11"	"4"	"1"	"278"	"278"	"1"	"0"
"18951"	"4"	"19"	"4"	"2"	"403"	"9"	"62"	"152"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"8"	"0"	"272"	"272"	"1"	"0"
"18952"	"4"	"19"	"4"	"2"	"400"	"7"	"56"	"173"	"36"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"13"	"2"	"0"	"291"	"291"	"1"	"0"
"18953"	"4"	"19"	"4"	"2"	"410"	"13"	"54"	"170"	"32"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"6"	"0"	"293"	"293"	"1"	"0"
"18954"	"4"	"19"	"4"	"2"	"397"	"11"	"68"	"162"	"23"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"3"	"0"	"290"	"290"	"1"	"0"
"18955"	"4"	"19"	"4"	"2"	"400"	"16"	"53"	"168"	"37"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"13"	"1"	"0"	"290"	"290"	"1"	"0"
"18956"	"4"	"19"	"4"	"2"	"400"	"15"	"66"	"156"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"7"	"1"	"0"	"278"	"278"	"1"	"0"
"18957"	"4"	"19"	"4"	"2"	"400"	"13"	"70"	"155"	"23"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"15"	"4"	"0"	"287"	"287"	"1"	"0"
"18958"	"4"	"19"	"4"	"2"	"400"	"10"	"50"	"168"	"36"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"1"	"0"	"277"	"277"	"1"	"0"
"18959"	"4"	"19"	"4"	"2"	"400"	"15"	"57"	"180"	"18"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"8"	"2"	"0"	"286"	"286"	"1"	"0"
