"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"LIBRE"	"UNE"	"UNIONISTA"	"MLP"	"FCN_NACION"	"BIEN"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6890"	"4"	"5"	"8"	"2"	"396"	"86"	"11"	"11"	"84"	"2"	"5"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"9"	"7"	"0"	"242"	"242"	"1"	"0"
"6891"	"4"	"5"	"8"	"2"	"400"	"100"	"15"	"9"	"69"	"0"	"9"	"6"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"5"	"0"	"249"	"249"	"1"	"0"
"6892"	"4"	"5"	"8"	"2"	"396"	"88"	"18"	"8"	"102"	"1"	"4"	"5"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"18"	"4"	"0"	"273"	"273"	"1"	"0"
"6893"	"4"	"5"	"8"	"2"	"396"	"80"	"16"	"15"	"112"	"2"	"3"	"3"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"17"	"6"	"0"	"292"	"292"	"1"	"0"
"6894"	"4"	"5"	"8"	"2"	"400"	"85"	"16"	"6"	"119"	"1"	"1"	"5"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"12"	"8"	"0"	"297"	"297"	"1"	"0"
"6895"	"4"	"5"	"8"	"2"	"400"	"87"	"13"	"18"	"123"	"2"	"0"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"12"	"9"	"0"	"297"	"297"	"1"	"0"
"6896"	"4"	"5"	"8"	"2"	"400"	"84"	"10"	"16"	"127"	"1"	"1"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"4"	"11"	"0"	"289"	"289"	"1"	"0"
"6897"	"4"	"5"	"8"	"2"	"400"	"70"	"7"	"15"	"111"	"1"	"2"	"5"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"7"	"0"	"262"	"262"	"1"	"0"
"6898"	"4"	"5"	"8"	"2"	"400"	"84"	"8"	"11"	"83"	"3"	"3"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"1"	"0"	"232"	"232"	"1"	"0"
"6899"	"4"	"5"	"8"	"2"	"400"	"95"	"14"	"11"	"89"	"3"	"2"	"5"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"6"	"2"	"0"	"256"	"256"	"1"	"0"
"6900"	"4"	"5"	"8"	"2"	"400"	"81"	"14"	"11"	"85"	"3"	"1"	"6"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"3"	"0"	"243"	"243"	"1"	"0"
"6901"	"4"	"5"	"8"	"2"	"400"	"85"	"7"	"13"	"85"	"4"	"4"	"6"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"9"	"5"	"0"	"260"	"260"	"1"	"0"
