"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"UCN"	"UNIONISTA"	"PHG"	"PAN"	"AVANZA"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7739"	"4"	"6"	"11"	"2"	"400"	"127"	"37"	"36"	"7"	"90"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"1"	"0"	"307"	"307"	"1"	"0"
"7740"	"4"	"6"	"11"	"2"	"399"	"129"	"29"	"39"	"6"	"100"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"8"	"5"	"0"	"319"	"319"	"1"	"0"
"7741"	"4"	"6"	"11"	"2"	"400"	"131"	"48"	"29"	"4"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"10"	"5"	"0"	"320"	"320"	"1"	"0"
"7742"	"4"	"6"	"11"	"2"	"400"	"142"	"42"	"23"	"4"	"95"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"3"	"3"	"0"	"314"	"314"	"1"	"0"
"7743"	"4"	"6"	"11"	"2"	"400"	"150"	"18"	"29"	"3"	"115"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"6"	"6"	"0"	"327"	"327"	"1"	"0"
"7744"	"4"	"6"	"11"	"2"	"400"	"111"	"38"	"34"	"4"	"116"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"7"	"4"	"0"	"318"	"318"	"1"	"0"
"7745"	"4"	"6"	"11"	"2"	"400"	"122"	"38"	"30"	"6"	"126"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"9"	"6"	"0"	"337"	"337"	"1"	"0"
"7746"	"4"	"6"	"11"	"2"	"400"	"123"	"23"	"43"	"7"	"90"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"3"	"0"	"0"	"290"	"290"	"1"	"0"
"7747"	"4"	"6"	"11"	"2"	"400"	"111"	"31"	"23"	"7"	"91"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"1"	"0"	"269"	"269"	"1"	"0"
"7748"	"4"	"6"	"11"	"2"	"400"	"137"	"26"	"37"	"5"	"77"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"8"	"6"	"0"	"300"	"300"	"1"	"0"
"7749"	"4"	"6"	"11"	"2"	"400"	"125"	"26"	"34"	"8"	"97"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"6"	"2"	"0"	"301"	"301"	"1"	"0"
"7750"	"4"	"6"	"11"	"2"	"400"	"121"	"27"	"26"	"5"	"107"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"14"	"3"	"0"	"305"	"305"	"1"	"0"
