"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"VALOR"	"C_C_L_M_"	"VICTORIA"	"BIEN"	"MLP"	"PODEMOS"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10062"	"4"	"9"	"21"	"2"	"400"	"81"	"7"	"103"	"4"	"1"	"5"	"6"	"1"	"58"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"5"	"8"	"0"	"281"	"281"	"1"	"0"
"10063"	"4"	"9"	"21"	"2"	"400"	"97"	"7"	"100"	"9"	"0"	"5"	"5"	"0"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"10"	"9"	"0"	"287"	"287"	"1"	"0"
"10064"	"4"	"9"	"21"	"2"	"400"	"102"	"16"	"78"	"4"	"2"	"4"	"5"	"0"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"9"	"6"	"0"	"277"	"277"	"1"	"0"
"10065"	"4"	"9"	"21"	"2"	"396"	"72"	"13"	"79"	"7"	"1"	"6"	"2"	"1"	"78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"7"	"3"	"0"	"269"	"269"	"1"	"0"
"10066"	"4"	"9"	"21"	"2"	"399"	"79"	"11"	"120"	"4"	"4"	"2"	"2"	"0"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"8"	"2"	"0"	"301"	"301"	"1"	"0"
"10067"	"4"	"9"	"21"	"2"	"400"	"63"	"17"	"101"	"8"	"2"	"0"	"2"	"0"	"93"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"15"	"4"	"0"	"305"	"305"	"1"	"0"
"10068"	"4"	"9"	"21"	"2"	"396"	"96"	"12"	"85"	"2"	"0"	"2"	"3"	"0"	"90"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"13"	"15"	"0"	"319"	"319"	"1"	"0"
"10069"	"4"	"9"	"21"	"2"	"400"	"85"	"15"	"75"	"3"	"2"	"1"	"3"	"0"	"123"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"7"	"6"	"0"	"322"	"322"	"1"	"0"
"10070"	"4"	"9"	"21"	"2"	"400"	"85"	"23"	"90"	"3"	"2"	"1"	"1"	"1"	"86"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"11"	"8"	"0"	"312"	"312"	"1"	"0"
"10071"	"4"	"9"	"21"	"2"	"400"	"105"	"18"	"66"	"3"	"4"	"1"	"1"	"0"	"73"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"4"	"0"	"285"	"285"	"1"	"0"
