"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"VAMOS"	"UCN"	"UNE"	"URNG_MAIZ"	"TODOS"	"VIVA"	"WINAQ"	"FCN_NACION"	"SEMILLA"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"PHG"	"UNIDOS"	"COMITÉ_CÍVICO_EL_CAMPESINO"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15581"	"4"	"14"	"20"	"2"	"400"	"6"	"4"	"11"	"45"	"15"	"2"	"6"	"3"	"16"	"23"	"6"	"3"	"26"	"4"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"15"	"9"	"0"	"206"	"206"	"1"	"0"
"15582"	"4"	"14"	"20"	"2"	"400"	"11"	"5"	"8"	"49"	"15"	"2"	"5"	"1"	"11"	"24"	"5"	"4"	"31"	"2"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"31"	"9"	"0"	"229"	"229"	"1"	"0"
"15583"	"4"	"14"	"20"	"2"	"399"	"4"	"8"	"9"	"50"	"11"	"6"	"3"	"2"	"11"	"25"	"12"	"3"	"29"	"2"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"24"	"10"	"0"	"232"	"232"	"1"	"0"
"15584"	"4"	"14"	"20"	"2"	"400"	"9"	"8"	"5"	"46"	"18"	"5"	"5"	"1"	"21"	"21"	"5"	"4"	"32"	"5"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"29"	"11"	"0"	"238"	"238"	"1"	"0"
"15585"	"4"	"14"	"20"	"2"	"400"	"6"	"10"	"6"	"29"	"28"	"3"	"7"	"2"	"11"	"33"	"5"	"2"	"24"	"4"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"16"	"8"	"0"	"218"	"218"	"1"	"0"
"15586"	"4"	"14"	"20"	"2"	"400"	"3"	"6"	"3"	"40"	"25"	"5"	"5"	"0"	"9"	"28"	"11"	"3"	"32"	"2"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"9"	"4"	"196"	"202"	"202"	"1"	"0"
"15587"	"4"	"14"	"20"	"2"	"400"	"6"	"4"	"2"	"29"	"17"	"3"	"2"	"2"	"8"	"48"	"5"	"3"	"42"	"3"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"11"	"8"	"0"	"213"	"213"	"1"	"0"
"15588"	"4"	"14"	"20"	"2"	"400"	"3"	"8"	"3"	"41"	"23"	"3"	"3"	"2"	"14"	"26"	"4"	"4"	"35"	"0"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"19"	"11"	"0"	"211"	"211"	"1"	"0"
"15589"	"4"	"14"	"20"	"2"	"400"	"8"	"5"	"4"	"29"	"34"	"6"	"5"	"1"	"13"	"25"	"5"	"1"	"39"	"4"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"16"	"5"	"0"	"220"	"220"	"1"	"0"
"15590"	"4"	"14"	"20"	"2"	"400"	"12"	"7"	"2"	"38"	"14"	"5"	"3"	"1"	"11"	"24"	"2"	"2"	"54"	"5"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"29"	"11"	"0"	"233"	"233"	"1"	"0"
"15591"	"4"	"14"	"20"	"2"	"400"	"1"	"5"	"8"	"31"	"25"	"2"	"10"	"1"	"15"	"29"	"3"	"1"	"37"	"1"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"23"	"6"	"0"	"218"	"218"	"1"	"0"
"15592"	"4"	"14"	"20"	"2"	"400"	"7"	"8"	"8"	"29"	"15"	"3"	"6"	"0"	"18"	"29"	"9"	"4"	"51"	"2"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"12"	"4"	"0"	"227"	"227"	"1"	"0"
"15593"	"4"	"14"	"20"	"2"	"400"	"12"	"9"	"7"	"39"	"9"	"1"	"3"	"0"	"6"	"33"	"1"	"0"	"45"	"1"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"18"	"7"	"0"	"209"	"209"	"1"	"0"
"15594"	"4"	"14"	"20"	"2"	"400"	"14"	"8"	"8"	"29"	"13"	"3"	"5"	"2"	"17"	"35"	"4"	"4"	"39"	"4"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"15"	"7"	"0"	"223"	"223"	"1"	"0"
"15595"	"4"	"14"	"20"	"2"	"400"	"2"	"12"	"8"	"26"	"21"	"8"	"3"	"1"	"13"	"46"	"4"	"3"	"28"	"4"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"14"	"9"	"0"	"221"	"221"	"1"	"0"
"15596"	"4"	"14"	"20"	"2"	"398"	"6"	"6"	"11"	"17"	"8"	"4"	"3"	"1"	"15"	"47"	"6"	"1"	"23"	"3"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"3"	"3"	"0"	"169"	"169"	"1"	"0"
"15597"	"4"	"14"	"20"	"2"	"400"	"7"	"7"	"5"	"19"	"14"	"2"	"3"	"0"	"17"	"30"	"5"	"2"	"22"	"5"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"7"	"2"	"0"	"153"	"153"	"1"	"0"
"15598"	"4"	"14"	"20"	"2"	"396"	"4"	"9"	"3"	"36"	"16"	"8"	"6"	"1"	"7"	"33"	"3"	"4"	"24"	"8"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"17"	"6"	"0"	"199"	"199"	"1"	"0"
"15599"	"4"	"14"	"20"	"2"	"400"	"6"	"9"	"6"	"36"	"21"	"0"	"4"	"2"	"13"	"27"	"6"	"2"	"19"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"10"	"6"	"0"	"179"	"179"	"1"	"0"
"15600"	"4"	"14"	"20"	"2"	"400"	"8"	"8"	"3"	"36"	"14"	"2"	"5"	"3"	"10"	"32"	"7"	"2"	"28"	"5"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"16"	"2"	"0"	"211"	"211"	"1"	"0"
"15601"	"4"	"14"	"20"	"2"	"400"	"5"	"9"	"1"	"32"	"22"	"4"	"4"	"0"	"15"	"30"	"4"	"3"	"21"	"4"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"15"	"4"	"0"	"186"	"186"	"1"	"0"
"15602"	"4"	"14"	"20"	"2"	"397"	"3"	"8"	"5"	"24"	"34"	"2"	"6"	"0"	"7"	"26"	"5"	"3"	"28"	"4"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"5"	"6"	"0"	"178"	"178"	"1"	"0"
"15603"	"4"	"14"	"20"	"2"	"400"	"10"	"13"	"9"	"22"	"26"	"3"	"5"	"2"	"6"	"28"	"7"	"1"	"27"	"5"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"3"	"0"	"187"	"187"	"1"	"0"
"15604"	"4"	"14"	"20"	"2"	"400"	"5"	"10"	"4"	"33"	"23"	"5"	"6"	"2"	"13"	"32"	"8"	"2"	"15"	"0"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"178"	"25"	"6"	"0"	"210"	"209"	"0"	"0"
"15605"	"4"	"14"	"20"	"2"	"400"	"6"	"9"	"5"	"39"	"16"	"6"	"2"	"2"	"9"	"24"	"13"	"4"	"21"	"2"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"15"	"5"	"0"	"202"	"202"	"1"	"0"
