"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"UCN"	"VAMOS"	"FUERZA"	"WINAQ"	"CONVERGENCIA"	"TODOS"	"VIVA"	"UNIONISTA"	"SEMILLA"	"LIBRE"	"FCN_NACION"	"BIEN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13468"	"4"	"13"	"9"	"2"	"400"	"6"	"79"	"18"	"9"	"21"	"10"	"9"	"57"	"23"	"0"	"2"	"1"	"14"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"26"	"9"	"1"	"296"	"296"	"1"	"0"
"13469"	"4"	"13"	"9"	"2"	"380"	"2"	"77"	"14"	"4"	"12"	"9"	"13"	"83"	"25"	"2"	"6"	"0"	"15"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"17"	"14"	"0"	"316"	"316"	"1"	"0"
"13470"	"4"	"13"	"9"	"2"	"400"	"6"	"67"	"15"	"3"	"26"	"5"	"8"	"88"	"25"	"5"	"3"	"1"	"15"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"13"	"4"	"0"	"295"	"295"	"1"	"0"
"13471"	"4"	"13"	"9"	"2"	"400"	"3"	"68"	"14"	"9"	"24"	"12"	"11"	"91"	"15"	"4"	"2"	"0"	"22"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"15"	"12"	"0"	"309"	"309"	"1"	"0"
"13472"	"4"	"13"	"9"	"2"	"400"	"1"	"50"	"14"	"8"	"38"	"3"	"9"	"110"	"15"	"4"	"1"	"1"	"18"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"18"	"10"	"0"	"311"	"311"	"1"	"0"
"13473"	"4"	"13"	"9"	"2"	"400"	"5"	"40"	"16"	"4"	"12"	"10"	"10"	"87"	"20"	"4"	"1"	"0"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"12"	"4"	"0"	"244"	"244"	"1"	"0"
"13474"	"4"	"13"	"9"	"2"	"400"	"5"	"72"	"13"	"3"	"10"	"5"	"8"	"77"	"18"	"4"	"9"	"4"	"14"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"16"	"14"	"0"	"288"	"288"	"1"	"0"
"13475"	"4"	"13"	"9"	"2"	"400"	"4"	"63"	"15"	"6"	"16"	"4"	"10"	"92"	"20"	"3"	"5"	"2"	"14"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"11"	"7"	"0"	"279"	"279"	"1"	"0"
"13476"	"4"	"13"	"9"	"2"	"396"	"8"	"58"	"15"	"3"	"14"	"4"	"10"	"83"	"10"	"3"	"2"	"1"	"10"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"22"	"15"	"0"	"269"	"269"	"1"	"0"
"13477"	"4"	"13"	"9"	"2"	"365"	"3"	"55"	"11"	"5"	"15"	"4"	"14"	"93"	"22"	"3"	"2"	"1"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"6"	"4"	"0"	"253"	"253"	"1"	"0"
