"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PC"	"FCN_NACION"	"BIEN"	"VALOR"	"PAN"	"UNIONISTA"	"VIVA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20761"	"4"	"22"	"12"	"2"	"398"	"123"	"22"	"103"	"23"	"11"	"2"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"6"	"2"	"0"	"298"	"298"	"1"	"0"
"20762"	"4"	"22"	"12"	"2"	"400"	"125"	"16"	"93"	"32"	"6"	"4"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"13"	"3"	"0"	"300"	"300"	"1"	"0"
"20763"	"4"	"22"	"12"	"2"	"400"	"105"	"17"	"133"	"20"	"11"	"9"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"7"	"2"	"0"	"309"	"309"	"1"	"0"
"20764"	"4"	"22"	"12"	"2"	"396"	"138"	"16"	"112"	"17"	"5"	"8"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"12"	"4"	"0"	"317"	"317"	"1"	"0"
"20765"	"4"	"22"	"12"	"2"	"398"	"119"	"31"	"94"	"31"	"5"	"5"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"16"	"4"	"0"	"309"	"309"	"1"	"0"
"20766"	"4"	"22"	"12"	"2"	"399"	"121"	"19"	"78"	"24"	"2"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"5"	"2"	"0"	"261"	"261"	"1"	"0"
"20767"	"4"	"22"	"12"	"2"	"400"	"122"	"16"	"85"	"21"	"11"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"9"	"0"	"0"	"271"	"271"	"1"	"0"
"20768"	"4"	"22"	"12"	"2"	"396"	"96"	"22"	"95"	"22"	"12"	"7"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"4"	"0"	"274"	"274"	"1"	"0"
"20769"	"4"	"22"	"12"	"2"	"396"	"114"	"16"	"107"	"28"	"12"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"8"	"4"	"0"	"296"	"296"	"1"	"0"
"20770"	"4"	"22"	"12"	"2"	"394"	"125"	"13"	"85"	"30"	"4"	"7"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"4"	"0"	"278"	"278"	"1"	"0"
"20771"	"4"	"22"	"12"	"2"	"313"	"110"	"16"	"71"	"13"	"4"	"9"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"1"	"0"	"0"	"228"	"228"	"1"	"0"
"20772"	"4"	"22"	"12"	"2"	"313"	"96"	"10"	"80"	"28"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"2"	"0"	"233"	"233"	"1"	"0"
"20773"	"4"	"22"	"12"	"2"	"400"	"103"	"11"	"101"	"40"	"1"	"4"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"19"	"8"	"0"	"295"	"295"	"1"	"0"
"20774"	"4"	"22"	"12"	"2"	"400"	"116"	"8"	"100"	"30"	"5"	"5"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"15"	"11"	"0"	"297"	"297"	"1"	"0"
"20775"	"4"	"22"	"12"	"2"	"400"	"122"	"8"	"100"	"43"	"1"	"5"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"15"	"6"	"0"	"307"	"307"	"1"	"0"
"20776"	"4"	"22"	"12"	"2"	"394"	"115"	"9"	"120"	"21"	"6"	"5"	"8"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"22"	"7"	"0"	"317"	"317"	"1"	"0"
"20777"	"4"	"22"	"12"	"2"	"393"	"130"	"7"	"92"	"25"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"13"	"1"	"0"	"276"	"276"	"1"	"0"
"20778"	"4"	"22"	"12"	"2"	"394"	"108"	"9"	"99"	"28"	"2"	"2"	"5"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"8"	"4"	"0"	"270"	"270"	"1"	"0"
"20779"	"4"	"22"	"12"	"2"	"395"	"117"	"1"	"97"	"31"	"0"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"3"	"0"	"271"	"271"	"1"	"0"
"20780"	"4"	"22"	"12"	"2"	"263"	"91"	"2"	"65"	"21"	"0"	"4"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"2"	"70"	"0"	"263"	"263"	"1"	"0"
"20781"	"4"	"22"	"12"	"2"	"263"	"79"	"5"	"79"	"17"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"1"	"2"	"0"	"188"	"188"	"1"	"1"
"20782"	"4"	"22"	"12"	"2"	"376"	"115"	"3"	"102"	"25"	"3"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"15"	"7"	"0"	"276"	"276"	"1"	"0"
"20783"	"4"	"22"	"12"	"2"	"376"	"111"	"2"	"109"	"29"	"2"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"2"	"0"	"282"	"282"	"1"	"0"
"20784"	"4"	"22"	"12"	"2"	"374"	"129"	"3"	"102"	"24"	"0"	"3"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"6"	"0"	"280"	"280"	"1"	"0"
"20785"	"4"	"22"	"12"	"2"	"376"	"126"	"7"	"97"	"29"	"2"	"4"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"10"	"4"	"0"	"283"	"283"	"1"	"0"
"20786"	"4"	"22"	"12"	"2"	"278"	"99"	"3"	"86"	"26"	"0"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"9"	"6"	"0"	"236"	"236"	"1"	"0"
