"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EL_MAGUEY"	"UCN"	"PC"	"LIBRE"	"UNE"	"SEMILLA"	"BIEN"	"EG"	"CONVERGENCIA"	"UNIDOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19388"	"4"	"20"	"4"	"2"	"396"	"32"	"77"	"25"	"30"	"2"	"68"	"1"	"23"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"20"	"1"	"0"	"281"	"281"	"1"	"0"
"19389"	"4"	"20"	"4"	"2"	"396"	"16"	"94"	"17"	"68"	"0"	"56"	"11"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"27"	"5"	"0"	"305"	"305"	"1"	"0"
"19390"	"4"	"20"	"4"	"2"	"400"	"31"	"80"	"11"	"52"	"1"	"47"	"4"	"23"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"34"	"12"	"0"	"300"	"300"	"1"	"0"
"19391"	"4"	"20"	"4"	"2"	"400"	"29"	"32"	"49"	"58"	"4"	"51"	"4"	"30"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"262"	"30"	"8"	"0"	"299"	"300"	"0"	"0"
"19392"	"4"	"20"	"4"	"2"	"400"	"18"	"42"	"38"	"64"	"3"	"59"	"2"	"17"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"26"	"8"	"0"	"279"	"279"	"1"	"0"
"19393"	"4"	"20"	"4"	"2"	"396"	"45"	"55"	"27"	"33"	"4"	"80"	"3"	"29"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"10"	"5"	"0"	"293"	"293"	"1"	"0"
"19394"	"4"	"20"	"4"	"2"	"400"	"47"	"54"	"28"	"38"	"1"	"64"	"4"	"27"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"7"	"0"	"287"	"287"	"1"	"0"
"19395"	"4"	"20"	"4"	"2"	"396"	"18"	"63"	"20"	"41"	"2"	"62"	"4"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"16"	"2"	"0"	"247"	"247"	"1"	"0"
"19396"	"4"	"20"	"4"	"2"	"400"	"25"	"70"	"24"	"36"	"1"	"74"	"2"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"6"	"0"	"267"	"267"	"1"	"0"
"19397"	"4"	"20"	"4"	"2"	"400"	"22"	"53"	"26"	"56"	"2"	"90"	"7"	"11"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"16"	"3"	"0"	"289"	"289"	"1"	"0"
"19398"	"4"	"20"	"4"	"2"	"396"	"23"	"62"	"23"	"46"	"8"	"45"	"3"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"12"	"5"	"0"	"257"	"257"	"1"	"0"
"19399"	"4"	"20"	"4"	"2"	"396"	"33"	"60"	"33"	"41"	"4"	"56"	"8"	"23"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"14"	"7"	"0"	"281"	"281"	"1"	"0"
"19400"	"4"	"20"	"4"	"2"	"396"	"26"	"67"	"27"	"46"	"4"	"62"	"3"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"14"	"4"	"0"	"282"	"282"	"1"	"0"
"19401"	"4"	"20"	"4"	"2"	"400"	"21"	"67"	"23"	"36"	"1"	"67"	"4"	"20"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"4"	"0"	"252"	"252"	"1"	"0"
"19402"	"4"	"20"	"4"	"2"	"400"	"31"	"60"	"31"	"37"	"2"	"57"	"5"	"16"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"15"	"3"	"0"	"260"	"260"	"1"	"0"
"19403"	"4"	"20"	"4"	"2"	"400"	"19"	"65"	"28"	"29"	"3"	"58"	"9"	"18"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"18"	"0"	"0"	"251"	"251"	"1"	"0"
"19404"	"4"	"20"	"4"	"2"	"396"	"25"	"55"	"22"	"42"	"2"	"48"	"3"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"12"	"8"	"0"	"234"	"234"	"1"	"0"
"19405"	"4"	"20"	"4"	"2"	"400"	"34"	"65"	"28"	"50"	"0"	"51"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"10"	"5"	"0"	"262"	"262"	"1"	"0"
"19406"	"4"	"20"	"4"	"2"	"274"	"24"	"69"	"53"	"40"	"0"	"65"	"3"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"5"	"3"	"0"	"274"	"274"	"1"	"0"
"19407"	"4"	"20"	"4"	"2"	"276"	"30"	"65"	"35"	"45"	"0"	"74"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"8"	"5"	"0"	"276"	"276"	"1"	"0"
"19408"	"4"	"20"	"4"	"2"	"397"	"23"	"57"	"22"	"34"	"1"	"56"	"5"	"17"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"13"	"6"	"0"	"236"	"236"	"1"	"0"
"19409"	"4"	"20"	"4"	"2"	"400"	"9"	"52"	"38"	"54"	"9"	"73"	"0"	"21"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"23"	"5"	"0"	"287"	"287"	"1"	"0"
"19410"	"4"	"20"	"4"	"2"	"396"	"3"	"33"	"48"	"29"	"1"	"109"	"0"	"6"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"30"	"2"	"0"	"268"	"268"	"1"	"0"
"19411"	"4"	"20"	"4"	"2"	"400"	"8"	"58"	"47"	"69"	"3"	"74"	"2"	"11"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"19"	"8"	"0"	"304"	"304"	"1"	"0"
"19412"	"4"	"20"	"4"	"2"	"396"	"30"	"23"	"45"	"47"	"2"	"73"	"1"	"62"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"18"	"11"	"0"	"316"	"316"	"1"	"0"
"19413"	"4"	"20"	"4"	"2"	"400"	"17"	"41"	"39"	"67"	"4"	"73"	"4"	"29"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"14"	"8"	"0"	"299"	"299"	"1"	"0"
"19414"	"4"	"20"	"4"	"2"	"400"	"7"	"53"	"43"	"36"	"4"	"74"	"3"	"15"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"20"	"5"	"0"	"263"	"263"	"1"	"0"
"19415"	"4"	"20"	"4"	"2"	"396"	"12"	"33"	"19"	"43"	"17"	"80"	"5"	"62"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"20"	"2"	"0"	"296"	"296"	"1"	"0"
"19416"	"4"	"20"	"4"	"2"	"400"	"10"	"42"	"14"	"41"	"16"	"66"	"3"	"63"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"17"	"0"	"287"	"287"	"1"	"0"
"19417"	"4"	"20"	"4"	"2"	"396"	"16"	"49"	"18"	"50"	"8"	"69"	"5"	"48"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"22"	"8"	"0"	"296"	"296"	"1"	"0"
"19418"	"4"	"20"	"4"	"2"	"400"	"15"	"54"	"15"	"45"	"10"	"55"	"4"	"40"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"26"	"7"	"0"	"275"	"275"	"1"	"0"
"19419"	"4"	"20"	"4"	"2"	"396"	"11"	"46"	"32"	"44"	"4"	"55"	"4"	"33"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"7"	"0"	"249"	"249"	"1"	"0"
"19420"	"4"	"20"	"4"	"2"	"394"	"4"	"53"	"33"	"52"	"3"	"86"	"2"	"26"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"6"	"2"	"0"	"268"	"268"	"1"	"0"
"19421"	"4"	"20"	"4"	"2"	"231"	"7"	"27"	"19"	"30"	"9"	"47"	"2"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"4"	"3"	"0"	"167"	"167"	"1"	"0"
"19422"	"4"	"20"	"4"	"2"	"231"	"4"	"25"	"14"	"17"	"2"	"48"	"3"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"21"	"2"	"0"	"153"	"153"	"1"	"0"
