"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VAMOS"	"FCN_NACION"	"UNIONISTA"	"TODOS"	"PAN"	"PC"	"MLP"	"VALOR"	"BIEN"	"PHG"	"UCN"	"SEMILLA"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20232"	"4"	"22"	"1"	"2"	"399"	"2"	"13"	"10"	"23"	"16"	"6"	"0"	"17"	"5"	"81"	"6"	"10"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"18"	"7"	"0"	"233"	"233"	"1"	"0"
"20233"	"4"	"22"	"1"	"2"	"393"	"5"	"23"	"16"	"21"	"23"	"6"	"1"	"16"	"4"	"63"	"3"	"7"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"19"	"4"	"0"	"225"	"225"	"1"	"0"
"20234"	"4"	"22"	"1"	"2"	"400"	"3"	"28"	"15"	"28"	"14"	"4"	"0"	"11"	"9"	"61"	"5"	"6"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"7"	"6"	"0"	"218"	"218"	"1"	"0"
"20235"	"4"	"22"	"1"	"2"	"400"	"4"	"32"	"18"	"26"	"27"	"3"	"0"	"6"	"7"	"72"	"6"	"7"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"19"	"4"	"0"	"245"	"245"	"1"	"0"
"20236"	"4"	"22"	"1"	"2"	"400"	"3"	"21"	"7"	"25"	"26"	"6"	"4"	"9"	"10"	"63"	"6"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"15"	"7"	"0"	"217"	"217"	"1"	"0"
"20237"	"4"	"22"	"1"	"2"	"400"	"3"	"18"	"12"	"17"	"31"	"4"	"2"	"19"	"11"	"74"	"3"	"13"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"14"	"6"	"0"	"235"	"235"	"1"	"0"
"20238"	"4"	"22"	"1"	"2"	"400"	"8"	"18"	"16"	"21"	"23"	"5"	"2"	"17"	"12"	"67"	"10"	"7"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"19"	"6"	"0"	"247"	"246"	"0"	"0"
"20239"	"4"	"22"	"1"	"2"	"400"	"2"	"18"	"9"	"36"	"20"	"2"	"1"	"17"	"6"	"79"	"10"	"8"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"226"	"9"	"6"	"15"	"239"	"241"	"0"	"0"
"20240"	"4"	"22"	"1"	"2"	"400"	"4"	"23"	"15"	"28"	"19"	"6"	"0"	"19"	"3"	"71"	"14"	"6"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"16"	"6"	"0"	"238"	"238"	"1"	"0"
"20241"	"4"	"22"	"1"	"2"	"396"	"6"	"29"	"12"	"34"	"14"	"5"	"1"	"20"	"10"	"67"	"5"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"13"	"7"	"0"	"239"	"239"	"1"	"0"
"20242"	"4"	"22"	"1"	"2"	"392"	"4"	"24"	"13"	"19"	"30"	"2"	"4"	"10"	"5"	"72"	"7"	"7"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"16"	"4"	"0"	"224"	"224"	"1"	"0"
"20243"	"4"	"22"	"1"	"2"	"401"	"2"	"21"	"9"	"23"	"23"	"2"	"2"	"6"	"1"	"58"	"3"	"6"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"30"	"7"	"0"	"198"	"198"	"1"	"0"
"20244"	"4"	"22"	"1"	"2"	"397"	"1"	"22"	"17"	"31"	"29"	"6"	"4"	"13"	"8"	"63"	"6"	"6"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"14"	"7"	"0"	"242"	"242"	"1"	"0"
"20245"	"4"	"22"	"1"	"2"	"396"	"4"	"25"	"12"	"28"	"27"	"3"	"1"	"10"	"8"	"68"	"5"	"5"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"15"	"7"	"0"	"236"	"236"	"1"	"0"
"20246"	"4"	"22"	"1"	"2"	"400"	"7"	"27"	"13"	"29"	"19"	"4"	"2"	"14"	"4"	"85"	"7"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"7"	"0"	"252"	"252"	"1"	"0"
"20247"	"4"	"22"	"1"	"2"	"398"	"8"	"24"	"9"	"29"	"18"	"2"	"2"	"8"	"14"	"83"	"3"	"14"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"16"	"4"	"0"	"244"	"244"	"1"	"0"
"20248"	"4"	"22"	"1"	"2"	"392"	"4"	"31"	"16"	"18"	"26"	"3"	"2"	"14"	"10"	"59"	"9"	"14"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"17"	"4"	"0"	"250"	"250"	"1"	"0"
"20249"	"4"	"22"	"1"	"2"	"400"	"0"	"37"	"16"	"37"	"21"	"4"	"1"	"9"	"7"	"61"	"7"	"12"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"18"	"9"	"0"	"248"	"248"	"1"	"0"
"20250"	"4"	"22"	"1"	"2"	"400"	"3"	"18"	"10"	"24"	"22"	"1"	"3"	"7"	"5"	"68"	"7"	"6"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"18"	"5"	"0"	"220"	"220"	"1"	"0"
"20251"	"4"	"22"	"1"	"2"	"400"	"2"	"25"	"8"	"26"	"27"	"3"	"1"	"16"	"5"	"69"	"5"	"13"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"17"	"8"	"0"	"239"	"239"	"1"	"0"
"20252"	"4"	"22"	"1"	"2"	"396"	"5"	"18"	"8"	"30"	"12"	"2"	"2"	"8"	"11"	"63"	"6"	"13"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"24"	"10"	"0"	"223"	"223"	"1"	"0"
"20253"	"4"	"22"	"1"	"2"	"400"	"4"	"27"	"5"	"36"	"22"	"3"	"4"	"8"	"3"	"67"	"6"	"4"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"32"	"9"	"0"	"243"	"243"	"1"	"0"
"20254"	"4"	"22"	"1"	"2"	"400"	"1"	"26"	"9"	"30"	"18"	"2"	"1"	"19"	"7"	"68"	"8"	"5"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"24"	"9"	"0"	"238"	"238"	"1"	"0"
"20255"	"4"	"22"	"1"	"2"	"400"	"2"	"37"	"15"	"26"	"24"	"2"	"0"	"7"	"8"	"70"	"7"	"7"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"16"	"6"	"0"	"248"	"248"	"1"	"0"
"20256"	"4"	"22"	"1"	"2"	"400"	"3"	"16"	"15"	"33"	"24"	"1"	"2"	"19"	"9"	"82"	"6"	"11"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"22"	"5"	"134"	"266"	"266"	"1"	"0"
"20257"	"4"	"22"	"1"	"2"	"393"	"1"	"33"	"12"	"24"	"29"	"3"	"1"	"10"	"5"	"81"	"4"	"10"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"16"	"4"	"0"	"245"	"245"	"1"	"0"
"20258"	"4"	"22"	"1"	"2"	"400"	"3"	"27"	"14"	"32"	"25"	"7"	"1"	"9"	"4"	"104"	"2"	"4"	"13"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"6"	"0"	"267"	"267"	"1"	"0"
"20259"	"4"	"22"	"1"	"2"	"396"	"2"	"42"	"19"	"32"	"32"	"4"	"0"	"9"	"3"	"76"	"5"	"5"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"4"	"4"	"0"	"249"	"249"	"1"	"0"
"20260"	"4"	"22"	"1"	"2"	"400"	"3"	"25"	"16"	"28"	"30"	"2"	"2"	"10"	"5"	"90"	"5"	"10"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"6"	"0"	"261"	"261"	"1"	"0"
"20261"	"4"	"22"	"1"	"2"	"400"	"3"	"31"	"7"	"26"	"29"	"1"	"2"	"13"	"4"	"84"	"2"	"7"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"4"	"4"	"235"	"235"	"1"	"0"
"20262"	"4"	"22"	"1"	"2"	"396"	"2"	"22"	"13"	"32"	"27"	"4"	"0"	"0"	"6"	"74"	"4"	"0"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"23"	"3"	"0"	"221"	"221"	"1"	"0"
"20263"	"4"	"22"	"1"	"2"	"396"	"3"	"22"	"8"	"31"	"37"	"1"	"1"	"11"	"6"	"94"	"2"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"7"	"2"	"0"	"239"	"239"	"1"	"0"
"20264"	"4"	"22"	"1"	"2"	"400"	"1"	"13"	"10"	"28"	"29"	"5"	"1"	"13"	"5"	"95"	"6"	"6"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"10"	"0"	"0"	"237"	"237"	"1"	"1"
"20265"	"4"	"22"	"1"	"2"	"400"	"5"	"14"	"10"	"28"	"30"	"2"	"2"	"19"	"6"	"97"	"2"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"3"	"0"	"244"	"244"	"1"	"0"
"20266"	"4"	"22"	"1"	"2"	"396"	"5"	"18"	"9"	"23"	"24"	"5"	"2"	"10"	"14"	"72"	"5"	"3"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"13"	"8"	"0"	"224"	"224"	"1"	"0"
"20267"	"4"	"22"	"1"	"2"	"396"	"3"	"25"	"7"	"27"	"17"	"0"	"3"	"21"	"7"	"72"	"6"	"9"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"15"	"1"	"0"	"226"	"226"	"1"	"0"
"20268"	"4"	"22"	"1"	"2"	"400"	"1"	"29"	"13"	"21"	"22"	"0"	"2"	"8"	"8"	"77"	"5"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"12"	"2"	"0"	"217"	"217"	"1"	"0"
"20269"	"4"	"22"	"1"	"2"	"396"	"5"	"31"	"10"	"16"	"28"	"1"	"2"	"13"	"3"	"66"	"2"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"8"	"4"	"0"	"207"	"207"	"1"	"0"
"20270"	"4"	"22"	"1"	"2"	"400"	"4"	"18"	"10"	"22"	"29"	"4"	"1"	"11"	"5"	"77"	"3"	"8"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"3"	"3"	"0"	"212"	"212"	"1"	"0"
"20271"	"4"	"22"	"1"	"2"	"396"	"4"	"19"	"8"	"17"	"25"	"2"	"0"	"15"	"4"	"90"	"3"	"13"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"3"	"1"	"1"	"221"	"221"	"1"	"0"
"20272"	"4"	"22"	"1"	"2"	"401"	"4"	"16"	"11"	"33"	"27"	"0"	"0"	"14"	"4"	"105"	"9"	"6"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"5"	"6"	"0"	"254"	"254"	"1"	"0"
"20273"	"4"	"22"	"1"	"2"	"400"	"1"	"28"	"20"	"15"	"21"	"3"	"2"	"11"	"3"	"83"	"1"	"10"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"14"	"179"	"0"	"400"	"400"	"1"	"0"
"20274"	"4"	"22"	"1"	"2"	"396"	"2"	"17"	"14"	"18"	"21"	"3"	"2"	"13"	"4"	"77"	"2"	"6"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"15"	"190"	"0"	"396"	"396"	"1"	"0"
"20275"	"4"	"22"	"1"	"2"	"400"	"1"	"18"	"15"	"34"	"15"	"3"	"1"	"9"	"4"	"92"	"6"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"14"	"10"	"0"	"234"	"234"	"1"	"0"
"20276"	"4"	"22"	"1"	"2"	"396"	"1"	"21"	"14"	"32"	"19"	"2"	"4"	"9"	"6"	"75"	"2"	"5"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"16"	"2"	"0"	"221"	"221"	"1"	"0"
"20277"	"4"	"22"	"1"	"2"	"400"	"4"	"21"	"12"	"24"	"31"	"1"	"4"	"11"	"7"	"74"	"3"	"13"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"16"	"2"	"0"	"232"	"232"	"1"	"0"
"20278"	"4"	"22"	"1"	"2"	"394"	"8"	"24"	"14"	"19"	"25"	"3"	"0"	"10"	"6"	"86"	"6"	"6"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"10"	"3"	"0"	"229"	"229"	"1"	"0"
"20279"	"4"	"22"	"1"	"2"	"397"	"8"	"24"	"19"	"14"	"34"	"1"	"1"	"13"	"5"	"91"	"5"	"6"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"3"	"14"	"247"	"247"	"1"	"0"
"20280"	"4"	"22"	"1"	"2"	"396"	"3"	"22"	"14"	"24"	"34"	"2"	"4"	"14"	"6"	"120"	"4"	"4"	"11"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"1"	"0"	"277"	"277"	"1"	"0"
