"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"VIVA"	"UNE"	"CONVERGENCIA"	"UCN"	"UNIONISTA"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18187"	"4"	"17"	"13"	"2"	"400"	"95"	"83"	"69"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"10"	"4"	"2"	"269"	"269"	"1"	"0"
"18188"	"4"	"17"	"13"	"2"	"400"	"103"	"97"	"67"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"8"	"4"	"0"	"285"	"285"	"1"	"0"
"18189"	"4"	"17"	"13"	"2"	"380"	"93"	"103"	"72"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"5"	"0"	"288"	"288"	"1"	"0"
"18190"	"4"	"17"	"13"	"2"	"402"	"87"	"80"	"55"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"4"	"5"	"0"	"238"	"238"	"1"	"0"
"18191"	"4"	"17"	"13"	"2"	"400"	"82"	"92"	"72"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"3"	"0"	"260"	"260"	"1"	"1"
"18192"	"4"	"17"	"13"	"2"	"401"	"85"	"98"	"75"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"6"	"8"	"0"	"277"	"277"	"1"	"1"
"18193"	"4"	"17"	"13"	"2"	"400"	"96"	"79"	"79"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"14"	"3"	"1"	"279"	"279"	"1"	"0"
"18194"	"4"	"17"	"13"	"2"	"397"	"94"	"88"	"61"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"11"	"0"	"270"	"270"	"1"	"0"
"18195"	"4"	"17"	"13"	"2"	"400"	"94"	"82"	"55"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"10"	"0"	"253"	"253"	"1"	"0"
"18196"	"4"	"17"	"13"	"2"	"400"	"92"	"95"	"41"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"11"	"0"	"0"	"246"	"246"	"1"	"0"
