"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"TODOS"	"UNE"	"UNIDOS"	"FCN_NACION"	"VAMOS"	"VALOR"	"EG"	"SEMILLA"	"PHG"	"UNIONISTA"	"BIEN"	"PC"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19112"	"4"	"19"	"9"	"2"	"403"	"49"	"16"	"27"	"0"	"16"	"53"	"4"	"4"	"14"	"69"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"29"	"5"	"0"	"303"	"303"	"1"	"0"
"19113"	"4"	"19"	"9"	"2"	"380"	"73"	"14"	"37"	"4"	"31"	"42"	"3"	"3"	"10"	"43"	"12"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"22"	"5"	"0"	"304"	"304"	"1"	"0"
"19114"	"4"	"19"	"9"	"2"	"400"	"48"	"4"	"26"	"6"	"23"	"52"	"5"	"0"	"11"	"62"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"26"	"6"	"0"	"288"	"288"	"1"	"0"
"19115"	"4"	"19"	"9"	"2"	"380"	"58"	"13"	"30"	"3"	"27"	"64"	"5"	"1"	"7"	"57"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"0"	"6"	"20"	"288"	"288"	"1"	"0"
"19116"	"4"	"19"	"9"	"2"	"400"	"88"	"11"	"36"	"5"	"31"	"56"	"0"	"4"	"8"	"38"	"12"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"22"	"1"	"0"	"319"	"319"	"1"	"1"
"19117"	"4"	"19"	"9"	"2"	"400"	"105"	"11"	"51"	"5"	"22"	"58"	"3"	"4"	"4"	"37"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"13"	"4"	"0"	"325"	"325"	"1"	"0"
"19118"	"4"	"19"	"9"	"2"	"400"	"46"	"19"	"34"	"4"	"16"	"50"	"2"	"2"	"9"	"60"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"9"	"4"	"0"	"269"	"269"	"1"	"0"
"19119"	"4"	"19"	"9"	"2"	"400"	"46"	"10"	"27"	"1"	"18"	"51"	"4"	"2"	"5"	"62"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"7"	"0"	"263"	"263"	"1"	"0"
"19120"	"4"	"19"	"9"	"2"	"400"	"66"	"15"	"34"	"3"	"10"	"37"	"2"	"3"	"9"	"59"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"7"	"1"	"0"	"259"	"259"	"1"	"0"
"19121"	"4"	"19"	"9"	"2"	"342"	"63"	"8"	"20"	"3"	"23"	"49"	"3"	"0"	"6"	"49"	"7"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"1"	"2"	"0"	"236"	"236"	"1"	"0"
