"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"VICTORIA"	"UCN"	"FCN_NACION"	"MLP"	"BIEN"	"SEMILLA"	"PC"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18719"	"4"	"18"	"5"	"2"	"396"	"9"	"66"	"69"	"28"	"9"	"2"	"6"	"25"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"9"	"5"	"0"	"233"	"233"	"1"	"0"
"18720"	"4"	"18"	"5"	"2"	"400"	"5"	"78"	"53"	"43"	"14"	"2"	"11"	"27"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"8"	"0"	"257"	"257"	"1"	"0"
"18721"	"4"	"18"	"5"	"2"	"396"	"6"	"86"	"50"	"49"	"17"	"3"	"5"	"27"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"14"	"6"	"0"	"266"	"266"	"1"	"0"
"18722"	"4"	"18"	"5"	"2"	"400"	"8"	"70"	"61"	"48"	"10"	"0"	"1"	"40"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"5"	"0"	"257"	"257"	"1"	"0"
"18723"	"4"	"18"	"5"	"2"	"396"	"2"	"100"	"63"	"40"	"14"	"2"	"4"	"24"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"6"	"2"	"0"	"263"	"263"	"1"	"0"
"18724"	"4"	"18"	"5"	"2"	"396"	"9"	"88"	"70"	"36"	"8"	"1"	"1"	"34"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"2"	"3"	"7"	"255"	"255"	"1"	"0"
"18725"	"4"	"18"	"5"	"2"	"400"	"9"	"80"	"48"	"39"	"9"	"2"	"2"	"36"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"0"	"4"	"1"	"231"	"231"	"1"	"0"
"18726"	"4"	"18"	"5"	"2"	"396"	"9"	"73"	"55"	"34"	"16"	"2"	"3"	"25"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"11"	"2"	"0"	"236"	"236"	"1"	"0"
"18727"	"4"	"18"	"5"	"2"	"396"	"5"	"73"	"80"	"50"	"8"	"2"	"3"	"42"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"6"	"1"	"0"	"275"	"275"	"1"	"0"
"18728"	"4"	"18"	"5"	"2"	"396"	"5"	"79"	"67"	"32"	"11"	"1"	"5"	"42"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"4"	"0"	"259"	"259"	"1"	"0"
"18729"	"4"	"18"	"5"	"2"	"400"	"3"	"78"	"55"	"32"	"9"	"1"	"2"	"35"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"8"	"2"	"0"	"230"	"230"	"1"	"0"
"18730"	"4"	"18"	"5"	"2"	"404"	"6"	"80"	"55"	"39"	"12"	"2"	"3"	"31"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"7"	"2"	"0"	"242"	"242"	"1"	"0"
"18731"	"4"	"18"	"5"	"2"	"399"	"15"	"74"	"65"	"42"	"8"	"2"	"6"	"46"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"3"	"4"	"0"	"269"	"269"	"1"	"0"
"18732"	"4"	"18"	"5"	"2"	"209"	"2"	"45"	"36"	"41"	"6"	"1"	"5"	"24"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"3"	"1"	"0"	"168"	"168"	"1"	"0"
"18733"	"4"	"18"	"5"	"2"	"208"	"5"	"30"	"26"	"18"	"5"	"0"	"2"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"4"	"1"	"0"	"117"	"117"	"1"	"0"
"18734"	"4"	"18"	"5"	"2"	"380"	"6"	"50"	"25"	"49"	"2"	"3"	"12"	"20"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"16"	"6"	"0"	"193"	"193"	"1"	"0"
"18735"	"4"	"18"	"5"	"2"	"380"	"5"	"51"	"23"	"40"	"7"	"4"	"14"	"13"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"13"	"4"	"0"	"177"	"177"	"1"	"0"
"18736"	"4"	"18"	"5"	"2"	"375"	"8"	"73"	"16"	"55"	"3"	"1"	"11"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"17"	"9"	"0"	"208"	"208"	"1"	"0"
"18737"	"4"	"18"	"5"	"2"	"380"	"9"	"58"	"21"	"50"	"2"	"0"	"8"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"14"	"3"	"0"	"182"	"182"	"1"	"0"
