"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UNE"	"VALOR"	"UCN"	"CREO"	"FCN_NACION"	"LIBRE"	"MLP"	"SEMILLA"	"BIEN"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18405"	"4"	"18"	"2"	"2"	"400"	"3"	"50"	"2"	"110"	"2"	"0"	"0"	"4"	"0"	"34"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"15"	"5"	"0"	"228"	"228"	"1"	"0"
"18406"	"4"	"18"	"2"	"2"	"400"	"3"	"62"	"0"	"117"	"4"	"0"	"2"	"2"	"1"	"49"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"0"	"1"	"261"	"261"	"1"	"0"
"18407"	"4"	"18"	"2"	"2"	"400"	"2"	"67"	"0"	"125"	"3"	"2"	"0"	"3"	"0"	"38"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"244"	"16"	"6"	"0"	"265"	"266"	"0"	"0"
"18408"	"4"	"18"	"2"	"2"	"400"	"2"	"64"	"2"	"149"	"4"	"1"	"1"	"5"	"1"	"42"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"24"	"6"	"0"	"308"	"308"	"1"	"0"
"18409"	"4"	"18"	"2"	"2"	"400"	"2"	"75"	"0"	"143"	"5"	"2"	"0"	"1"	"0"	"35"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"28"	"4"	"0"	"299"	"299"	"1"	"0"
"18410"	"4"	"18"	"2"	"2"	"400"	"2"	"63"	"1"	"143"	"3"	"3"	"0"	"4"	"1"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"5"	"0"	"288"	"288"	"1"	"0"
"18411"	"4"	"18"	"2"	"2"	"394"	"4"	"66"	"4"	"98"	"1"	"9"	"0"	"3"	"0"	"67"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"22"	"5"	"1"	"291"	"291"	"1"	"0"
"18412"	"4"	"18"	"2"	"2"	"396"	"2"	"76"	"0"	"119"	"1"	"1"	"3"	"1"	"0"	"44"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"25"	"2"	"0"	"285"	"285"	"1"	"0"
"18413"	"4"	"18"	"2"	"2"	"400"	"2"	"64"	"0"	"110"	"2"	"2"	"1"	"0"	"0"	"31"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"12"	"2"	"0"	"232"	"232"	"1"	"0"
"18414"	"4"	"18"	"2"	"2"	"400"	"2"	"42"	"2"	"116"	"1"	"2"	"0"	"1"	"1"	"42"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"13"	"5"	"0"	"231"	"231"	"1"	"0"
