"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VENADO"	"TODOS"	"UNE"	"VALOR"	"UCN"	"FUERZA"	"VAMOS"	"SEMILLA"	"CCML"	"UNIONISTA"	"LIBRE"	"EG"	"PODEMOS"	"URNG_MAIZ"	"VIVA"	"CREO"	"PC"	"CC_PER_DO_MO"	"BIEN"	"C_C_C_"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10206"	"4"	"10"	"1"	"2"	"400"	"24"	"21"	"21"	"4"	"10"	"8"	"4"	"23"	"14"	"7"	"4"	"1"	"2"	"2"	"11"	"12"	"18"	"9"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"13"	"1"	"0"	"252"	"252"	"1"	"0"
"10207"	"4"	"10"	"1"	"2"	"400"	"19"	"29"	"32"	"7"	"8"	"5"	"6"	"22"	"16"	"4"	"3"	"3"	"8"	"5"	"4"	"6"	"16"	"6"	"4"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"17"	"0"	"0"	"268"	"268"	"1"	"0"
"10208"	"4"	"10"	"1"	"2"	"399"	"16"	"27"	"17"	"9"	"9"	"3"	"9"	"23"	"13"	"9"	"3"	"2"	"5"	"3"	"11"	"6"	"13"	"10"	"2"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"12"	"3"	"0"	"261"	"261"	"1"	"0"
"10209"	"4"	"10"	"1"	"2"	"400"	"28"	"25"	"23"	"8"	"6"	"5"	"10"	"20"	"21"	"4"	"2"	"1"	"9"	"4"	"3"	"10"	"11"	"14"	"2"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"12"	"1"	"13"	"282"	"282"	"1"	"0"
"10210"	"4"	"10"	"1"	"2"	"400"	"25"	"22"	"22"	"4"	"14"	"6"	"8"	"24"	"17"	"3"	"3"	"3"	"6"	"4"	"6"	"13"	"13"	"13"	"4"	"59"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"6"	"1"	"0"	"276"	"276"	"1"	"0"
"10211"	"4"	"10"	"1"	"2"	"400"	"27"	"18"	"28"	"7"	"11"	"2"	"4"	"26"	"18"	"6"	"1"	"4"	"12"	"6"	"5"	"14"	"13"	"17"	"2"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"9"	"1"	"0"	"277"	"277"	"1"	"0"
"10212"	"4"	"10"	"1"	"2"	"400"	"17"	"42"	"25"	"9"	"16"	"3"	"10"	"14"	"16"	"5"	"5"	"2"	"7"	"5"	"10"	"16"	"9"	"7"	"3"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"270"	"18"	"2"	"0"	"293"	"290"	"0"	"0"
"10213"	"4"	"10"	"1"	"2"	"400"	"25"	"36"	"20"	"10"	"8"	"7"	"8"	"16"	"21"	"8"	"5"	"3"	"0"	"4"	"8"	"7"	"30"	"9"	"4"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"270"	"6"	"4"	"1"	"283"	"280"	"0"	"0"
"10214"	"4"	"10"	"1"	"2"	"401"	"24"	"24"	"29"	"2"	"15"	"8"	"7"	"14"	"18"	"6"	"2"	"2"	"8"	"6"	"10"	"13"	"29"	"10"	"0"	"46"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"13"	"1"	"0"	"287"	"287"	"1"	"0"
"10215"	"4"	"10"	"1"	"2"	"401"	"16"	"35"	"25"	"8"	"10"	"8"	"3"	"14"	"17"	"2"	"1"	"3"	"6"	"3"	"7"	"7"	"21"	"13"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"11"	"4"	"0"	"268"	"268"	"1"	"0"
"10216"	"4"	"10"	"1"	"2"	"404"	"24"	"31"	"20"	"5"	"15"	"8"	"5"	"17"	"10"	"6"	"2"	"5"	"5"	"4"	"4"	"8"	"10"	"11"	"1"	"50"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"11"	"1"	"0"	"253"	"253"	"1"	"0"
"10217"	"4"	"10"	"1"	"2"	"402"	"22"	"29"	"19"	"3"	"15"	"13"	"1"	"19"	"10"	"5"	"3"	"4"	"4"	"1"	"5"	"4"	"18"	"5"	"1"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"8"	"1"	"0"	"224"	"224"	"1"	"1"
"10218"	"4"	"10"	"1"	"2"	"400"	"19"	"26"	"14"	"7"	"9"	"2"	"10"	"15"	"15"	"6"	"1"	"2"	"1"	"6"	"6"	"7"	"20"	"12"	"4"	"54"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"9"	"0"	"0"	"245"	"245"	"1"	"0"
"10219"	"4"	"10"	"1"	"2"	"399"	"28"	"31"	"19"	"7"	"17"	"6"	"10"	"17"	"24"	"1"	"4"	"1"	"3"	"6"	"6"	"10"	"21"	"3"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"2"	"2"	"260"	"260"	"1"	"0"
"10220"	"4"	"10"	"1"	"2"	"401"	"21"	"25"	"19"	"13"	"7"	"3"	"11"	"22"	"15"	"4"	"5"	"3"	"13"	"5"	"8"	"11"	"9"	"9"	"2"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"254"	"10"	"3"	"0"	"280"	"267"	"0"	"0"
"10221"	"4"	"10"	"1"	"2"	"400"	"17"	"29"	"19"	"8"	"11"	"2"	"4"	"17"	"27"	"5"	"2"	"1"	"14"	"8"	"8"	"6"	"17"	"6"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"5"	"1"	"0"	"257"	"257"	"1"	"0"
"10222"	"4"	"10"	"1"	"2"	"402"	"21"	"32"	"24"	"5"	"11"	"9"	"5"	"27"	"7"	"4"	"3"	"1"	"15"	"7"	"10"	"9"	"9"	"9"	"2"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"5"	"3"	"0"	"266"	"266"	"1"	"0"
"10223"	"4"	"10"	"1"	"2"	"400"	"27"	"22"	"23"	"7"	"11"	"6"	"6"	"17"	"10"	"3"	"4"	"3"	"12"	"7"	"5"	"7"	"14"	"6"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"8"	"2"	"0"	"250"	"250"	"1"	"0"
"10224"	"4"	"10"	"1"	"2"	"403"	"27"	"16"	"20"	"10"	"5"	"3"	"6"	"13"	"7"	"7"	"0"	"1"	"8"	"3"	"4"	"4"	"8"	"12"	"4"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"2"	"4"	"0"	"202"	"202"	"1"	"0"
"10225"	"4"	"10"	"1"	"2"	"400"	"25"	"19"	"21"	"8"	"9"	"5"	"3"	"12"	"11"	"3"	"5"	"1"	"9"	"4"	"5"	"8"	"17"	"16"	"2"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"5"	"2"	"0"	"230"	"230"	"1"	"0"
"10226"	"4"	"10"	"1"	"2"	"362"	"29"	"33"	"24"	"7"	"19"	"11"	"3"	"13"	"13"	"7"	"2"	"4"	"4"	"5"	"6"	"6"	"11"	"10"	"0"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"0"	"6"	"250"	"250"	"1"	"0"
