"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MANOS"	"VAMOS"	"VALOR"	"VICTORIA"	"EG"	"FCN_NACION"	"UCN"	"UNE"	"PHG"	"PC"	"CREO"	"MLP"	"TODOS"	"PAN"	"LIBRE"	"BIEN"	"AVANZA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18593"	"4"	"18"	"4"	"2"	"400"	"3"	"17"	"38"	"7"	"16"	"5"	"4"	"41"	"9"	"1"	"2"	"1"	"17"	"48"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"7"	"6"	"0"	"232"	"232"	"1"	"0"
"18594"	"4"	"18"	"4"	"2"	"400"	"9"	"7"	"37"	"7"	"21"	"7"	"6"	"47"	"15"	"1"	"1"	"3"	"11"	"52"	"4"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"11"	"4"	"0"	"254"	"254"	"1"	"0"
"18595"	"4"	"18"	"4"	"2"	"400"	"4"	"9"	"39"	"6"	"24"	"4"	"7"	"46"	"11"	"3"	"1"	"2"	"20"	"36"	"6"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"5"	"3"	"0"	"236"	"236"	"1"	"0"
"18596"	"4"	"18"	"4"	"2"	"400"	"10"	"12"	"36"	"13"	"25"	"2"	"8"	"48"	"7"	"1"	"1"	"3"	"16"	"34"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"22"	"4"	"0"	"250"	"250"	"1"	"0"
"18597"	"4"	"18"	"4"	"2"	"393"	"8"	"7"	"36"	"11"	"23"	"10"	"7"	"46"	"14"	"1"	"3"	"3"	"14"	"40"	"5"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"10"	"4"	"0"	"250"	"250"	"1"	"0"
"18598"	"4"	"18"	"4"	"2"	"400"	"4"	"8"	"35"	"4"	"24"	"4"	"10"	"57"	"6"	"4"	"1"	"1"	"18"	"35"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"0"	"0"	"238"	"238"	"1"	"0"
"18599"	"4"	"18"	"4"	"2"	"395"	"7"	"12"	"27"	"9"	"26"	"7"	"16"	"48"	"8"	"2"	"1"	"3"	"11"	"31"	"6"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"13"	"0"	"0"	"236"	"236"	"1"	"0"
"18600"	"4"	"18"	"4"	"2"	"396"	"7"	"10"	"37"	"7"	"25"	"6"	"12"	"34"	"10"	"4"	"2"	"3"	"11"	"52"	"6"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"13"	"4"	"0"	"252"	"252"	"1"	"0"
"18601"	"4"	"18"	"4"	"2"	"396"	"10"	"11"	"34"	"3"	"15"	"2"	"9"	"65"	"10"	"2"	"2"	"2"	"15"	"40"	"9"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"12"	"2"	"0"	"254"	"254"	"1"	"0"
"18602"	"4"	"18"	"4"	"2"	"397"	"8"	"15"	"35"	"10"	"17"	"11"	"3"	"41"	"17"	"1"	"2"	"3"	"14"	"60"	"4"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"6"	"138"	"0"	"397"	"397"	"1"	"0"
