"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UCN"	"FCN_NACION"	"VAMOS"	"PC"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20847"	"4"	"22"	"14"	"2"	"400"	"16"	"49"	"84"	"11"	"85"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"18"	"6"	"131"	"269"	"269"	"1"	"0"
"20848"	"4"	"22"	"14"	"2"	"400"	"5"	"69"	"76"	"21"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"7"	"123"	"277"	"277"	"1"	"0"
"20849"	"4"	"22"	"14"	"2"	"400"	"22"	"62"	"94"	"21"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"25"	"12"	"0"	"299"	"299"	"1"	"0"
"20850"	"4"	"22"	"14"	"2"	"400"	"15"	"76"	"91"	"19"	"68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"30"	"6"	"0"	"305"	"305"	"1"	"0"
"20851"	"4"	"22"	"14"	"2"	"400"	"19"	"74"	"91"	"25"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"32"	"6"	"0"	"298"	"298"	"1"	"0"
"20852"	"4"	"22"	"14"	"2"	"400"	"23"	"69"	"104"	"8"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"38"	"6"	"0"	"305"	"305"	"1"	"1"
"20853"	"4"	"22"	"14"	"2"	"400"	"18"	"55"	"92"	"14"	"89"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"25"	"10"	"0"	"303"	"303"	"1"	"0"
"20854"	"4"	"22"	"14"	"2"	"400"	"7"	"51"	"89"	"9"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"12"	"4"	"0"	"248"	"248"	"1"	"0"
"20855"	"4"	"22"	"14"	"2"	"400"	"19"	"47"	"81"	"9"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"17"	"2"	"0"	"244"	"244"	"1"	"0"
"20856"	"4"	"22"	"14"	"2"	"400"	"13"	"48"	"86"	"9"	"100"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"14"	"4"	"0"	"274"	"274"	"1"	"0"
