"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"UNE"	"SEMILLA"	"CREO"	"PODEMOS"	"PC"	"LIBRE"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8047"	"4"	"7"	"5"	"2"	"400"	"114"	"3"	"33"	"3"	"17"	"1"	"1"	"114"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"16"	"10"	"0"	"321"	"321"	"1"	"0"
"8048"	"4"	"7"	"5"	"2"	"396"	"130"	"1"	"50"	"2"	"19"	"1"	"3"	"123"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"11"	"7"	"0"	"359"	"359"	"1"	"0"
"8049"	"4"	"7"	"5"	"2"	"396"	"82"	"2"	"75"	"5"	"11"	"0"	"0"	"118"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"17"	"3"	"0"	"329"	"329"	"1"	"0"
"8050"	"4"	"7"	"5"	"2"	"398"	"122"	"2"	"40"	"4"	"25"	"0"	"2"	"118"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"14"	"10"	"0"	"344"	"344"	"1"	"0"
"8051"	"4"	"7"	"5"	"2"	"396"	"136"	"2"	"45"	"3"	"10"	"0"	"2"	"114"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"341"	"341"	"12"	"7"	"0"	"360"	"360"	"1"	"0"
"8052"	"4"	"7"	"5"	"2"	"396"	"127"	"1"	"40"	"5"	"24"	"0"	"2"	"112"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"21"	"7"	"0"	"361"	"361"	"1"	"0"
"8053"	"4"	"7"	"5"	"2"	"396"	"139"	"3"	"57"	"6"	"5"	"2"	"2"	"88"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"11"	"16"	"0"	"352"	"352"	"1"	"0"
"8054"	"4"	"7"	"5"	"2"	"399"	"159"	"3"	"52"	"2"	"15"	"3"	"1"	"76"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	"327"	"14"	"8"	"0"	"349"	"349"	"1"	"0"
"8055"	"4"	"7"	"5"	"2"	"400"	"126"	"2"	"49"	"8"	"12"	"1"	"1"	"119"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"16"	"6"	"0"	"352"	"352"	"1"	"0"
"8056"	"4"	"7"	"5"	"2"	"396"	"102"	"3"	"63"	"1"	"7"	"0"	"2"	"113"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"20"	"9"	"0"	"334"	"334"	"1"	"0"
