"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"TODOS"	"UCN"	"UNE"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"UNIONISTA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13235"	"4"	"13"	"5"	"2"	"400"	"79"	"4"	"38"	"15"	"56"	"32"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"4"	"0"	"0"	"251"	"251"	"1"	"0"
"13236"	"4"	"13"	"5"	"2"	"400"	"62"	"1"	"26"	"71"	"57"	"30"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"3"	"0"	"271"	"271"	"1"	"0"
"13237"	"4"	"13"	"5"	"2"	"400"	"81"	"4"	"39"	"38"	"56"	"44"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"8"	"7"	"0"	"287"	"287"	"1"	"0"
"13238"	"4"	"13"	"5"	"2"	"0"	"63"	"0"	"42"	"49"	"51"	"64"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"5"	"0"	"0"	"286"	"286"	"1"	"0"
"13239"	"4"	"13"	"5"	"2"	"400"	"48"	"1"	"48"	"50"	"67"	"60"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"5"	"6"	"0"	"290"	"290"	"1"	"0"
"13240"	"4"	"13"	"5"	"2"	"0"	"45"	"0"	"46"	"27"	"78"	"56"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"11"	"5"	"0"	"280"	"280"	"1"	"0"
"13241"	"4"	"13"	"5"	"2"	"0"	"54"	"2"	"37"	"74"	"54"	"51"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"3"	"1"	"0"	"284"	"284"	"1"	"0"
"13242"	"4"	"13"	"5"	"2"	"400"	"69"	"0"	"55"	"73"	"13"	"55"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"4"	"0"	"291"	"291"	"1"	"0"
"13243"	"4"	"13"	"5"	"2"	"400"	"94"	"2"	"63"	"46"	"24"	"51"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"6"	"2"	"0"	"312"	"312"	"1"	"0"
"13244"	"4"	"13"	"5"	"2"	"400"	"68"	"3"	"48"	"28"	"34"	"34"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"5"	"8"	"0"	"246"	"246"	"1"	"0"
"13245"	"4"	"13"	"5"	"2"	"400"	"55"	"2"	"35"	"28"	"65"	"21"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"5"	"4"	"0"	"228"	"228"	"1"	"0"
"13246"	"4"	"13"	"5"	"2"	"0"	"82"	"3"	"28"	"22"	"65"	"30"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"5"	"9"	"0"	"255"	"255"	"1"	"0"
"13247"	"4"	"13"	"5"	"2"	"400"	"76"	"2"	"41"	"26"	"58"	"31"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"6"	"2"	"143"	"257"	"257"	"1"	"0"
"13248"	"4"	"13"	"5"	"2"	"400"	"48"	"0"	"52"	"47"	"48"	"38"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"10"	"2"	"0"	"253"	"253"	"1"	"0"
"13249"	"4"	"13"	"5"	"2"	"400"	"56"	"0"	"42"	"50"	"53"	"43"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"6"	"122"	"275"	"275"	"1"	"0"
"13250"	"4"	"13"	"5"	"2"	"400"	"56"	"5"	"46"	"32"	"54"	"32"	"20"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"7"	"6"	"0"	"261"	"261"	"1"	"0"
"13251"	"4"	"13"	"5"	"2"	"400"	"71"	"0"	"49"	"23"	"52"	"40"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"6"	"6"	"0"	"260"	"260"	"1"	"0"
"13252"	"4"	"13"	"5"	"2"	"400"	"51"	"2"	"42"	"31"	"46"	"46"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"7"	"5"	"0"	"243"	"243"	"1"	"0"
"13253"	"4"	"13"	"5"	"2"	"400"	"69"	"1"	"41"	"38"	"54"	"37"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"5"	"0"	"0"	"262"	"262"	"1"	"0"
"13254"	"4"	"13"	"5"	"2"	"351"	"53"	"0"	"44"	"24"	"77"	"44"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"1"	"2"	"0"	"257"	"257"	"1"	"0"
"13255"	"4"	"13"	"5"	"2"	"350"	"47"	"4"	"42"	"20"	"47"	"33"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"2"	"4"	"0"	"220"	"220"	"1"	"0"
"13256"	"4"	"13"	"5"	"2"	"0"	"127"	"0"	"56"	"14"	"38"	"64"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"3"	"3"	"0"	"312"	"312"	"1"	"0"
"13257"	"4"	"13"	"5"	"2"	"380"	"81"	"2"	"84"	"31"	"26"	"81"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"1"	"4"	"0"	"315"	"315"	"1"	"0"
"13258"	"4"	"13"	"5"	"2"	"380"	"92"	"0"	"65"	"22"	"22"	"82"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"1"	"2"	"0"	"294"	"294"	"1"	"0"
"13259"	"4"	"13"	"5"	"2"	"0"	"91"	"1"	"30"	"4"	"19"	"115"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"5"	"2"	"0"	"316"	"316"	"1"	"0"
"13260"	"4"	"13"	"5"	"2"	"0"	"91"	"0"	"58"	"9"	"23"	"94"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"1"	"6"	"0"	"313"	"313"	"1"	"0"
"13261"	"4"	"13"	"5"	"2"	"379"	"75"	"0"	"54"	"12"	"19"	"68"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"3"	"0"	"245"	"245"	"1"	"0"
