"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"UNE"	"FCN_NACION"	"UCN"	"CRECER"	"VAMOS"	"LIBRE"	"CCAM"	"PHG"	"SEMILLA"	"UNIONISTA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12129"	"4"	"12"	"12"	"2"	"400"	"7"	"15"	"15"	"10"	"22"	"6"	"7"	"53"	"11"	"18"	"2"	"18"	"7"	"24"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"16"	"7"	"0"	"249"	"249"	"1"	"0"
"12130"	"4"	"12"	"12"	"2"	"400"	"4"	"27"	"20"	"15"	"41"	"5"	"5"	"41"	"6"	"9"	"1"	"19"	"1"	"14"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"26"	"8"	"0"	"256"	"256"	"1"	"0"
"12131"	"4"	"12"	"12"	"2"	"401"	"5"	"19"	"22"	"16"	"16"	"3"	"5"	"40"	"14"	"7"	"3"	"9"	"8"	"19"	"18"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"25"	"13"	"0"	"250"	"250"	"1"	"0"
"12132"	"4"	"12"	"12"	"2"	"400"	"3"	"16"	"27"	"11"	"25"	"6"	"8"	"50"	"26"	"6"	"13"	"9"	"5"	"19"	"13"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"253"	"26"	"8"	"0"	"281"	"287"	"0"	"0"
"12133"	"4"	"12"	"12"	"2"	"400"	"5"	"19"	"28"	"21"	"8"	"6"	"8"	"32"	"11"	"16"	"3"	"19"	"5"	"23"	"14"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"24"	"12"	"0"	"260"	"260"	"1"	"0"
"12134"	"4"	"12"	"12"	"2"	"400"	"8"	"23"	"31"	"15"	"20"	"10"	"12"	"45"	"15"	"16"	"2"	"6"	"7"	"33"	"13"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"23"	"8"	"0"	"293"	"293"	"1"	"0"
"12135"	"4"	"12"	"12"	"2"	"400"	"3"	"23"	"30"	"13"	"26"	"10"	"9"	"57"	"12"	"8"	"3"	"5"	"3"	"23"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"23"	"8"	"0"	"281"	"281"	"1"	"0"
"12136"	"4"	"12"	"12"	"2"	"400"	"13"	"19"	"19"	"20"	"25"	"6"	"9"	"45"	"14"	"10"	"3"	"7"	"1"	"12"	"11"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"14"	"9"	"0"	"245"	"245"	"1"	"0"
"12137"	"4"	"12"	"12"	"2"	"400"	"4"	"14"	"18"	"15"	"21"	"9"	"8"	"31"	"13"	"9"	"3"	"7"	"1"	"23"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"12"	"6"	"0"	"205"	"205"	"1"	"0"
"12138"	"4"	"12"	"12"	"2"	"400"	"5"	"18"	"13"	"10"	"32"	"8"	"15"	"27"	"14"	"11"	"2"	"14"	"7"	"18"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"15"	"2"	"0"	"224"	"224"	"1"	"0"
"12139"	"4"	"12"	"12"	"2"	"400"	"8"	"10"	"19"	"17"	"30"	"10"	"10"	"24"	"12"	"10"	"2"	"13"	"1"	"24"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"18"	"6"	"0"	"229"	"229"	"1"	"0"
"12140"	"4"	"12"	"12"	"2"	"400"	"4"	"17"	"24"	"21"	"18"	"14"	"5"	"36"	"10"	"8"	"3"	"12"	"4"	"16"	"17"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"15"	"7"	"0"	"240"	"240"	"1"	"0"
"12141"	"4"	"12"	"12"	"2"	"400"	"5"	"11"	"12"	"15"	"22"	"16"	"14"	"42"	"20"	"8"	"3"	"9"	"5"	"20"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"18"	"3"	"0"	"241"	"241"	"1"	"0"
"12142"	"4"	"12"	"12"	"2"	"400"	"7"	"18"	"17"	"20"	"7"	"7"	"8"	"36"	"13"	"16"	"1"	"15"	"3"	"20"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"12"	"7"	"0"	"221"	"221"	"1"	"0"
"12143"	"4"	"12"	"12"	"2"	"400"	"7"	"11"	"18"	"15"	"17"	"10"	"9"	"35"	"11"	"7"	"2"	"11"	"8"	"18"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"19"	"9"	"0"	"227"	"227"	"1"	"0"
"12144"	"4"	"12"	"12"	"2"	"400"	"5"	"6"	"23"	"12"	"15"	"4"	"3"	"33"	"15"	"6"	"3"	"14"	"5"	"16"	"20"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"16"	"9"	"0"	"212"	"212"	"1"	"0"
