"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UNE"	"BIEN"	"VAMOS"	"FUERZA"	"PHG"	"TODOS"	"MLP"	"C_C_S"	"PODEMOS"	"VALOR"	"SEMILLA"	"AVANZA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9344"	"4"	"9"	"3"	"2"	"400"	"12"	"20"	"54"	"27"	"11"	"35"	"21"	"12"	"22"	"3"	"2"	"10"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"7"	"0"	"280"	"280"	"1"	"0"
"9345"	"4"	"9"	"3"	"2"	"400"	"11"	"14"	"58"	"33"	"9"	"38"	"17"	"18"	"25"	"1"	"2"	"7"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"3"	"0"	"270"	"270"	"1"	"0"
"9346"	"4"	"9"	"3"	"2"	"0"	"9"	"20"	"41"	"21"	"15"	"33"	"19"	"22"	"21"	"7"	"3"	"11"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"10"	"0"	"272"	"272"	"1"	"0"
"9347"	"4"	"9"	"3"	"2"	"400"	"8"	"19"	"49"	"24"	"17"	"40"	"26"	"19"	"19"	"3"	"2"	"7"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"12"	"8"	"0"	"283"	"283"	"1"	"0"
"9348"	"4"	"9"	"3"	"2"	"400"	"9"	"6"	"60"	"35"	"17"	"33"	"19"	"18"	"8"	"2"	"0"	"8"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"7"	"0"	"277"	"277"	"1"	"0"
"9349"	"4"	"9"	"3"	"2"	"399"	"11"	"5"	"65"	"14"	"9"	"32"	"26"	"21"	"15"	"5"	"0"	"6"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"13"	"12"	"0"	"271"	"271"	"1"	"0"
"9350"	"4"	"9"	"3"	"2"	"400"	"11"	"8"	"72"	"26"	"8"	"32"	"21"	"13"	"18"	"6"	"0"	"4"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"14"	"12"	"0"	"266"	"266"	"1"	"0"
"9351"	"4"	"9"	"3"	"2"	"400"	"8"	"8"	"82"	"24"	"14"	"42"	"24"	"6"	"8"	"3"	"1"	"12"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"21"	"9"	"0"	"285"	"285"	"1"	"0"
"9352"	"4"	"9"	"3"	"2"	"400"	"14"	"9"	"71"	"16"	"11"	"39"	"31"	"16"	"13"	"6"	"0"	"3"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"9"	"6"	"0"	"276"	"276"	"1"	"0"
"9353"	"4"	"9"	"3"	"2"	"401"	"13"	"18"	"49"	"33"	"21"	"43"	"20"	"17"	"20"	"7"	"0"	"5"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"3"	"0"	"285"	"285"	"1"	"0"
"9354"	"4"	"9"	"3"	"2"	"400"	"6"	"17"	"38"	"19"	"13"	"40"	"29"	"16"	"16"	"2"	"2"	"7"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"7"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"6"	"5"	"0"	"246"	"246"	"1"	"0"
"9355"	"4"	"9"	"3"	"2"	"400"	"5"	"13"	"51"	"23"	"12"	"42"	"18"	"12"	"17"	"3"	"3"	"7"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"8"	"2"	"0"	"247"	"247"	"1"	"0"
"9356"	"4"	"9"	"3"	"2"	"400"	"9"	"12"	"44"	"33"	"12"	"35"	"15"	"22"	"25"	"2"	"3"	"7"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"9"	"2"	"0"	"259"	"259"	"1"	"0"
"9357"	"4"	"9"	"3"	"2"	"400"	"11"	"16"	"70"	"21"	"17"	"41"	"28"	"18"	"12"	"1"	"0"	"7"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"6"	"0"	"7"	"268"	"268"	"1"	"0"
"9358"	"4"	"9"	"3"	"2"	"400"	"5"	"26"	"55"	"20"	"15"	"25"	"22"	"23"	"21"	"5"	"2"	"11"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"4"	"0"	"262"	"262"	"1"	"0"
"9359"	"4"	"9"	"3"	"2"	"400"	"2"	"27"	"57"	"28"	"17"	"27"	"15"	"14"	"18"	"4"	"1"	"4"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"4"	"5"	"0"	"254"	"254"	"1"	"0"
