"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"UCN"	"TODOS"	"UNE"	"EG"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19547"	"4"	"20"	"6"	"2"	"400"	"63"	"63"	"59"	"38"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"3"	"0"	"247"	"247"	"1"	"0"
"19548"	"4"	"20"	"6"	"2"	"400"	"64"	"49"	"71"	"62"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"0"	"4"	"26"	"264"	"264"	"1"	"0"
"19549"	"4"	"20"	"6"	"2"	"400"	"49"	"55"	"70"	"74"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"27"	"5"	"0"	"298"	"298"	"1"	"1"
"19550"	"4"	"20"	"6"	"2"	"400"	"45"	"69"	"50"	"74"	"27"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"31"	"8"	"0"	"306"	"306"	"1"	"0"
"19551"	"4"	"20"	"6"	"2"	"400"	"66"	"80"	"80"	"48"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"14"	"2"	"0"	"306"	"306"	"1"	"0"
"19552"	"4"	"20"	"6"	"2"	"400"	"66"	"77"	"67"	"53"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"21"	"10"	"0"	"309"	"309"	"1"	"0"
"19553"	"4"	"20"	"6"	"2"	"398"	"52"	"61"	"77"	"51"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"6"	"0"	"291"	"291"	"1"	"0"
"19554"	"4"	"20"	"6"	"2"	"400"	"48"	"92"	"82"	"46"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"13"	"4"	"0"	"298"	"298"	"1"	"0"
"19555"	"4"	"20"	"6"	"2"	"400"	"31"	"89"	"75"	"73"	"25"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"11"	"3"	"0"	"317"	"317"	"1"	"2"
"19556"	"4"	"20"	"6"	"2"	"400"	"55"	"101"	"65"	"69"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"22"	"7"	"0"	"334"	"334"	"1"	"0"
