"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VIVA"	"VAMOS"	"TODOS"	"UNE"	"UCN"	"FUERZA"	"FCN_NACION"	"PHG"	"VALOR"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12647"	"4"	"12"	"22"	"2"	"400"	"5"	"5"	"94"	"63"	"31"	"12"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"24"	"1"	"0"	"247"	"247"	"1"	"0"
"12648"	"4"	"12"	"22"	"2"	"400"	"14"	"13"	"100"	"70"	"37"	"16"	"3"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"18"	"3"	"0"	"282"	"282"	"1"	"0"
"12649"	"4"	"12"	"22"	"2"	"400"	"11"	"10"	"97"	"58"	"29"	"17"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"1"	"0"	"243"	"243"	"1"	"0"
"12650"	"4"	"12"	"22"	"2"	"400"	"7"	"10"	"76"	"71"	"39"	"25"	"4"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"15"	"0"	"0"	"261"	"261"	"1"	"0"
"12651"	"4"	"12"	"22"	"2"	"400"	"15"	"11"	"83"	"57"	"41"	"32"	"3"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"12"	"1"	"0"	"266"	"266"	"1"	"1"
"12652"	"4"	"12"	"22"	"2"	"400"	"13"	"10"	"101"	"48"	"44"	"26"	"6"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"0"	"0"	"278"	"278"	"1"	"0"
"12653"	"4"	"12"	"22"	"2"	"400"	"17"	"22"	"96"	"45"	"36"	"29"	"5"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"17"	"6"	"0"	"284"	"284"	"1"	"0"
"12654"	"4"	"12"	"22"	"2"	"400"	"6"	"28"	"105"	"63"	"35"	"20"	"1"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"20"	"8"	"0"	"297"	"297"	"1"	"0"
"12655"	"4"	"12"	"22"	"2"	"400"	"18"	"23"	"104"	"40"	"34"	"18"	"4"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"15"	"3"	"0"	"268"	"268"	"1"	"0"
"12656"	"4"	"12"	"22"	"2"	"402"	"14"	"10"	"80"	"50"	"30"	"16"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"15"	"2"	"0"	"233"	"233"	"1"	"0"
