"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"EG"	"CREO"	"UNE"	"VALOR"	"UNIONISTA"	"VICTORIA"	"FCN_NACION"	"UCN"	"SEMILLA"	"PPT"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2125"	"4"	"1"	"5"	"2"	"392"	"8"	"45"	"109"	"11"	"8"	"7"	"24"	"13"	"6"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"12"	"5"	"0"	"272"	"272"	"1"	"0"
"2126"	"4"	"1"	"5"	"2"	"394"	"5"	"48"	"96"	"10"	"3"	"6"	"14"	"13"	"14"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"11"	"4"	"1"	"244"	"244"	"1"	"0"
"2127"	"4"	"1"	"5"	"2"	"400"	"7"	"46"	"106"	"18"	"4"	"4"	"17"	"16"	"11"	"3"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"3"	"0"	"274"	"272"	"0"	"0"
"2128"	"4"	"1"	"5"	"2"	"398"	"7"	"36"	"102"	"22"	"2"	"4"	"17"	"11"	"9"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"12"	"0"	"0"	"251"	"251"	"1"	"0"
"2129"	"4"	"1"	"5"	"2"	"400"	"2"	"54"	"117"	"10"	"3"	"3"	"10"	"21"	"15"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"14"	"5"	"0"	"278"	"278"	"1"	"0"
"2130"	"4"	"1"	"5"	"2"	"400"	"3"	"53"	"105"	"10"	"2"	"2"	"15"	"17"	"10"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"15"	"0"	"0"	"248"	"248"	"1"	"0"
"2131"	"4"	"1"	"5"	"2"	"394"	"4"	"37"	"108"	"10"	"2"	"7"	"10"	"23"	"28"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"15"	"2"	"0"	"271"	"271"	"1"	"0"
"2132"	"4"	"1"	"5"	"2"	"400"	"9"	"50"	"98"	"14"	"1"	"6"	"6"	"12"	"20"	"2"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"9"	"2"	"1"	"256"	"256"	"1"	"0"
"2133"	"4"	"1"	"5"	"2"	"396"	"3"	"40"	"84"	"10"	"5"	"2"	"15"	"23"	"14"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"7"	"0"	"0"	"220"	"220"	"1"	"0"
"2134"	"4"	"1"	"5"	"2"	"394"	"3"	"42"	"100"	"6"	"6"	"3"	"14"	"13"	"11"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"6"	"1"	"0"	"224"	"224"	"1"	"0"
"2135"	"4"	"1"	"5"	"2"	"400"	"9"	"43"	"95"	"15"	"0"	"1"	"15"	"11"	"10"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"8"	"1"	"0"	"225"	"225"	"1"	"0"
"2136"	"4"	"1"	"5"	"2"	"394"	"7"	"54"	"98"	"11"	"3"	"2"	"21"	"15"	"8"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"8"	"0"	"0"	"246"	"246"	"1"	"1"
"2137"	"4"	"1"	"5"	"2"	"400"	"6"	"51"	"85"	"6"	"8"	"5"	"8"	"15"	"12"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"2"	"1"	"0"	"216"	"216"	"1"	"0"
"2138"	"4"	"1"	"5"	"2"	"400"	"5"	"57"	"94"	"13"	"1"	"3"	"10"	"18"	"12"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"3"	"0"	"0"	"233"	"233"	"1"	"0"
"2139"	"4"	"1"	"5"	"2"	"400"	"5"	"47"	"87"	"10"	"3"	"3"	"10"	"10"	"2"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"1"	"3"	"6"	"203"	"201"	"0"	"0"
"2140"	"4"	"1"	"5"	"2"	"402"	"6"	"45"	"81"	"11"	"7"	"6"	"10"	"9"	"18"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"3"	"1"	"0"	"219"	"219"	"1"	"0"
"2141"	"4"	"1"	"5"	"1"	"401"	"5"	"50"	"80"	"14"	"1"	"3"	"8"	"10"	"24"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"3"	"1"	"1"	"223"	"223"	"1"	"0"
"2142"	"4"	"1"	"5"	"2"	"400"	"13"	"42"	"68"	"14"	"7"	"2"	"12"	"22"	"21"	"2"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"11"	"2"	"0"	"233"	"233"	"1"	"0"
"2143"	"4"	"1"	"5"	"2"	"396"	"8"	"38"	"55"	"13"	"2"	"2"	"7"	"25"	"31"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"16"	"3"	"0"	"212"	"212"	"1"	"0"
"2144"	"4"	"1"	"5"	"2"	"395"	"3"	"41"	"66"	"7"	"3"	"0"	"14"	"22"	"32"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"16"	"2"	"0"	"222"	"222"	"1"	"0"
"2145"	"4"	"1"	"5"	"2"	"394"	"7"	"42"	"85"	"12"	"2"	"3"	"11"	"24"	"25"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"10"	"1"	"0"	"232"	"232"	"1"	"0"
"2146"	"4"	"1"	"5"	"2"	"394"	"5"	"45"	"86"	"13"	"2"	"5"	"16"	"16"	"20"	"8"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"2"	"0"	"245"	"245"	"1"	"0"
