"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"VAMOS"	"BIEN"	"MLP"	"SEMILLA"	"TODOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10183"	"4"	"9"	"24"	"2"	"400"	"76"	"41"	"28"	"29"	"8"	"13"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"9"	"0"	"269"	"269"	"1"	"1"
"10184"	"4"	"9"	"24"	"2"	"400"	"70"	"51"	"17"	"24"	"7"	"15"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"16"	"0"	"266"	"266"	"1"	"0"
"10185"	"4"	"9"	"24"	"2"	"400"	"57"	"58"	"24"	"23"	"5"	"16"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"11"	"6"	"0"	"251"	"251"	"1"	"0"
"10186"	"4"	"9"	"24"	"2"	"400"	"70"	"48"	"18"	"37"	"7"	"15"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"9"	"11"	"0"	"264"	"264"	"1"	"0"
"10187"	"4"	"9"	"24"	"2"	"398"	"57"	"42"	"29"	"43"	"11"	"4"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"6"	"0"	"261"	"261"	"1"	"0"
"10188"	"4"	"9"	"24"	"2"	"400"	"56"	"43"	"24"	"22"	"3"	"7"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"4"	"4"	"0"	"224"	"224"	"1"	"0"
"10189"	"4"	"9"	"24"	"2"	"400"	"71"	"35"	"35"	"22"	"8"	"20"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"6"	"5"	"0"	"240"	"240"	"1"	"0"
"10190"	"4"	"9"	"24"	"2"	"394"	"102"	"46"	"14"	"36"	"5"	"13"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"2"	"1"	"1"	"266"	"266"	"1"	"0"
"10191"	"4"	"9"	"24"	"2"	"379"	"68"	"81"	"3"	"3"	"3"	"8"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"9"	"0"	"230"	"230"	"1"	"0"
"10192"	"4"	"9"	"24"	"2"	"272"	"54"	"64"	"1"	"1"	"1"	"4"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"5"	"4"	"0"	"159"	"159"	"1"	"0"
"10193"	"4"	"9"	"24"	"2"	"271"	"52"	"58"	"6"	"2"	"3"	"4"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"1"	"2"	"0"	"171"	"171"	"1"	"0"
"10194"	"4"	"9"	"24"	"2"	"375"	"55"	"25"	"35"	"67"	"15"	"3"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"11"	"14"	"0"	"249"	"249"	"1"	"0"
"10195"	"4"	"9"	"24"	"2"	"377"	"61"	"29"	"34"	"79"	"22"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"9"	"11"	"0"	"265"	"265"	"1"	"0"
"10196"	"4"	"9"	"24"	"2"	"376"	"53"	"26"	"33"	"76"	"19"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"20"	"11"	"0"	"262"	"262"	"1"	"0"
"10197"	"4"	"9"	"24"	"2"	"380"	"67"	"22"	"34"	"62"	"18"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"8"	"0"	"247"	"247"	"1"	"0"
"10198"	"4"	"9"	"24"	"2"	"372"	"56"	"23"	"30"	"51"	"14"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"1"	"14"	"0"	"211"	"211"	"1"	"0"
"10199"	"4"	"9"	"24"	"2"	"372"	"69"	"28"	"28"	"48"	"10"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"2"	"7"	"0"	"225"	"225"	"1"	"0"
"10200"	"4"	"9"	"24"	"2"	"396"	"38"	"44"	"8"	"22"	"6"	"9"	"86"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"11"	"11"	"0"	"235"	"235"	"1"	"0"
"10201"	"4"	"9"	"24"	"2"	"0"	"42"	"56"	"7"	"22"	"5"	"6"	"84"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"13"	"16"	"0"	"251"	"251"	"1"	"0"
"10202"	"4"	"9"	"24"	"2"	"277"	"31"	"33"	"3"	"16"	"3"	"8"	"51"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"4"	"2"	"0"	"151"	"151"	"1"	"0"
"10203"	"4"	"9"	"24"	"2"	"277"	"29"	"29"	"5"	"7"	"6"	"3"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"2"	"3"	"0"	"140"	"140"	"1"	"0"
"10204"	"4"	"9"	"24"	"2"	"465"	"32"	"27"	"12"	"13"	"3"	"5"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"11"	"8"	"0"	"150"	"150"	"1"	"0"
"10205"	"4"	"9"	"24"	"2"	"436"	"13"	"11"	"5"	"13"	"2"	"4"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"71"	"3"	"7"	"0"	"81"	"81"	"1"	"0"
