"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"WINAQ"	"FUERZA"	"UNIDOS"	"PPT"	"TODOS"	"VALOR"	"UCN"	"PC"	"UNIONISTA"	"FCN_NACION"	"UNE"	"URNG_MAIZ"	"PODEMOS"	"VICTORIA"	"PHG"	"SEMILLA"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7043"	"4"	"5"	"11"	"2"	"400"	"113"	"7"	"10"	"2"	"9"	"0"	"1"	"2"	"81"	"1"	"0"	"80"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"12"	"4"	"0"	"326"	"326"	"1"	"0"
"7044"	"4"	"5"	"11"	"2"	"396"	"79"	"15"	"6"	"3"	"10"	"1"	"3"	"1"	"95"	"1"	"0"	"80"	"2"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"16"	"6"	"0"	"322"	"322"	"1"	"0"
"7045"	"4"	"5"	"11"	"2"	"396"	"68"	"9"	"10"	"4"	"8"	"2"	"1"	"3"	"100"	"5"	"4"	"91"	"1"	"2"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"8"	"5"	"0"	"328"	"328"	"1"	"0"
"7046"	"4"	"5"	"11"	"2"	"394"	"92"	"5"	"5"	"3"	"14"	"0"	"2"	"0"	"91"	"3"	"1"	"80"	"2"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"11"	"3"	"0"	"320"	"320"	"1"	"0"
"7047"	"4"	"5"	"11"	"2"	"396"	"97"	"9"	"8"	"2"	"5"	"0"	"5"	"2"	"101"	"2"	"2"	"80"	"1"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"6"	"4"	"0"	"330"	"330"	"1"	"0"
"7048"	"4"	"5"	"11"	"2"	"394"	"88"	"6"	"3"	"5"	"9"	"2"	"2"	"0"	"109"	"2"	"0"	"67"	"3"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"11"	"3"	"0"	"318"	"318"	"1"	"0"
"7049"	"4"	"5"	"11"	"2"	"400"	"87"	"11"	"3"	"6"	"11"	"0"	"0"	"0"	"97"	"0"	"3"	"88"	"8"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"11"	"7"	"0"	"338"	"338"	"1"	"0"
"7050"	"4"	"5"	"11"	"2"	"0"	"103"	"11"	"9"	"2"	"5"	"4"	"6"	"3"	"95"	"1"	"0"	"75"	"2"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"4"	"7"	"0"	"334"	"334"	"1"	"0"
"7051"	"4"	"5"	"11"	"2"	"396"	"92"	"11"	"2"	"2"	"12"	"3"	"5"	"1"	"106"	"0"	"0"	"63"	"2"	"0"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"15"	"8"	"0"	"0"	"330"	"0"	"0"
"7052"	"4"	"5"	"11"	"2"	"400"	"93"	"6"	"9"	"2"	"6"	"0"	"6"	"2"	"92"	"0"	"0"	"86"	"1"	"0"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"14"	"3"	"0"	"327"	"327"	"1"	"0"
"7053"	"4"	"5"	"11"	"2"	"397"	"86"	"3"	"5"	"5"	"4"	"1"	"4"	"1"	"107"	"1"	"1"	"71"	"2"	"0"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"10"	"4"	"0"	"311"	"311"	"1"	"0"
"7054"	"4"	"5"	"11"	"2"	"396"	"103"	"8"	"9"	"4"	"4"	"0"	"1"	"0"	"84"	"1"	"1"	"76"	"4"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"9"	"8"	"0"	"0"	"318"	"0"	"0"
"7055"	"4"	"5"	"11"	"2"	"396"	"97"	"14"	"4"	"6"	"5"	"1"	"2"	"2"	"94"	"2"	"0"	"78"	"3"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"13"	"1"	"0"	"328"	"328"	"1"	"0"
"7056"	"4"	"5"	"11"	"2"	"400"	"77"	"7"	"3"	"4"	"2"	"1"	"4"	"0"	"107"	"0"	"1"	"88"	"4"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"8"	"5"	"1"	"315"	"315"	"1"	"0"
"7057"	"4"	"5"	"11"	"2"	"394"	"82"	"6"	"4"	"7"	"7"	"0"	"4"	"2"	"106"	"1"	"1"	"85"	"4"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"3"	"2"	"0"	"319"	"319"	"1"	"0"
"7058"	"4"	"5"	"11"	"2"	"400"	"97"	"5"	"6"	"6"	"6"	"1"	"0"	"0"	"99"	"0"	"0"	"72"	"1"	"2"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"72"	"1"	"2"	"1"	"2"	"2"	"0"	"0"	"0"	"300"	"300"	"3"	"0"	"0"	"303"	"303"	"1"	"0"
"7059"	"4"	"5"	"11"	"2"	"0"	"88"	"5"	"5"	"3"	"6"	"1"	"0"	"0"	"91"	"2"	"1"	"86"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"8"	"1"	"0"	"303"	"303"	"1"	"0"
"7060"	"4"	"5"	"11"	"2"	"400"	"91"	"4"	"4"	"7"	"5"	"1"	"3"	"1"	"100"	"0"	"2"	"75"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"7"	"6"	"0"	"310"	"310"	"1"	"0"
"7061"	"4"	"5"	"11"	"2"	"396"	"95"	"14"	"4"	"2"	"4"	"2"	"4"	"0"	"97"	"0"	"1"	"81"	"4"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"3"	"3"	"0"	"320"	"320"	"1"	"0"
"7062"	"4"	"5"	"11"	"2"	"0"	"83"	"8"	"4"	"7"	"8"	"0"	"1"	"1"	"104"	"0"	"1"	"59"	"2"	"0"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"8"	"1"	"0"	"297"	"297"	"1"	"0"
"7063"	"4"	"5"	"11"	"2"	"394"	"91"	"7"	"3"	"7"	"7"	"1"	"6"	"4"	"104"	"0"	"1"	"60"	"1"	"0"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"14"	"2"	"0"	"313"	"313"	"1"	"0"
"7064"	"4"	"5"	"11"	"2"	"396"	"98"	"9"	"6"	"6"	"6"	"0"	"0"	"1"	"90"	"1"	"0"	"71"	"3"	"1"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"7"	"4"	"0"	"309"	"309"	"1"	"0"
"7065"	"4"	"5"	"11"	"2"	"400"	"103"	"9"	"3"	"5"	"7"	"2"	"1"	"3"	"96"	"0"	"0"	"73"	"2"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"12"	"2"	"0"	"323"	"323"	"1"	"0"
"7066"	"4"	"5"	"11"	"2"	"396"	"92"	"6"	"6"	"4"	"5"	"0"	"3"	"1"	"102"	"1"	"1"	"80"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"6"	"2"	"0"	"313"	"313"	"1"	"0"
"7067"	"4"	"5"	"11"	"2"	"396"	"88"	"8"	"4"	"5"	"5"	"1"	"2"	"0"	"100"	"2"	"1"	"68"	"3"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"8"	"4"	"0"	"309"	"309"	"1"	"0"
"7068"	"4"	"5"	"11"	"2"	"396"	"86"	"5"	"7"	"4"	"8"	"1"	"2"	"1"	"102"	"3"	"1"	"71"	"8"	"0"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"8"	"4"	"0"	"320"	"320"	"1"	"0"
"7069"	"4"	"5"	"11"	"2"	"394"	"91"	"7"	"7"	"9"	"6"	"0"	"2"	"0"	"92"	"1"	"0"	"95"	"3"	"0"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"8"	"4"	"0"	"330"	"330"	"1"	"0"
"7070"	"4"	"5"	"11"	"2"	"396"	"74"	"10"	"6"	"6"	"5"	"2"	"0"	"0"	"95"	"4"	"1"	"108"	"4"	"0"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"16"	"3"	"0"	"342"	"342"	"1"	"0"
