"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"PC"	"UCN"	"VIVA"	"FUERZA"	"TODOS"	"FCN_NACION"	"BIEN"	"SEMILLA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8277"	"4"	"7"	"10"	"2"	"400"	"50"	"90"	"64"	"34"	"34"	"4"	"7"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"9"	"9"	"0"	"312"	"312"	"1"	"0"
"8278"	"4"	"7"	"10"	"2"	"400"	"44"	"95"	"65"	"40"	"39"	"7"	"2"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"7"	"0"	"0"	"310"	"310"	"1"	"0"
"8279"	"4"	"7"	"10"	"2"	"400"	"55"	"85"	"65"	"27"	"30"	"7"	"8"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"9"	"3"	"0"	"303"	"303"	"1"	"2"
"8280"	"4"	"7"	"10"	"2"	"400"	"45"	"81"	"59"	"44"	"30"	"6"	"6"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"9"	"6"	"0"	"300"	"300"	"1"	"0"
"8281"	"4"	"7"	"10"	"2"	"400"	"52"	"77"	"65"	"35"	"40"	"6"	"8"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"5"	"5"	"0"	"308"	"308"	"1"	"0"
"8282"	"4"	"7"	"10"	"2"	"400"	"45"	"85"	"77"	"54"	"36"	"7"	"4"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"10"	"5"	"0"	"333"	"333"	"1"	"0"
"8283"	"4"	"7"	"10"	"2"	"396"	"43"	"73"	"83"	"49"	"27"	"4"	"6"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"5"	"7"	"1"	"310"	"310"	"1"	"0"
"8284"	"4"	"7"	"10"	"2"	"400"	"41"	"91"	"81"	"28"	"36"	"3"	"3"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"12"	"10"	"0"	"320"	"320"	"1"	"0"
"8285"	"4"	"7"	"10"	"2"	"396"	"57"	"78"	"78"	"38"	"37"	"5"	"4"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"6"	"3"	"0"	"319"	"319"	"1"	"0"
"8286"	"4"	"7"	"10"	"2"	"400"	"34"	"81"	"77"	"36"	"31"	"6"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"5"	"3"	"0"	"283"	"283"	"1"	"0"
