"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"SEMILLA"	"VIVA"	"MLP"	"PC"	"UCN"	"TODOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5857"	"4"	"3"	"14"	"2"	"400"	"36"	"5"	"51"	"106"	"3"	"4"	"4"	"7"	"58"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"4"	"5"	"0"	"299"	"299"	"1"	"0"
"5858"	"4"	"3"	"14"	"2"	"398"	"31"	"16"	"39"	"113"	"7"	"7"	"4"	"9"	"44"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"16"	"4"	"0"	"306"	"306"	"1"	"0"
"5859"	"4"	"3"	"14"	"2"	"400"	"30"	"7"	"54"	"116"	"4"	"5"	"10"	"5"	"46"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"8"	"6"	"0"	"305"	"305"	"1"	"0"
"5860"	"4"	"3"	"14"	"2"	"400"	"32"	"7"	"46"	"113"	"6"	"7"	"3"	"13"	"49"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"14"	"4"	"0"	"308"	"308"	"1"	"0"
"5861"	"4"	"3"	"14"	"2"	"400"	"31"	"13"	"52"	"120"	"4"	"6"	"11"	"11"	"31"	"11"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"13"	"8"	"0"	"318"	"318"	"1"	"0"
"5862"	"4"	"3"	"14"	"2"	"400"	"40"	"13"	"44"	"109"	"2"	"11"	"7"	"8"	"45"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"7"	"8"	"0"	"313"	"313"	"1"	"0"
"5863"	"4"	"3"	"14"	"2"	"400"	"32"	"13"	"47"	"102"	"5"	"9"	"4"	"13"	"55"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"9"	"8"	"0"	"313"	"313"	"1"	"0"
"5864"	"4"	"3"	"14"	"2"	"400"	"39"	"6"	"56"	"93"	"7"	"6"	"4"	"10"	"59"	"10"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"14"	"3"	"0"	"313"	"313"	"1"	"0"
"5865"	"4"	"3"	"14"	"2"	"400"	"40"	"7"	"59"	"102"	"2"	"4"	"3"	"7"	"50"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"14"	"10"	"0"	"311"	"311"	"1"	"0"
"5866"	"4"	"3"	"14"	"2"	"400"	"42"	"6"	"40"	"102"	"6"	"18"	"7"	"11"	"65"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"10"	"7"	"0"	"333"	"333"	"1"	"0"
