"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"VAMOS"	"UCN"	"SEMILLA"	"MLP"	"PHG"	"FCN_NACION"	"PAN"	"BIEN"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10740"	"4"	"10"	"14"	"2"	"400"	"39"	"4"	"19"	"4"	"1"	"3"	"31"	"32"	"71"	"12"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"19"	"9"	"0"	"278"	"278"	"1"	"0"
"10741"	"4"	"10"	"14"	"2"	"400"	"49"	"11"	"15"	"11"	"1"	"2"	"24"	"32"	"87"	"12"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"11"	"2"	"0"	"292"	"292"	"1"	"0"
"10742"	"4"	"10"	"14"	"2"	"400"	"53"	"8"	"13"	"7"	"2"	"3"	"30"	"33"	"83"	"18"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"12"	"2"	"0"	"303"	"303"	"1"	"0"
"10743"	"4"	"10"	"14"	"2"	"399"	"48"	"12"	"20"	"11"	"1"	"3"	"21"	"33"	"68"	"13"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"18"	"2"	"0"	"287"	"287"	"1"	"0"
"10744"	"4"	"10"	"14"	"2"	"400"	"49"	"8"	"16"	"5"	"2"	"1"	"28"	"36"	"83"	"10"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"7"	"110"	"290"	"290"	"1"	"0"
"10745"	"4"	"10"	"14"	"2"	"400"	"56"	"6"	"10"	"6"	"2"	"3"	"27"	"36"	"68"	"21"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"3"	"0"	"289"	"289"	"1"	"0"
"10746"	"4"	"10"	"14"	"2"	"399"	"46"	"6"	"15"	"8"	"2"	"2"	"39"	"24"	"69"	"13"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"2"	"0"	"268"	"268"	"1"	"0"
"10747"	"4"	"10"	"14"	"2"	"400"	"43"	"5"	"18"	"8"	"6"	"2"	"18"	"28"	"80"	"13"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"1"	"0"	"284"	"284"	"1"	"0"
"10748"	"4"	"10"	"14"	"2"	"400"	"28"	"6"	"14"	"8"	"2"	"1"	"26"	"33"	"88"	"20"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"9"	"4"	"0"	"278"	"278"	"1"	"0"
"10749"	"4"	"10"	"14"	"2"	"399"	"37"	"9"	"13"	"8"	"5"	"2"	"26"	"39"	"70"	"8"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"9"	"5"	"0"	"265"	"265"	"1"	"1"
"10750"	"4"	"10"	"14"	"2"	"400"	"44"	"16"	"22"	"6"	"2"	"4"	"34"	"30"	"63"	"19"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"8"	"1"	"0"	"285"	"285"	"1"	"0"
"10751"	"4"	"10"	"14"	"2"	"400"	"36"	"7"	"18"	"5"	"3"	"2"	"26"	"36"	"65"	"18"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"2"	"0"	"250"	"250"	"1"	"0"
"10752"	"4"	"10"	"14"	"2"	"290"	"31"	"8"	"11"	"9"	"4"	"2"	"25"	"16"	"53"	"11"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"2"	"0"	"0"	"206"	"206"	"1"	"0"
