"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"URNG_MAIZ"	"CREO"	"VICTORIA"	"UNIDOS"	"FUERZA"	"SEMILLA"	"FCN_NACION"	"PODEMOS"	"PC"	"VALOR"	"PHG"	"MLP"	"LIBRE"	"UCN"	"TODOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5582"	"4"	"3"	"7"	"2"	"398"	"40"	"97"	"22"	"16"	"18"	"7"	"0"	"1"	"4"	"2"	"32"	"10"	"5"	"0"	"4"	"6"	"12"	"5"	"0"	"0"	"32"	"10"	"5"	"0"	"4"	"6"	"12"	"5"	"0"	"0"	"281"	"281"	"2"	"5"	"0"	"288"	"288"	"1"	"0"
"5583"	"4"	"3"	"7"	"2"	"396"	"26"	"102"	"31"	"16"	"12"	"8"	"0"	"2"	"4"	"4"	"42"	"9"	"2"	"2"	"9"	"5"	"11"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"19"	"4"	"0"	"312"	"312"	"1"	"0"
"5584"	"4"	"3"	"7"	"2"	"400"	"46"	"116"	"20"	"17"	"13"	"9"	"0"	"1"	"3"	"2"	"25"	"8"	"3"	"0"	"5"	"4"	"9"	"8"	"0"	"0"	"25"	"8"	"3"	"0"	"5"	"4"	"9"	"8"	"0"	"0"	"289"	"289"	"5"	"3"	"103"	"297"	"297"	"1"	"0"
"5585"	"4"	"3"	"7"	"2"	"400"	"47"	"104"	"27"	"16"	"6"	"8"	"0"	"0"	"3"	"0"	"36"	"15"	"5"	"3"	"5"	"9"	"5"	"8"	"0"	"0"	"36"	"15"	"5"	"3"	"5"	"9"	"5"	"8"	"0"	"0"	"297"	"297"	"10"	"6"	"0"	"313"	"313"	"1"	"0"
"5586"	"4"	"3"	"7"	"2"	"400"	"36"	"105"	"33"	"12"	"7"	"15"	"0"	"1"	"7"	"5"	"39"	"8"	"1"	"3"	"7"	"11"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"6"	"4"	"0"	"311"	"311"	"1"	"0"
"5587"	"4"	"3"	"7"	"2"	"400"	"53"	"116"	"24"	"19"	"9"	"6"	"0"	"2"	"6"	"1"	"25"	"11"	"4"	"4"	"7"	"6"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"9"	"1"	"0"	"317"	"317"	"1"	"0"
"5588"	"4"	"3"	"7"	"2"	"400"	"52"	"98"	"22"	"22"	"7"	"4"	"0"	"1"	"7"	"1"	"35"	"12"	"7"	"6"	"5"	"3"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"6"	"5"	"0"	"309"	"309"	"1"	"0"
"5589"	"4"	"3"	"7"	"2"	"400"	"46"	"104"	"21"	"16"	"12"	"7"	"0"	"2"	"6"	"3"	"28"	"13"	"5"	"1"	"10"	"5"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"9"	"6"	"0"	"308"	"308"	"1"	"0"
"5590"	"4"	"3"	"7"	"2"	"400"	"33"	"109"	"27"	"17"	"9"	"8"	"2"	"3"	"6"	"2"	"38"	"7"	"5"	"3"	"7"	"6"	"9"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"8"	"4"	"0"	"314"	"314"	"1"	"0"
"5591"	"4"	"3"	"7"	"2"	"397"	"40"	"115"	"23"	"14"	"13"	"10"	"1"	"4"	"3"	"2"	"22"	"10"	"5"	"2"	"3"	"4"	"5"	"9"	"0"	"0"	"22"	"10"	"5"	"2"	"3"	"4"	"5"	"9"	"0"	"0"	"285"	"285"	"8"	"3"	"0"	"296"	"296"	"1"	"0"
