"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"TODOS"	"UNIONISTA"	"VALOR"	"UNE"	"VAMOS"	"PAN"	"LIBRE"	"FCN_NACION"	"UCN"	"VICTORIA"	"SEMILLA"	"PPT"	"PC"	"AVANZA"	"EG"	"VIVA"	"WINAQ_URNG"	"CREO"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4489"	"4"	"1"	"17"	"1"	"396"	"4"	"16"	"86"	"45"	"43"	"1"	"14"	"1"	"3"	"13"	"1"	"10"	"1"	"1"	"1"	"1"	"6"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"18"	"0"	"0"	"276"	"276"	"1"	"0"
"4490"	"4"	"1"	"17"	"1"	"396"	"15"	"10"	"105"	"38"	"42"	"2"	"12"	"6"	"1"	"8"	"0"	"8"	"0"	"0"	"1"	"1"	"8"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"11"	"3"	"0"	"278"	"278"	"1"	"0"
"4491"	"4"	"1"	"17"	"1"	"396"	"9"	"14"	"95"	"47"	"41"	"4"	"8"	"3"	"3"	"8"	"1"	"4"	"0"	"1"	"1"	"0"	"3"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"17"	"3"	"0"	"275"	"275"	"1"	"0"
"4492"	"4"	"1"	"17"	"1"	"400"	"11"	"13"	"93"	"56"	"42"	"2"	"9"	"2"	"2"	"7"	"1"	"8"	"1"	"0"	"0"	"2"	"3"	"2"	"9"	"0"	"1"	"8"	"1"	"0"	"0"	"2"	"3"	"2"	"9"	"0"	"263"	"263"	"15"	"0"	"0"	"278"	"278"	"1"	"0"
"4493"	"4"	"1"	"17"	"1"	"400"	"11"	"17"	"89"	"30"	"52"	"2"	"12"	"1"	"3"	"9"	"3"	"6"	"2"	"1"	"0"	"1"	"7"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"8"	"2"	"0"	"275"	"275"	"1"	"0"
"4494"	"4"	"1"	"17"	"1"	"397"	"14"	"13"	"103"	"36"	"34"	"1"	"8"	"2"	"2"	"9"	"2"	"8"	"0"	"4"	"2"	"1"	"7"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"14"	"2"	"0"	"270"	"270"	"1"	"0"
"4495"	"4"	"1"	"17"	"1"	"396"	"15"	"12"	"93"	"43"	"44"	"2"	"18"	"4"	"1"	"9"	"0"	"9"	"0"	"0"	"0"	"1"	"9"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"2"	"19"	"287"	"287"	"1"	"0"
"4496"	"4"	"1"	"17"	"1"	"396"	"12"	"9"	"102"	"42"	"56"	"0"	"7"	"4"	"2"	"16"	"1"	"9"	"0"	"3"	"1"	"3"	"4"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"12"	"96"	"0"	"396"	"396"	"1"	"0"
"4497"	"4"	"1"	"17"	"1"	"401"	"7"	"15"	"106"	"40"	"58"	"3"	"9"	"5"	"3"	"10"	"2"	"5"	"0"	"0"	"0"	"5"	"4"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"1"	"0"	"297"	"297"	"1"	"0"
"4498"	"4"	"1"	"17"	"1"	"397"	"14"	"22"	"115"	"46"	"39"	"4"	"6"	"5"	"2"	"15"	"1"	"5"	"1"	"2"	"0"	"1"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"2"	"0"	"0"	"289"	"289"	"1"	"0"
