"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"CREO"	"UNIONISTA"	"VAMOS"	"URNG_MAIZ"	"SEMILLA"	"VIVA"	"FUERZA"	"MLP"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18117"	"4"	"17"	"12"	"2"	"401"	"4"	"63"	"47"	"27"	"6"	"3"	"7"	"2"	"2"	"89"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"11"	"4"	"0"	"271"	"271"	"1"	"0"
"18118"	"4"	"17"	"12"	"2"	"400"	"7"	"67"	"47"	"24"	"4"	"6"	"1"	"3"	"3"	"77"	"5"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"12"	"2"	"0"	"271"	"271"	"1"	"0"
"18119"	"4"	"17"	"12"	"2"	"397"	"5"	"58"	"53"	"16"	"4"	"6"	"2"	"2"	"4"	"70"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"25"	"3"	"0"	"254"	"254"	"1"	"0"
"18120"	"4"	"17"	"12"	"2"	"402"	"11"	"63"	"52"	"17"	"4"	"7"	"3"	"0"	"1"	"66"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"4"	"0"	"258"	"258"	"1"	"0"
"18121"	"4"	"17"	"12"	"2"	"400"	"8"	"77"	"59"	"12"	"13"	"6"	"5"	"3"	"3"	"59"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"6"	"1"	"0"	"259"	"259"	"1"	"0"
"18122"	"4"	"17"	"12"	"2"	"400"	"5"	"91"	"53"	"19"	"4"	"5"	"2"	"0"	"1"	"77"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"7"	"4"	"0"	"278"	"278"	"1"	"0"
"18123"	"4"	"17"	"12"	"2"	"400"	"8"	"81"	"58"	"11"	"5"	"3"	"8"	"2"	"3"	"79"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"12"	"4"	"0"	"282"	"282"	"1"	"0"
"18124"	"4"	"17"	"12"	"2"	"400"	"5"	"72"	"46"	"18"	"5"	"5"	"6"	"2"	"3"	"86"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"18"	"2"	"0"	"273"	"273"	"1"	"0"
"18125"	"4"	"17"	"12"	"2"	"403"	"7"	"83"	"53"	"16"	"8"	"7"	"1"	"1"	"0"	"79"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"1"	"0"	"274"	"274"	"1"	"0"
"18126"	"4"	"17"	"12"	"2"	"397"	"7"	"66"	"60"	"15"	"5"	"6"	"5"	"1"	"2"	"62"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"3"	"1"	"0"	"240"	"240"	"1"	"0"
