"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"UNIONISTA"	"CREO"	"PHG"	"FUERZA"	"AVANZA"	"UCN"	"MLP"	"FCN_NACION"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7793"	"4"	"6"	"13"	"2"	"400"	"90"	"28"	"5"	"0"	"7"	"0"	"118"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"12"	"2"	"0"	"281"	"281"	"1"	"0"
"7794"	"4"	"6"	"13"	"2"	"400"	"80"	"29"	"3"	"2"	"14"	"0"	"99"	"3"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"8"	"0"	"281"	"281"	"1"	"0"
"7795"	"4"	"6"	"13"	"2"	"396"	"94"	"25"	"4"	"2"	"11"	"1"	"106"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"22"	"7"	"0"	"300"	"300"	"1"	"0"
"7796"	"4"	"6"	"13"	"2"	"400"	"98"	"26"	"1"	"3"	"4"	"0"	"121"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"6"	"11"	"0"	"297"	"297"	"1"	"0"
"7797"	"4"	"6"	"13"	"2"	"400"	"85"	"15"	"7"	"3"	"6"	"2"	"141"	"1"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"16"	"5"	"0"	"309"	"309"	"1"	"0"
"7798"	"4"	"6"	"13"	"2"	"400"	"84"	"33"	"8"	"0"	"10"	"3"	"126"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"19"	"6"	"0"	"313"	"313"	"1"	"0"
"7799"	"4"	"6"	"13"	"2"	"400"	"87"	"28"	"6"	"2"	"9"	"0"	"111"	"3"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"14"	"3"	"2"	"300"	"300"	"1"	"0"
"7800"	"4"	"6"	"13"	"2"	"400"	"66"	"35"	"8"	"1"	"3"	"2"	"121"	"2"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"17"	"7"	"0"	"295"	"295"	"1"	"0"
"7801"	"4"	"6"	"13"	"2"	"400"	"87"	"37"	"0"	"2"	"11"	"0"	"113"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"9"	"5"	"0"	"289"	"289"	"1"	"0"
"7802"	"4"	"6"	"13"	"2"	"400"	"61"	"41"	"6"	"1"	"10"	"1"	"110"	"0"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"3"	"2"	"0"	"259"	"259"	"1"	"0"
