"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"COCERNA"	"COCIECH"	"URNG_MAIZ"	"PHG"	"BIEN"	"COCIEAR"	"PODEMOS"	"UNIDOS"	"VAMOS"	"MLP"	"FCN_NACION"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15833"	"4"	"15"	"3"	"2"	"396"	"15"	"79"	"45"	"6"	"7"	"2"	"25"	"4"	"1"	"52"	"10"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"10"	"4"	"0"	"271"	"271"	"1"	"0"
"15834"	"4"	"15"	"3"	"2"	"398"	"27"	"54"	"41"	"7"	"10"	"8"	"20"	"2"	"0"	"56"	"6"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"22"	"9"	"0"	"276"	"276"	"1"	"0"
"15835"	"4"	"15"	"3"	"2"	"400"	"18"	"48"	"42"	"3"	"5"	"8"	"19"	"6"	"1"	"67"	"10"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"15"	"5"	"0"	"254"	"254"	"1"	"0"
"15836"	"4"	"15"	"3"	"2"	"400"	"25"	"62"	"35"	"0"	"7"	"3"	"28"	"5"	"5"	"66"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"26"	"4"	"0"	"280"	"280"	"1"	"0"
"15837"	"4"	"15"	"3"	"2"	"396"	"21"	"64"	"29"	"3"	"10"	"8"	"39"	"2"	"4"	"49"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"4"	"0"	"252"	"252"	"1"	"0"
"15838"	"4"	"15"	"3"	"2"	"397"	"22"	"53"	"43"	"3"	"9"	"10"	"18"	"4"	"6"	"62"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"17"	"5"	"0"	"259"	"259"	"1"	"0"
"15839"	"4"	"15"	"3"	"2"	"393"	"14"	"71"	"34"	"2"	"15"	"8"	"17"	"8"	"8"	"53"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"11"	"3"	"0"	"252"	"252"	"1"	"0"
"15840"	"4"	"15"	"3"	"2"	"398"	"13"	"71"	"35"	"4"	"13"	"2"	"18"	"3"	"4"	"59"	"1"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"2"	"0"	"0"	"236"	"236"	"1"	"0"
"15841"	"4"	"15"	"3"	"2"	"400"	"19"	"71"	"31"	"3"	"11"	"9"	"15"	"5"	"8"	"51"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"10"	"0"	"0"	"245"	"245"	"1"	"0"
"15842"	"4"	"15"	"3"	"2"	"403"	"19"	"78"	"34"	"2"	"13"	"7"	"29"	"5"	"3"	"49"	"10"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"9"	"1"	"0"	"265"	"265"	"1"	"0"
