"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"UCN"	"TODOS"	"EG"	"SEMILLA"	"VIVA"	"FCN_NACION"	"PODEMOS"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10893"	"4"	"10"	"20"	"2"	"400"	"16"	"137"	"19"	"34"	"5"	"2"	"0"	"56"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"17"	"4"	"21"	"298"	"298"	"1"	"0"
"10894"	"4"	"10"	"20"	"2"	"400"	"24"	"113"	"23"	"34"	"1"	"0"	"1"	"52"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"18"	"3"	"0"	"275"	"275"	"1"	"0"
"10895"	"4"	"10"	"20"	"2"	"400"	"15"	"125"	"11"	"48"	"2"	"2"	"1"	"72"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"9"	"6"	"0"	"298"	"298"	"1"	"0"
"10896"	"4"	"10"	"20"	"2"	"400"	"26"	"121"	"19"	"31"	"6"	"2"	"0"	"62"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"13"	"3"	"0"	"289"	"289"	"1"	"0"
"10897"	"4"	"10"	"20"	"2"	"396"	"16"	"113"	"22"	"40"	"3"	"0"	"1"	"67"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"8"	"4"	"0"	"287"	"287"	"1"	"0"
"10898"	"4"	"10"	"20"	"2"	"400"	"14"	"132"	"28"	"40"	"1"	"0"	"3"	"68"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"12"	"1"	"0"	"307"	"307"	"1"	"0"
"10899"	"4"	"10"	"20"	"2"	"400"	"25"	"128"	"18"	"46"	"1"	"0"	"1"	"75"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"13"	"5"	"0"	"316"	"316"	"1"	"0"
"10900"	"4"	"10"	"20"	"2"	"400"	"23"	"127"	"28"	"25"	"3"	"0"	"0"	"75"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"16"	"9"	"0"	"315"	"315"	"1"	"0"
"10901"	"4"	"10"	"20"	"2"	"400"	"23"	"111"	"21"	"38"	"1"	"0"	"1"	"83"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"15"	"4"	"1"	"307"	"307"	"1"	"0"
"10902"	"4"	"10"	"20"	"2"	"398"	"25"	"142"	"22"	"32"	"3"	"0"	"0"	"55"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"4"	"2"	"0"	"289"	"289"	"1"	"0"
