"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"UCN"	"VIVA"	"VAMOS"	"UNIONISTA"	"TODOS"	"FCN_NACION"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13527"	"4"	"13"	"10"	"2"	"396"	"174"	"1"	"26"	"98"	"6"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"7"	"5"	"0"	"321"	"321"	"1"	"0"
"13528"	"4"	"13"	"10"	"2"	"400"	"198"	"0"	"13"	"85"	"2"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"5"	"6"	"3"	"303"	"314"	"0"	"1"
"13529"	"4"	"13"	"10"	"2"	"396"	"201"	"1"	"22"	"85"	"3"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"5"	"3"	"0"	"324"	"324"	"1"	"0"
"13530"	"4"	"13"	"10"	"2"	"400"	"150"	"3"	"31"	"111"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"16"	"4"	"0"	"317"	"317"	"1"	"3"
"13531"	"4"	"13"	"10"	"2"	"400"	"140"	"3"	"47"	"104"	"4"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"8"	"7"	"0"	"319"	"319"	"1"	"0"
"13532"	"4"	"13"	"10"	"2"	"400"	"130"	"1"	"22"	"148"	"2"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"13"	"14"	"0"	"334"	"334"	"1"	"1"
"13533"	"4"	"13"	"10"	"2"	"396"	"177"	"4"	"26"	"114"	"2"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"329"	"329"	"11"	"7"	"0"	"347"	"347"	"1"	"0"
"13534"	"4"	"13"	"10"	"2"	"0"	"146"	"0"	"23"	"96"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"4"	"2"	"0"	"274"	"274"	"1"	"0"
"13535"	"4"	"13"	"10"	"2"	"396"	"167"	"0"	"29"	"90"	"1"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"13"	"1"	"0"	"307"	"307"	"1"	"0"
"13536"	"4"	"13"	"10"	"2"	"397"	"138"	"1"	"17"	"97"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"7"	"5"	"0"	"262"	"269"	"0"	"2"
"13537"	"4"	"13"	"10"	"2"	"392"	"183"	"1"	"16"	"87"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"293"	"5"	"5"	"0"	"306"	"303"	"0"	"0"
"13538"	"4"	"13"	"10"	"2"	"393"	"161"	"0"	"28"	"79"	"3"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"4"	"5"	"0"	"284"	"284"	"1"	"0"
"13539"	"4"	"13"	"10"	"2"	"400"	"141"	"1"	"25"	"83"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"397"	"255"	"5"	"3"	"0"	"0"	"263"	"0"	"0"
"13540"	"4"	"13"	"10"	"2"	"400"	"146"	"1"	"13"	"107"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"269"	"1"	"1"	"0"	"271"	"271"	"0"	"0"
"13541"	"4"	"13"	"10"	"2"	"255"	"118"	"0"	"8"	"67"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"1"	"1"	"0"	"196"	"196"	"1"	"0"
