"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"PC"	"FCN_NACION"	"UCN"	"VIVA"	"TODOS"	"CREO"	"VALOR"	"SEMILLA"	"UNIONISTA"	"VICTORIA"	"PODEMOS"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17418"	"4"	"16"	"16"	"2"	"394"	"6"	"70"	"4"	"24"	"22"	"22"	"14"	"1"	"1"	"46"	"2"	"40"	"5"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"5"	"0"	"285"	"285"	"1"	"0"
"17419"	"4"	"16"	"16"	"2"	"396"	"6"	"76"	"5"	"19"	"17"	"24"	"14"	"1"	"3"	"56"	"5"	"30"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"1"	"3"	"17"	"275"	"275"	"1"	"0"
"17420"	"4"	"16"	"16"	"2"	"396"	"9"	"60"	"2"	"31"	"27"	"26"	"13"	"2"	"1"	"65"	"4"	"40"	"11"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"13"	"5"	"0"	"318"	"318"	"1"	"0"
"17421"	"4"	"16"	"16"	"2"	"396"	"4"	"62"	"2"	"27"	"21"	"21"	"6"	"1"	"3"	"68"	"2"	"50"	"13"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"16"	"6"	"0"	"309"	"309"	"1"	"0"
"17422"	"4"	"16"	"16"	"2"	"396"	"7"	"59"	"5"	"22"	"32"	"43"	"8"	"3"	"2"	"55"	"1"	"52"	"11"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"14"	"0"	"0"	"309"	"323"	"0"	"0"
"17423"	"4"	"16"	"16"	"2"	"396"	"15"	"67"	"3"	"28"	"22"	"37"	"13"	"0"	"0"	"51"	"4"	"46"	"8"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"8"	"1"	"0"	"312"	"312"	"1"	"0"
"17424"	"4"	"16"	"16"	"2"	"396"	"7"	"56"	"3"	"24"	"12"	"26"	"5"	"2"	"2"	"60"	"5"	"41"	"11"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"3"	"0"	"270"	"270"	"1"	"0"
"17425"	"4"	"16"	"16"	"2"	"396"	"5"	"51"	"0"	"28"	"18"	"15"	"5"	"0"	"4"	"54"	"2"	"35"	"15"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"16"	"2"	"0"	"260"	"260"	"1"	"0"
"17426"	"4"	"16"	"16"	"2"	"394"	"6"	"66"	"1"	"30"	"21"	"20"	"11"	"1"	"3"	"47"	"3"	"38"	"12"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"14"	"4"	"0"	"284"	"284"	"1"	"0"
"17427"	"4"	"16"	"16"	"2"	"400"	"6"	"69"	"3"	"31"	"18"	"25"	"12"	"2"	"3"	"34"	"2"	"46"	"11"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"19"	"12"	"0"	"302"	"302"	"1"	"0"
"17428"	"4"	"16"	"16"	"2"	"400"	"13"	"85"	"2"	"26"	"23"	"19"	"7"	"0"	"3"	"54"	"4"	"46"	"15"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"10"	"5"	"0"	"315"	"315"	"1"	"0"
"17429"	"4"	"16"	"16"	"2"	"394"	"9"	"69"	"6"	"18"	"12"	"25"	"8"	"0"	"2"	"41"	"3"	"45"	"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"18"	"4"	"0"	"280"	"280"	"1"	"0"
"17430"	"4"	"16"	"16"	"2"	"400"	"7"	"56"	"4"	"24"	"21"	"12"	"9"	"0"	"2"	"52"	"5"	"33"	"14"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"20"	"4"	"0"	"274"	"274"	"1"	"0"
