"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"FCN_NACION"	"BIEN"	"EG"	"UCN"	"PAN"	"VALOR"	"MLP"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20449"	"4"	"22"	"3"	"2"	"396"	"2"	"5"	"89"	"1"	"15"	"89"	"1"	"110"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"15"	"1"	"0"	"328"	"328"	"1"	"0"
"20450"	"4"	"22"	"3"	"2"	"396"	"6"	"4"	"78"	"2"	"15"	"89"	"1"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"12"	"2"	"0"	"305"	"305"	"1"	"1"
"20451"	"4"	"22"	"3"	"2"	"396"	"1"	"1"	"99"	"0"	"12"	"107"	"0"	"108"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"328"	"328"	"11"	"0"	"0"	"339"	"339"	"1"	"0"
"20452"	"4"	"22"	"3"	"2"	"396"	"3"	"5"	"86"	"1"	"14"	"91"	"0"	"113"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"8"	"2"	"0"	"324"	"324"	"1"	"0"
"20453"	"4"	"22"	"3"	"2"	"397"	"2"	"4"	"73"	"3"	"13"	"101"	"1"	"96"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"17"	"4"	"0"	"314"	"314"	"1"	"0"
"20454"	"4"	"22"	"3"	"2"	"400"	"0"	"3"	"98"	"2"	"19"	"80"	"4"	"112"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"319"	"319"	"16"	"3"	"0"	"338"	"338"	"1"	"0"
"20455"	"4"	"22"	"3"	"2"	"400"	"3"	"4"	"63"	"3"	"12"	"90"	"0"	"101"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"3"	"1"	"0"	"280"	"280"	"1"	"0"
"20456"	"4"	"22"	"3"	"2"	"400"	"4"	"2"	"74"	"3"	"10"	"54"	"0"	"123"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"8"	"5"	"0"	"283"	"283"	"1"	"0"
"20457"	"4"	"22"	"3"	"2"	"396"	"2"	"6"	"66"	"1"	"21"	"94"	"0"	"104"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"8"	"4"	"0"	"307"	"307"	"1"	"1"
"20458"	"4"	"22"	"3"	"2"	"400"	"2"	"3"	"85"	"2"	"18"	"74"	"0"	"120"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"7"	"0"	"0"	"313"	"313"	"1"	"0"
"20459"	"4"	"22"	"3"	"2"	"400"	"2"	"5"	"73"	"2"	"12"	"94"	"0"	"98"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"8"	"6"	"0"	"301"	"301"	"1"	"0"
"20460"	"4"	"22"	"3"	"2"	"400"	"1"	"4"	"85"	"3"	"9"	"95"	"2"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"297"	"297"	"6"	"2"	"0"	"305"	"305"	"1"	"0"
"20461"	"4"	"22"	"3"	"2"	"395"	"1"	"0"	"80"	"1"	"5"	"86"	"1"	"102"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"18"	"2"	"0"	"297"	"297"	"1"	"0"
"20462"	"4"	"22"	"3"	"2"	"400"	"3"	"4"	"72"	"1"	"10"	"99"	"0"	"119"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"1"	"0"	"1"	"309"	"309"	"1"	"0"
