"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNIONISTA"	"VALOR"	"TODOS"	"PPT"	"PC"	"UCN"	"SEMILLA"	"PHG"	"AVANZA"	"LIBRE"	"UNE"	"MLP"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"1878"	"4"	"1"	"2"	"2"	"400"	"17"	"84"	"20"	"10"	"1"	"94"	"3"	"17"	"9"	"2"	"7"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"7"	"3"	"0"	"282"	"282"	"1"	"0"
"1879"	"4"	"1"	"2"	"2"	"400"	"27"	"83"	"10"	"11"	"5"	"80"	"8"	"12"	"13"	"6"	"7"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"13"	"5"	"0"	"292"	"292"	"1"	"0"
"1880"	"4"	"1"	"2"	"2"	"400"	"22"	"95"	"10"	"10"	"5"	"75"	"4"	"14"	"16"	"6"	"8"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"0"	"0"	"283"	"283"	"1"	"0"
"1881"	"4"	"1"	"2"	"2"	"400"	"19"	"98"	"13"	"11"	"2"	"78"	"3"	"14"	"16"	"1"	"2"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"3"	"0"	"288"	"288"	"1"	"0"
"1882"	"4"	"1"	"2"	"2"	"401"	"18"	"83"	"10"	"20"	"5"	"75"	"1"	"14"	"17"	"3"	"6"	"19"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"11"	"2"	"0"	"286"	"286"	"1"	"0"
"1883"	"4"	"1"	"2"	"2"	"400"	"21"	"82"	"13"	"12"	"10"	"95"	"7"	"12"	"22"	"2"	"5"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"12"	"2"	"0"	"308"	"308"	"1"	"0"
"1884"	"4"	"1"	"2"	"2"	"401"	"17"	"65"	"14"	"18"	"7"	"86"	"2"	"12"	"18"	"6"	"8"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"16"	"0"	"0"	"290"	"290"	"1"	"2"
"1885"	"4"	"1"	"2"	"2"	"400"	"23"	"92"	"8"	"14"	"8"	"91"	"5"	"12"	"23"	"4"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"8"	"2"	"1"	"301"	"301"	"1"	"0"
"1886"	"4"	"1"	"2"	"2"	"400"	"27"	"92"	"16"	"11"	"5"	"84"	"6"	"6"	"27"	"2"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"10"	"3"	"0"	"302"	"302"	"1"	"0"
"1887"	"4"	"1"	"2"	"2"	"397"	"32"	"101"	"12"	"9"	"6"	"105"	"7"	"6"	"15"	"1"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"3"	"3"	"10"	"311"	"311"	"1"	"0"
"1888"	"4"	"1"	"2"	"2"	"400"	"20"	"99"	"14"	"14"	"4"	"74"	"2"	"15"	"15"	"5"	"6"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"11"	"2"	"0"	"289"	"289"	"1"	"0"
"1889"	"4"	"1"	"2"	"2"	"400"	"24"	"103"	"14"	"15"	"5"	"77"	"6"	"10"	"16"	"5"	"6"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"10"	"5"	"0"	"306"	"306"	"1"	"0"
"1890"	"4"	"1"	"2"	"2"	"400"	"16"	"91"	"16"	"19"	"4"	"84"	"5"	"9"	"15"	"2"	"3"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"8"	"0"	"0"	"282"	"282"	"1"	"0"
"1891"	"4"	"1"	"2"	"2"	"400"	"16"	"86"	"10"	"17"	"7"	"65"	"3"	"6"	"12"	"2"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"2"	"0"	"0"	"237"	"237"	"1"	"0"
"1892"	"4"	"1"	"2"	"2"	"400"	"23"	"97"	"8"	"18"	"4"	"69"	"6"	"11"	"16"	"2"	"6"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"10"	"1"	"0"	"281"	"281"	"1"	"0"
"1893"	"4"	"1"	"2"	"2"	"400"	"17"	"87"	"7"	"12"	"4"	"73"	"2"	"8"	"16"	"2"	"6"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"13"	"4"	"0"	"262"	"262"	"1"	"1"
"1894"	"4"	"1"	"2"	"2"	"400"	"25"	"73"	"9"	"12"	"4"	"77"	"3"	"10"	"17"	"3"	"4"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"8"	"1"	"0"	"260"	"259"	"0"	"1"
"1895"	"4"	"1"	"2"	"2"	"401"	"22"	"74"	"11"	"19"	"2"	"66"	"9"	"15"	"15"	"2"	"5"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"4"	"1"	"1"	"257"	"256"	"0"	"0"
"1896"	"4"	"1"	"2"	"2"	"400"	"24"	"81"	"19"	"16"	"7"	"68"	"4"	"5"	"16"	"4"	"5"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"7"	"1"	"2"	"269"	"267"	"0"	"0"
"1897"	"4"	"1"	"2"	"2"	"400"	"13"	"86"	"9"	"9"	"6"	"87"	"1"	"10"	"17"	"3"	"5"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"11"	"3"	"2"	"272"	"272"	"1"	"1"
"1898"	"4"	"1"	"2"	"2"	"387"	"21"	"85"	"8"	"21"	"4"	"82"	"6"	"8"	"18"	"6"	"4"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"13"	"0"	"1"	"287"	"287"	"1"	"0"
"1899"	"4"	"1"	"2"	"2"	"401"	"27"	"90"	"10"	"14"	"5"	"88"	"5"	"10"	"14"	"4"	"4"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"11"	"1"	"0"	"292"	"292"	"1"	"0"
"1900"	"4"	"1"	"2"	"2"	"400"	"20"	"85"	"13"	"14"	"1"	"95"	"3"	"11"	"18"	"4"	"4"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"13"	"2"	"0"	"294"	"294"	"1"	"0"
"1901"	"4"	"1"	"2"	"2"	"400"	"20"	"78"	"9"	"19"	"8"	"89"	"2"	"6"	"16"	"5"	"4"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"9"	"2"	"0"	"275"	"275"	"1"	"0"
