"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"FCN_NACION"	"UNE"	"PC"	"VIVA"	"TODOS"	"PPT"	"VICTORIA"	"MLP"	"UCN"	"VAMOS"	"BIEN"	"VALOR"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16362"	"4"	"16"	"2"	"2"	"376"	"20"	"22"	"16"	"60"	"5"	"104"	"3"	"3"	"9"	"5"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"18"	"6"	"0"	"280"	"280"	"1"	"1"
"16363"	"4"	"16"	"2"	"2"	"396"	"16"	"27"	"25"	"74"	"9"	"97"	"0"	"4"	"4"	"4"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"8"	"0"	"291"	"291"	"1"	"0"
"16364"	"4"	"16"	"2"	"2"	"400"	"20"	"22"	"15"	"71"	"5"	"113"	"1"	"4"	"9"	"3"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"5"	"0"	"292"	"292"	"1"	"0"
"16365"	"4"	"16"	"2"	"2"	"396"	"14"	"32"	"15"	"59"	"5"	"123"	"3"	"4"	"11"	"2"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"277"	"23"	"4"	"0"	"306"	"304"	"0"	"0"
"16366"	"4"	"16"	"2"	"2"	"380"	"28"	"25"	"12"	"57"	"5"	"132"	"3"	"6"	"8"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"26"	"4"	"0"	"316"	"316"	"1"	"0"
"16367"	"4"	"16"	"2"	"2"	"400"	"31"	"62"	"22"	"43"	"2"	"90"	"1"	"8"	"7"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"25"	"10"	"0"	"308"	"308"	"1"	"0"
"16368"	"4"	"16"	"2"	"2"	"373"	"29"	"56"	"13"	"58"	"4"	"123"	"4"	"2"	"6"	"3"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"11"	"7"	"0"	"323"	"322"	"0"	"1"
"16369"	"4"	"16"	"2"	"2"	"396"	"23"	"42"	"19"	"49"	"6"	"105"	"5"	"1"	"4"	"4"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"1"	"0"	"285"	"285"	"1"	"0"
"16370"	"4"	"16"	"2"	"2"	"379"	"30"	"23"	"14"	"51"	"6"	"103"	"1"	"1"	"6"	"2"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"8"	"3"	"0"	"257"	"257"	"1"	"0"
"16371"	"4"	"16"	"2"	"2"	"400"	"27"	"32"	"26"	"46"	"9"	"100"	"3"	"4"	"3"	"2"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"13"	"2"	"1"	"273"	"273"	"1"	"0"
