"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"TODOS"	"FUERZA"	"VAMOS"	"WINAQ"	"SEMILLA"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13860"	"4"	"13"	"17"	"2"	"400"	"44"	"78"	"15"	"29"	"61"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"6"	"16"	"0"	"260"	"260"	"1"	"0"
"13861"	"4"	"13"	"17"	"2"	"400"	"40"	"81"	"17"	"23"	"40"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"13"	"12"	"0"	"234"	"234"	"1"	"0"
"13862"	"4"	"13"	"17"	"2"	"284"	"39"	"101"	"8"	"24"	"63"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"23"	"15"	"38"	"284"	"284"	"1"	"0"
"13863"	"4"	"13"	"17"	"2"	"400"	"78"	"80"	"12"	"19"	"91"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"9"	"7"	"0"	"303"	"303"	"1"	"0"
"13864"	"4"	"13"	"17"	"2"	"280"	"43"	"80"	"19"	"14"	"89"	"6"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"8"	"0"	"278"	"278"	"1"	"0"
"13865"	"4"	"13"	"17"	"2"	"254"	"41"	"102"	"10"	"27"	"43"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"4"	"1"	"254"	"254"	"1"	"0"
"13866"	"4"	"13"	"17"	"2"	"400"	"56"	"94"	"11"	"15"	"62"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"10"	"4"	"0"	"265"	"265"	"1"	"0"
"13867"	"4"	"13"	"17"	"2"	"396"	"45"	"89"	"19"	"16"	"70"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"7"	"4"	"11"	"257"	"268"	"0"	"0"
"13868"	"4"	"13"	"17"	"2"	"400"	"40"	"78"	"11"	"16"	"59"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"8"	"4"	"0"	"227"	"227"	"1"	"0"
"13869"	"4"	"13"	"17"	"2"	"400"	"82"	"76"	"7"	"11"	"41"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"13"	"6"	"0"	"245"	"245"	"1"	"0"
